S.No,Instrument Type,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :.1,Financial Bid Opening Date:,Document :.1,Type :.1,Summary :.1,Updated By :.2,Updated On :.2,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :,Document :.3,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage
1,FDR - Fixed Deposit,Executive Engineer,"H.No. 1348 Jaypurawa Gandhinagar, near Nagar palika Ke Piche , Basti",U.P. State Construction and Infrastructure Development Corporation Ltd.||Unit Basti,83 /EE Basti /E-Tender /Purvanchal Nidhi Kaptanganj /2025-26 Dated 10 -04-2026,2026_SCIDC_1135656_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Offline,No,No,No,1,Fee/PreQual/Technical,.pdf,NIT,11-Apr-2026 09:00 AM,31-Jul-2026 12:30 PM,11-Apr-2026 09:30 AM,20-Apr-2026 01:00 PM,11-Apr-2026 09:00 AM ,20-Apr-2026 01:00 PM ,11-Apr-2026 09:00 AM,20-Apr-2026 01:00 PM,04-May-2026 06:00 PM,"76,500",No,fixed,,UPSCIDCO,BASTI,"1,652",UPSCIDCO,BASTI,No,Construction of CC Road work at Gram Ekdegawa Me Shivpujan Chaudhary Ke Khet Se Hirawan yadav Ke Ghar Tak Block Dubauliya Distt Basti. ( Purvanchil Nidhi Kaptanganj),Construction of CC Road work at Gram Ekdegawa Me Shivpujan Chaudhary Ke Khet Se Hirawan yadav Ke Ghar Tak Block Dubauliya Distt Basti. ( Purvanchil Nidhi Kaptanganj),As Given in NIT ,NA ,"38,17,000",Civil Works,NA ,Tender,90.0,90.0,Basti,272001.0,"H.No. 1348 Jaypurawa Gandhinagar, near Nagar pali ","H.No. 1348 Jaypurawa Gandhinagar, near Nagar palika Ke Piche , Basti ",17-Apr-2026 12:00 PM ,UPSCIDCO BASTI,No ,No,AOC,Finance,M/S BANSHI DHAR PANDEY Found L1,Ramesh Bahadur Shahi,20-May-2026 10:22 AM,finance_2120377.pdf,BOQ Comparative Chart,Sri Ramesh Bahadur Shahi EE,Internal,Attached,Ramesh Bahadur Shahi,04-May-2026 03:51 PM,04-May-2026 06:00 PM,techsummary_2120377.pdf (648.48 KB),Technical,M/S BANSHI DHAR PANDEY and M/S BANSHI DHAR AND SONS Found,Ramesh Bahadur Shahi,04-May-2026 03:48 PM,technical_2120377.pdf,Sri Ramesh Bahadur Shahi EE,Internal,Attached,Ramesh Bahadur Shahi,20-May-2026 10:25 AM,finsummary_2120377.pdf (461.21 KB),03-Jun-2026,"INR 3,811,656",90.0,Ramesh Bahadur Shahi,03-Jun-2026 11:33 AM,EkdagawaLOI.pdf (1134.00 KB),M/s Banshi Dhar pandey Found L1,U.P. State Construction and Infrastructure Development Corporation Ltd.||Unit Basti,2026_SCIDC_1135656_1,83 /EE Basti /E-Tender /Purvanchal Nidhi Kaptanganj /2025-26 Dated 10 -04-2026,Construction of CC Road work at Gram Ekdegawa Me Shivpujan Chaudhary Ke Khet Se Hirawan yadav Ke Ghar Tak Block Dubauliya Distt Basti. ( Purvanchil Nidhi Kaptanganj),1.0,6057719.0,M/S BANSHI DHAR PANDEY,INR,"3,811,656",1,6057758,M/S BANSHI DHAR AND SONS,19-Apr-2026 11:07 PM,Rejected-Finance,L2,20-May-2026 10:25 AM,AOC
2,RTGS - RTGS Payment,,,,,,,,,,,,,,,,,2,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,6057719,M/S BANSHI DHAR PANDEY,19-Apr-2026 10:38 PM,Accepted-AOC,L1,03-Jun-2026 11:34 AM,AOC
