Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Type :,Summary :,Updated By :.1,Updated On :.1,Document :.1,Tender Stage,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Instrument Type,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No.1,Corrigendum Title,Corrigendum Type,View,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage
Directorate of Local Bodies UP||Nagar Panchayat Khutar Shahjahanpur,2026_DOLBU_1142122_5,399/NPK/2026-27Dt-24-04-2026,Mo- Kot me Kaushal ke Makan se Ajay ke makan tak Nali va Interlock Sadak Marammat/Sudhar ka Karya.,1.0,6104653.0,M/S OM SAI ENTERLOCK,11-May-2026 05:14 AM,Accepted-AOC,0.10 Percent Below Rate,09-Jun-2026 12:26 PM,KalpanaSharma,Internal,AnilsinghShyamsundar,Kalpana Sharma,26-May-2026 02:04 PM,26-May-2026 02:10 PM,techsummary_2133238.pdf (1122.95 KB),Technical,pdf,Kalpana Sharma,26-May-2026 01:05 PM,technical_2133238.pdf,AOC,1.0,Fee/PreQual/Technical,.pdf,nit,"1,298",EO,Khutar,No,1,SS - Small Savings Instrument,EO Khutar,Nagar Panchayat Khutar,"22,426",No,fixed,,EO,Khutar,1.0,Extantion Date,Date,,27-Apr-2026 09:00 AM,12-May-2026 11:00 AM,27-Apr-2026 09:00 AM,11-May-2026 05:00 PM,NA ,NA ,27-Apr-2026 09:00 AM,11-May-2026 05:00 PM,26-May-2026 02:10 PM,Mo- Kot me Kaushal ke Makan se Ajay ke makan tak Nali va Interlock Sadak Marammat/Sudhar ka Karya.,Mo- Kot me Kaushal ke Makan se Ajay ke makan tak Nali va Interlock Sadak Marammat/Sudhar ka Karya.,Please refer Tender documents. ,NA ,"11,21,322",Civil Works,NA ,Tender,90.0,NA ,NP Khutar,242405.0,NA ,NA ,NA ,NP Khutar,No ,No,Directorate of Local Bodies UP||Nagar Panchayat Khutar Shahjahanpur,399/NPK/2026-27Dt-24-04-2026,2026_DOLBU_1142122_5,Yes,Open Tender,Percentage,Works,2.0,No,No,Offline,No,No,No,AOC
,,,,2.0,6100821.0,M/S SHRI SAI CONSTRUCTIONS & GENRAL ORDER SUPPILER,11-May-2026 11:08 AM,Rejected-Finance,5 Percent Above Rate,26-May-2026 04:53 PM,,,,,,,,,,,,,AOC,2.0,Finance,.xls,boq,,,,,2,BG - Bank Guarantee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,3.0,6100645.0,M/S VINSHNU TRADERS,11-May-2026 11:01 AM,Rejected-Finance,2 Percent Above Rate,26-May-2026 04:53 PM,,,,,,,,,,,,,AOC,,,,,,,,,3,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,4,RTGS - RTGS Payment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
