S.No,Bank Name,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :.1,Financial Bid Opening Date:,Document :.1,Type :.1,Summary :.1,Updated By :.2,Updated On :.2,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :,Document :.3,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Tender Stage
1.0,SBI Bank,1.0,Fee/PreQual/Technical,.pdf,TECHNICAL BID,"U P Irrigation Department (Civil)||Chief Engineer-Sharda, Lucknow||V Circle Irrigation Works, Bareilly||RCD, bareilly",01/EE/RCD/2026-27,2026_UPIDC_1152177_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,EE,RCD BLY,"43,000",No,fixed,,Nil,Nil,23-May-2026 12:00 PM,29-May-2026 01:00 PM,23-May-2026 12:00 PM,29-May-2026 11:00 AM,NA ,NA ,23-May-2026 12:00 PM,29-May-2026 11:00 AM,30-May-2026 02:00 PM,854.0,Nil,Nil,No,NALA,GORA DRAIN KE KM 0.00 SE KM. 31.00 TAK SILT SAFAI KA KARY,Please refer Tender documents. ,NA ,,Civil Works - Canal,NA ,Tender,90.0,NA ,BAREILLY,243001.0,NA ,NA ,NA ,BAREILLY,No ,No,AOC,Finance,02 BIDS RECEIVED,SARVESH CHANDRA SINHA,30-May-2026 03:15 PM,,BOQ Comparative Chart,EE RCD BAREILLY,Internal,EE ID BAREILLY ACCOUNTANT RCD BAREILLY,SARVESH CHANDRA SINHA,30-May-2026 11:41 AM,30-May-2026 02:00 PM,techsummary_2158362.pdf (226.29 KB),Technical,04 BIDS RECEIVED,SARVESH CHANDRA SINHA,30-May-2026 10:16 AM,,EE RCD BAREILLY,Internal,EE ID BLY ACCOUNTANT RCD BLY,SARVESH CHANDRA SINHA,01-Jun-2026 04:25 PM,finsummary_2158362.pdf (94.42 KB),01-Jun-2026,"INR 1,139,356.6",15.0,SARVESH CHANDRA SINHA,05-Jun-2026 04:40 PM,1.pdf (472.00 KB),1,6147242,JABBAR AHMAD,28-May-2026 12:32 AM,Accepted-AOC,1,05-Jun-2026 04:40 PM,1.0,6147242.0,JABBAR AHMAD,INR,"1,139,356.6","U P Irrigation Department (Civil)||Chief Engineer-Sharda, Lucknow||V Circle Irrigation Works, Bareilly||RCD, bareilly",2026_UPIDC_1152177_1,01/EE/RCD/2026-27,NALA,AOC
,,2.0,Finance,.xls,FINANCIAL BID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,6146516,M/S MADAN LAL CONTRACTOR & SUPLAYARS,27-May-2026 07:11 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,30-May-2026 10:16 AM,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,6150089,M/S UDDESHYA TRADERS,28-May-2026 07:25 PM,Rejected-AOC,2,05-Jun-2026 04:40 PM,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,6144089,QAMRUDDIN,26-May-2026 05:59 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,30-May-2026 10:16 AM,,,,,,,,,,AOC
