Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Type :,Summary :,Updated By :.2,Updated On :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Corrigendum Title,Corrigendum Type,View,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No.1,Instrument Type,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Tender Stage
Directorate of Local Bodies UP||Nagar Panchayat Bisandabujurg Banda,2026_DOLBU_1143468_1,420/Nirman/NPBisanda/2026-27 Date 28-04-2026,CONSTRUCTION OF CC ROAD FROM H/O BABBU YADAV TO H/O BAHAR WALI ROAD IN W.NO.7,1.0,6096522.0,M/S RAJARAM YADAV CONTRACTOR,INR,"464,097.25",1,6096588,CHAUBEY CONSTRUCTION,07-May-2026 04:24 PM,Rejected-AOC,L3 LOWEST,05-Jun-2026 12:48 PM,26-May-2026,"INR 464,097.25",90.0,Nirdosh Kumar,05-Jun-2026 12:48 PM,Babbuyadav.pdf (851.00 KB),L1 LOWEST,EO,Internal,CLERK JE AND EO,Nirdosh Kumar,16-May-2026 01:49 PM,finsummary_2135989.pdf (363.77 KB),Technical,All Dacument is Correct so Admitted,Nirdosh Kumar,11-May-2026 03:28 PM,technical_2135989.pdf,EO,Internal,CLERK JE AND EO,Nirdosh Kumar,16-May-2026 10:12 AM,16-May-2026 10:20 AM,techsummary_2135989.pdf (804.29 KB),Finance,All bid is correct so admitted,Nirdosh Kumar,16-May-2026 12:09 PM,finance_2135989.pdf,BOQ Comparative Chart,AOC,Directorate of Local Bodies UP||Nagar Panchayat Bisandabujurg Banda,420/Nirman/NPBisanda/2026-27 Date 28-04-2026,2026_DOLBU_1143468_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Offline,No,No,No,29-Apr-2026 01:00 PM,09-May-2026 11:00 AM,29-Apr-2026 02:00 PM,08-May-2026 05:00 PM,NA ,NA ,29-Apr-2026 02:00 PM,08-May-2026 05:00 PM,16-May-2026 10:20 AM,1.0,Date,Date,,"9,296",No,fixed,,Executive Officer,NP Bisandabujurg,1,DD - Demand Draft,1.0,Fee/PreQual/Technical,.pdf,Technical,549.0,Executive Officer,NP Bisandabujurg,No,CONSTRUCTION OF CC ROAD FROM H/O BABBU YADAV TO H/O BAHAR WALI ROAD IN W.NO.7,CONSTRUCTION OF CC ROAD FROM H/O BABBU YADAV TO H/O BAHAR WALI ROAD IN W.NO.7,Please Refer Tender Dacument  ,NA ,"4,64,794",Civil Works,NA ,Tender,90.0,NA ,NP Bisandabujurg,210203.0,NA ,NA ,NA ,Bisandabujurg,No ,No,Executive Officer,NP Bisanda,AOC
,,,,,,,,,2,6095717,M/S KAPIL AWASTHI THEKEDAR,07-May-2026 02:25 PM,Rejected-AOC,L2 LOWEST,05-Jun-2026 12:48 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,FDR - Fixed Deposit,2.0,Finance,.xls,Finance,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,3,6096522,M/S RAJARAM YADAV CONTRACTOR,07-May-2026 04:11 PM,Accepted-AOC,L1 LOWEST,05-Jun-2026 12:48 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,RTGS - RTGS Payment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
