EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Cover No,Cover,Document Type,Description,S.No,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated On :,Document :.1,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Tender Stage
"61,556",Yes,fixed,,Nil,Nil,16-Apr-2026 01:00 PM,17-Apr-2026 04:00 PM,16-Apr-2026 01:00 PM,17-Apr-2026 03:00 PM,NA ,NA ,16-Apr-2026 01:00 PM,17-Apr-2026 03:00 PM,1.0,Fee/PreQual/Technical/Finance,.pdf,tn,1.0,SBI Bank,"Kanpur Municipal Corporation, Kanpur, UP",651/AA-1/2025-26,2026_NNKAN_1137538_1,Yes,Open Tender,Fixed-rate,Works,1.0,No,No,Online,No,No,No,"1,180",Nil,Nil,No,zonne-01 ward-78 ke antaragt Kausik Park se S.S.P office ke pass Vilopit Point ke Sundari Karan Ka Karay,zonne-01 ward-78 ke antaragt Kausik Park se S.S.P office ke pass Vilopit Point ke Sundari Karan Ka Karay,Please refer Tender documents. ,NA ,"6,15,561",Civil Works,NA ,Tender,90.0,NA ,KANPUR,208001.0,NA ,NA ,NA ,ze-1 civil lines,No ,No,c.e office,c. e office kanpur nagar nigam,AOC,EE-1,Internal,ee-1,ALOK SRIVASTAVA,12-Jun-2026 04:49 PM,finsummary_2124174.pdf (121.91 KB),EE-1,Internal,ee-1,ALOK SRIVASTAVA,12-Jun-2026 04:46 PM,techsummary_2124174.pdf (121.91 KB),12-Jun-2026,"INR 523,228",30.0,ALOK SRIVASTAVA,12-Jun-2026 04:52 PM,651.pdf (305.00 KB),wo,1,6052936,M/S JAISWAL ELECTRICALS,16-Apr-2026 10:22 PM,Accepted-AOC,L1,12-Jun-2026 04:52 PM,"Kanpur Municipal Corporation, Kanpur, UP",2026_NNKAN_1137538_1,651/AA-1/2025-26,zonne-01 ward-78 ke antaragt Kausik Park se S.S.P office ke pass Vilopit Point ke Sundari Karan Ka Karay,1.0,6052936.0,M/S JAISWAL ELECTRICALS,INR,"523,228",Finance,all bids submitted,ALOK SRIVASTAVA,22-Apr-2026 11:21 AM,finance_2124174.pdf,BOQ Comparative Chart,AOC
,,,,,,,,,,,,,,,,.xls,boq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,2,6053109,M/S M K TRADERS,17-Apr-2026 02:09 PM,Rejected-Finance,not qualified,12-Jun-2026 04:49 PM,,,,,,,,,,,,,,,,AOC
