Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Type :,Summary :,Updated By :.1,Updated On :.1,Document :.1,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage,S.No,Corrigendum Title,Corrigendum Type,View,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No.1,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Tender Stage
EE RED GONDA,Internal,Er J B Singh EE Er Virendra Kumar Pathak A E Sri L. K. Chakravarti D A O,VIRENDRA KUMAR PATHAK,23-Feb-2026 10:40 AM,23-Feb-2026 11:00 AM,techsummary_2054223.pdf (561.22 KB),Technical,Summary,VIRENDRA KUMAR PATHAK,23-Feb-2026 10:38 AM,,02-Jun-2026,"INR 1,490,874.41",120.0,Jay Bahadur Singh,02-Jun-2026 05:10 PM,PVN13.pdf (197.00 KB),bond,Director Cum Chief Engineer RED||CHIEF ENGINEER EAST||SE DEVIPATAN CIRCLE||EE GONDA,2026_REDUP_1111577_13,156/RED/ENIV/NIR/25-26 Dt 09-01-2026,Gram Pared Sarkar me Rajendra Nath Lahiri Nevalganj marg se Dherendra Pratap Singh ke ghar tak Rabarmold Interlocking Nali ka Nirman Karya,1,5862200,M/S VIRAJ TRADERS,11-Feb-2026 06:21 PM,Accepted-AOC,L1,02-Jun-2026 05:10 PM,1.0,5862200.0,M/S VIRAJ TRADERS,INR,"1,490,874.41",EE RED GONDA,Internal,SRI J B SINGH EE SRI SIDDHARTHA VIKRAM SINGH A E SRI L K CHAKRAVARTI D A O,Jay Bahadur Singh,02-Jun-2026 05:08 PM,finsummary_2054223.pdf (197.01 KB),Finance,Summary,Jay Bahadur Singh,02-Jun-2026 04:30 PM,,BOQ Comparative Chart,AOC,1.0,CorrigendumDate,Date,,02-Feb-2026 04:00 PM,12-Feb-2026 12:30 PM,02-Feb-2026 04:00 PM,12-Feb-2026 12:00 PM,NA ,NA ,02-Feb-2026 04:00 PM,12-Feb-2026 12:00 PM,23-Feb-2026 11:00 AM,Gram Pared Sarkar me Rajendra Nath Lahiri Nevalganj marg se Dherendra Pratap Singh ke ghar tak Rabarmold Interlocking Nali ka Nirman Karya,Gram Pared Sarkar me Rajendra Nath Lahiri Nevalganj marg se Dherendra Pratap Singh ke ghar tak Rabarmold Interlocking Nali ka Nirman Karya,Gram Pared Sarkar me Rajendra Nath Lahiri Nevalganj marg se Dherendra Pratap Singh ke ghar tak Rabarmold Interlocking Nali ka Nirman Karya ,NA ,"14,94,012",Civil Works,NA ,Tender,90.0,120.0,EE RED Gonda,271001.0,NA ,NA ,NA ,EE RED Gonda,No ,No,1.0,SBI Bank,"29,880",Yes,percentage,2.0%,Nil,Nil,950.0,Nil,Nil,No,1,Fee/PreQual/Technical,.pdf,NIT with T1,Director Cum Chief Engineer RED||CHIEF ENGINEER EAST||SE DEVIPATAN CIRCLE||EE GONDA,156/RED/ENIV/NIR/25-26 Dt 09-01-2026,2026_REDUP_1111577_13,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,EE RED GONDA,EE RED GONDA,AOC
,,,,,,,,,,,,,,,,,,,,,,,2,5863280,Pankaj Kumar Singh,12-Feb-2026 10:34 AM,Rejected-Finance,L2,02-Jun-2026 05:08 PM,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Finance,.xls,Work BOQ,,,,,,,,,,,,,,,,,AOC
