Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,S.No,Bank Name,S.No.1,Corrigendum Title,Corrigendum Type,View,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :.1,Financial Bid Opening Date:,Document :.1,Type :.1,Summary :.1,Updated By :.2,Updated On :.2,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :,Document :.3,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage
"11,800",Nil,Nil,No,02-Apr-2026 11:00 AM,10-Apr-2026 03:00 PM,02-Apr-2026 11:00 AM,10-Apr-2026 02:00 PM,NA ,NA ,02-Apr-2026 11:00 AM,10-Apr-2026 02:00 PM,16-Apr-2026 03:00 PM,"General Manager, Zone-1, Prayagraj","General Manager, Zone-1, U. P. Projects Corporation Ltd. 230/1A, Mehdaury, Teliyarganj, District-Prayagraj (U.P.)","Construction of Extra Class Room (04 Nos) and Toilet Blck at Rajkiya Inter College, Chapaki District-Sonebhadra (U.P.)","Construction of Extra Class Room (04 Nos) and Toilet Blck at Rajkiya Inter College, Chapaki District-Sonebhadra (U.P.)",Please refer Tender documents. ,NA ,"69,90,000",Civil Works - Buildings,NA ,Tender,90.0,270.0,District-Sonebhadra (U.P.),231216.0,NA ,NA ,NA ,Prayagraj,No ,No,U.P. Projects Corporation Ltd.||U.P. Projects Corp. Ltd.(MD)||Zone-1 Allahabad,129/UPPCL/GM-1/2025-26/ETENDER Dated-25.03.2026,2026_UPPRC_1132505_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,1,Fee/PreQual/Technical,.pdf,BIDDOC,1.0,SBI Bank,1.0,Date1,Date,,"1,40,000",No,fixed,,Nil,Nil,AOC,Finance,Enclosed,SURESH CHANDRA YADAV,03-Jun-2026 06:57 PM,finance_2113689.pdf,BOQ Comparative Chart,"General Manager Zone-1, Prayagraj",Internal,"Project Manager Unit-16, Mirzapur, Accountant Unit-16, Mirzapur, Project Manager Unit-2,Prayagraj",SURESH CHANDRA YADAV,15-Apr-2026 07:49 PM,16-Apr-2026 03:00 PM,techsummary_2113689.pdf (1161.40 KB),Technical,Enclosed,SURESH CHANDRA YADAV,15-Apr-2026 07:45 PM,technical_2113689.pdf,"General Manager Zone-1, Prayagraj",Internal,"Project Manager Unit-16, Mirzapur, Accountant Unit-16, Mirzapur, Project Manager Unit-2, Prayagraj",SURESH CHANDRA YADAV,03-Jun-2026 07:01 PM,finsummary_2113689.pdf (1161.40 KB),03-Jun-2026,"INR 6,962,155.85",270.0,SURESH CHANDRA YADAV,03-Jun-2026 07:03 PM,Agr15.pdf (420.00 KB),Enclosed,1,6039187,DEVESH CONSTRUCTION & MATERIAL SUPPLY CO.,09-Apr-2026 07:42 PM,Rejected-AOC,Accept,03-Jun-2026 07:04 PM,U.P. Projects Corporation Ltd.||U.P. Projects Corp. Ltd.(MD)||Zone-1 Allahabad,2026_UPPRC_1132505_1,129/UPPCL/GM-1/2025-26/ETENDER Dated-25.03.2026,"Construction of Extra Class Room (04 Nos) and Toilet Blck at Rajkiya Inter College, Chapaki District-Sonebhadra (U.P.)",1.0,6036822.0,PRAMOD KUMAR SINGH,INR,"6,962,155.85",AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Finance,.xls,BOQ,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,6036822,PRAMOD KUMAR SINGH,09-Apr-2026 05:36 PM,Accepted-AOC,Accept,03-Jun-2026 07:04 PM,,,,,,,,,,AOC
