Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :.1,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :.1,Document :.1,Type :.1,Summary :.1,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Bank Name,Name,Address,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage
16-Jun-2026,"INR 697,517",120.0,Vishnoo Kumar,16-Jun-2026 07:21 PM,BonSaneta.pdf (456.00 KB),1,6072507,M/S M R CONSTRUCTIONS,27-Apr-2026 03:29 PM,Rejected-Finance,L2,06-Jun-2026 12:24 PM,1.0,6072780.0,R.K BUILDERS,INR,"697,517",Director Cum Chief Engineer RED||CHIEF ENGINEER WEST||SE MEERUT CIRCLE||EE BULANDSHAHAR,2026_REDUP_1138974_1,1846/RED/Tender/ 2025-26/Dt 31/03/26,Construction of CC road and drain from Kamal house towards the pond in village Saneta.,Technical,saneta,Vishnoo Kumar,16-May-2026 11:54 AM,technical_2126582.pdf,EE RED BSR,Internal,EE and DAO,Vishnoo Kumar,06-Jun-2026 12:24 PM,finsummary_2126582.pdf (60.82 KB),Finance,saneta,Vishnoo Kumar,06-Jun-2026 12:21 PM,finance_2126582.pdf,BOQ Comparative Chart,EE RED BSR,Internal,EE and DAO,Vishnoo Kumar,16-May-2026 11:59 AM,19-May-2026 12:00 PM,techsummary_2126582.pdf (477.18 KB),AOC,Construction of CC road and drain from Kamal house towards the pond in village Saneta.,Construction of CC road and drain from Kamal house towards the pond in village Saneta.,Please refer Tender documents. ,NA ,"6,98,000",Civil Works,NA ,Tender,90.0,120.0,EE RED BSR,203001.0,EE RED BSR ,EE RED BSR ,24-Apr-2026 11:00 AM ,EE RED BSR,No ,No,1.0,SBI Bank,EE RED BSR,EE RED BSR,1,Fee/PreQual/Technical,.pdf,T1,856.0,Nil,Nil,No,Director Cum Chief Engineer RED||CHIEF ENGINEER WEST||SE MEERUT CIRCLE||EE BULANDSHAHAR,1846/RED/Tender/ 2025-26/Dt 31/03/26,2026_REDUP_1138974_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,20-Apr-2026 12:00 PM,30-Apr-2026 04:00 PM,20-Apr-2026 12:00 PM,28-Apr-2026 12:00 PM,NA ,NA ,20-Apr-2026 12:00 PM,28-Apr-2026 12:00 PM,19-May-2026 12:00 PM,"14,000",No,fixed,,Nil,Nil,AOC
,,,,,,2,6072780,R.K BUILDERS,27-Apr-2026 05:11 PM,Accepted-AOC,L1,16-Jun-2026 07:21 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,2,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
