Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Type :,Summary :,Updated By :.1,Updated On :.1,Document :.1,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :,AOC document :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Bank Name,Cover No,Cover,Document Type,Description,Name,Address,Tender Stage
EE RED KUSHINAGAR,Internal,,Virendra Kumar Pandey,01-Jun-2026 04:52 PM,01-Jun-2026 06:00 PM,techsummary_2153455.pdf (942.12 KB),Technical,Bid Opening Summary,Praveen Kumar,30-May-2026 09:16 AM,,10-Jun-2026,INR 100,90.0,GIRISH KUMAR,10-Jun-2026 09:45 PM,10.pdf (303.00 KB),1,6147942,M/s Bindu Devi,28-May-2026 09:43 AM,Rejected-Finance,L2,10-Jun-2026 09:18 PM,Director Cum Chief Engineer RED||CHIEF ENGINEER EAST||SE GORAKHPUR CIRCLE||EE KUSHINAGAR,2026_REDUP_1150065_10,2742/EE TENDER/KUSHINAGAR,Gram Sabha Kasiaha mein Nahar Pul se Belahiya Tola ki taraf interlocking road ka nirman karya.,EE RED KUSHINAGAR,Internal,,GIRISH KUMAR,10-Jun-2026 09:18 PM,finsummary_2153455.pdf (303.15 KB),Finance,Bid Opening Summary,Praveen Kumar,05-Jun-2026 01:44 PM,,BOQ Comparative Chart,1.0,6147686.0,M/S SHRI OM SAI TRADERS,INR,100.0,AOC,Director Cum Chief Engineer RED||CHIEF ENGINEER EAST||SE GORAKHPUR CIRCLE||EE KUSHINAGAR,2742/EE TENDER/KUSHINAGAR,2026_REDUP_1150065_10,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,"2,336",Nil,Nil,No,"62,000",No,fixed,,Nil,Nil,Gram Sabha Kasiaha mein Nahar Pul se Belahiya Tola ki taraf interlocking road ka nirman karya.,Gram Sabha Kasiaha mein Nahar Pul se Belahiya Tola ki taraf interlocking road ka nirman karya.,Please refer Tender documents. ,NA ,"30,96,000",Civil Works,NA ,Tender,90.0,90.0,WORK,274403.0,NA ,NA ,NA ,EE RED KUSHINAGAR,No ,No,22-May-2026 09:00 AM,29-May-2026 03:00 PM,22-May-2026 09:00 AM,29-May-2026 12:00 PM,NA ,NA ,22-May-2026 09:00 AM,29-May-2026 12:00 PM,01-Jun-2026 06:00 PM,1.0,SBI Bank,1,Fee/PreQual/Technical,.pdf,Fee/PreQual/Technical,EE RED KUSHINAGAR,EE RED KUSHINAGAR,AOC
,,,,,,,,,,,,,,,,,,2,6147686,M/S SHRI OM SAI TRADERS,28-May-2026 07:27 AM,Accepted-AOC,L1,10-Jun-2026 09:46 PM,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Finance,.xls,Finance,,,AOC
