Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :.1,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :.1,Document :.1,Type :.1,Summary :.1,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Bank Name,Tender Stage
15-Jun-2026,"INR 900,356",30.0,Rajendra Kumar Verma,15-Jun-2026 03:48 PM,IMG_20260615_0001.pdf (573.00 KB),1,6009772,M/s Lal Mohan Yadav,26-Mar-2026 01:51 PM,Rejected-Finance,L2,12-Apr-2026 01:56 PM,1.0,6008232.0,RAJA RAM YADAV,INR,"900,356","Chief Engineer PWD Varanasi Zone||S.E. Jaunpur - Ghazipur Circle PWD Jaunpur||Provincial Division, PWD Jaunpur",2026_CEUVZ_1128798_1,486/8A date 09-02-2026,Repair Work in 03 Public Toilets situated in District Court Jaunpur,Technical,boq summary,Rajendra Kumar Verma,30-Mar-2026 02:02 PM,technical_2105351.pdf,RK,Internal,,Rajendra Kumar Verma,12-Apr-2026 01:56 PM,finsummary_2105351.pdf (196.02 KB),Finance,boq summary,Rajendra Kumar Verma,12-Apr-2026 01:54 PM,finance_2105351.pdf,BOQ Comparative Chart,RK,Internal,,Rajendra Kumar Verma,30-Mar-2026 02:04 PM,30-Mar-2026 02:05 PM,techsummary_2105351.pdf (91.98 KB),AOC,21-Mar-2026 02:00 PM,26-Mar-2026 02:00 PM,21-Mar-2026 02:00 PM,26-Mar-2026 02:00 PM,NA ,NA ,21-Mar-2026 02:00 PM,26-Mar-2026 02:00 PM,30-Mar-2026 02:05 PM,Repair Work in 03 Public Toilets situated in District Court Jaunpur,Repair Work in 03 Public Toilets situated in District Court Jaunpur,Please refer Tender documents. ,NA ,"12,80,000",Civil Works,NA ,Tender,90.0,30.0,jaunpur,222002.0,NA ,NA ,NA ,jaunpur,No ,No,1,Fee/PreQual/Technical,.pdf,tech,"Chief Engineer PWD Varanasi Zone||S.E. Jaunpur - Ghazipur Circle PWD Jaunpur||Provincial Division, PWD Jaunpur",486/8A date 09-02-2026,2026_CEUVZ_1128798_1,Yes,Open Tender,Fixed-rate,Works,2.0,No,No,Online,No,No,No,"1,28,000",Yes,fixed,,Nil,Nil,ee pd jaunpur,ee pd jaunpur,944.0,Nil,Nil,No,1.0,SBI Bank,AOC
,,,,,,2,6008232,RAJA RAM YADAV,25-Mar-2026 11:18 PM,Accepted-AOC,L1,15-Jun-2026 03:48 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Finance,.xls,FInance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
