Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :,Financial Bid Opening Date:,Document :,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,Tender Stage,S.No,Instrument Type,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Stage
Directorate of Local Bodies UP||Nagar Palika Parishad Biswan Sitapur,2026_DOLBU_1153243_2,90/A/VNY/NPPB/26-27,NAGAR PALIKA ANTARGAT SARKARI BHUMI PER VAISVIK NAGAR BAZAR KA NIRMAN KARYA,1.0,6199023.0,SHIVAAY INFRATECH,INR,"21,620,672",1,6199484,MAHADEV CONSTRUCTIONS,16-Jun-2026 01:10 PM,Rejected-Finance,L3,24-Jun-2026 05:49 PM,25-Jun-2026,"INR 21,620,672",360.0,Ashish Srivastava,24-Jun-2026 05:53 PM,VNYTENDERNOTICE.pdf (709.00 KB),L1,PUSPU JAISWAL,Internal,neelam chaudhary rajesh pal ashish srivastava,Ajeet Singh,24-Jun-2026 04:31 PM,24-Jun-2026 05:00 PM,techsummary_2160437.pdf (708.65 KB),Finance,ALL OK,Ashish Srivastava,24-Jun-2026 05:36 PM,finance_2160437.pdf,BOQ Comparative Chart,PUSPU JAISWAL,Internal,NEELAM CHAUDHARY RAJESH PAL ASHISH SRIVASTAVA,Ashish Srivastava,24-Jun-2026 05:49 PM,finsummary_2160437.pdf (708.72 KB),Technical,OK,Ajeet Singh,24-Jun-2026 04:23 PM,technical_2160437.pdf,AOC,1.0,FDR - Fixed Deposit,"25,564",EO NPP OFFICE BISWAN,BISWAN,No,1.0,Fee/PreQual/Technical,.pdf,FEE/PRE/TECH,EO NPP OFFICE BISWAN,NPP OFFICE BISWAN,"21,66,450",No,fixed,,EO NPP OFFICE BISWAN,BISWAN,NAGAR PALIKA ANTARGAT SARKARI BHUMI PER VAISVIK NAGAR BAZAR KA NIRMAN KARYA,NAGAR PALIKA ANTARGAT SARKARI BHUMI PER VAISVIK NAGAR BAZAR KA NIRMAN KARYA,PLS SEE TENDER DETAILS ,NA ,,Civil Works,NA ,Tender,30.0,180.0,BISWAN,261201.0,NA ,NA ,NA ,NPP OFFICE BISWAN,No ,No,Directorate of Local Bodies UP||Nagar Palika Parishad Biswan Sitapur,90/A/VNY/NPPB/26-27,2026_DOLBU_1153243_2,Yes,Open Tender,Percentage,Works,2.0,No,No,Offline,No,No,No,25-May-2026 02:00 PM,16-Jun-2026 04:00 PM,25-May-2026 02:00 PM,16-Jun-2026 02:00 PM,NA ,NA ,25-May-2026 02:00 PM,16-Jun-2026 02:00 PM,24-Jun-2026 05:00 PM,AOC
,,,,,,,,,2,6199303,M/S NIKHIL PRAKASH AWASTHI,16-Jun-2026 01:02 PM,Rejected-Finance,L2,24-Jun-2026 05:49 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,2.0,RTGS - RTGS Payment,,,,,2.0,Finance,.xls,FINANCE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,3,6199023,SHIVAAY INFRATECH,16-Jun-2026 01:24 PM,Accepted-AOC,L1,24-Jun-2026 05:52 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
