Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.1,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.2,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Tender Stage,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Bank Name,Cover No,Cover,Document Type,Description,Tender Stage
CE,Internal,,narendra kumar chaudhary,15-Apr-2026 05:00 PM,16-Apr-2026 02:00 PM,techsummary_2083047.pdf (2558.64 KB),01-Jun-2026,"INR 1,631,896",60.0,narendra kumar chaudhary,01-Jun-2026 12:01 PM,28110.pdf (410.00 KB),Technical,Technical,narendra kumar chaudhary,06-Mar-2026 05:56 PM,,1.0,5945233.0,Shantanu Infratech,INR,"1,631,896",Finance,Finance,narendra kumar chaudhary,16-Apr-2026 03:00 PM,,BOQ Comparative Chart,ce,Internal,,narendra kumar chaudhary,01-Jun-2026 11:56 AM,finsummary_2083047.pdf (409.99 KB),1,5943680,AJAY TYAGI,02-Mar-2026 01:55 PM,Rejected-Finance,L2,01-Jun-2026 11:56 AM,Directorate of Local Bodies UP||Ghaziabad Municipal Corporation,2026_DOLBU_1119907_28,110/Nirman/2025-26 Date 21.02.2026,Work of drain and interlocking tiles from Santosh Kumar house to Naresh Kumar house in Ward-30 Ratan Enclave Street No. 09.,AOC,"57,596",No,percentage,3.0%,Nil,Nil,25-Feb-2026 02:00 PM,03-Mar-2026 03:30 PM,25-Feb-2026 02:00 PM,03-Mar-2026 03:00 PM,NA ,NA ,25-Feb-2026 02:00 PM,03-Mar-2026 03:00 PM,16-Apr-2026 02:00 PM,CE,Ghaziabad Nagar Nigam,"1,416",Nil,Nil,No,Work of drain and interlocking tiles from Santosh Kumar house to Naresh Kumar house in Ward-30 Ratan Enclave Street No. 09.,Work of drain and interlocking tiles from Santosh Kumar house to Naresh Kumar house in Ward-30 Ratan Enclave Street No. 09.,Please refer Tender documents. ,NA ,"19,19,878",Civil Works,NA ,Tender,90.0,NA ,CE,201001.0,NA ,NA ,NA ,Ghaziabad Nagar Nigam,No ,No,Directorate of Local Bodies UP||Ghaziabad Municipal Corporation,110/Nirman/2025-26 Date 21.02.2026,2026_DOLBU_1119907_28,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,1.0,SBI Bank,1.0,Fee/PreQual/Technical,.pdf,Tender Notice,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5941754,A.S Constructions,02-Mar-2026 05:37 PM,Rejected-Finance,L2,01-Jun-2026 11:56 AM,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,5943775,A S CONSTRUCTIONS,02-Mar-2026 01:48 PM,Rejected-Finance,L2,01-Jun-2026 11:56 AM,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,5941723,MODERN CONSTRUCTION COMPANY,28-Feb-2026 07:04 PM,Rejected-Technical,all requried not complete,15-Apr-2026 05:00 PM,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5943705,M/S B J M ASSOCIATES,02-Mar-2026 04:16 PM,Rejected-Finance,L2,01-Jun-2026 11:56 AM,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,5945397,MS BUILDWELL,03-Mar-2026 11:50 AM,Rejected-Finance,L2,01-Jun-2026 11:56 AM,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,5941871,M/S CHOUDHARY ASSOCIATES,01-Mar-2026 08:08 AM,Rejected-Finance,L2,01-Jun-2026 11:56 AM,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,5937650,M/S RAHUL BUILDERS,28-Feb-2026 02:49 PM,Rejected-Finance,L2,01-Jun-2026 11:56 AM,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,5938129,M/S SHIVAM BUILDERS,27-Feb-2026 03:46 PM,Rejected-Technical,all requried not complete,15-Apr-2026 05:00 PM,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,5938122,M/S SHIV SHANKAR KUMAR,27-Feb-2026 04:27 PM,Rejected-Finance,L2,01-Jun-2026 11:56 AM,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,5940128,Pranava Infratech,01-Mar-2026 10:45 PM,Rejected-Technical,all requried not complete,15-Apr-2026 05:00 PM,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,5942762,RAQEEB CONTRACTOR,02-Mar-2026 08:21 AM,Rejected-Finance,L2,01-Jun-2026 11:56 AM,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,5936105,Sarthak construction,03-Mar-2026 09:24 AM,Rejected-Finance,L2,01-Jun-2026 11:56 AM,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,5941647,sg enterprises,01-Mar-2026 04:44 PM,Rejected-Finance,L2,01-Jun-2026 11:56 AM,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,5945233,Shantanu Infratech,03-Mar-2026 09:20 AM,Accepted-AOC,L1,01-Jun-2026 12:01 PM,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,5945368,Shree Radhey Constructions,03-Mar-2026 12:08 PM,Rejected-Finance,L2,01-Jun-2026 11:56 AM,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,5943470,SIDDH CONSTRUCTION COMPANY,02-Mar-2026 11:58 AM,Rejected-Finance,L2,01-Jun-2026 11:56 AM,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,5941999,URVASHI CEMENT UDYOG,02-Mar-2026 06:50 PM,Rejected-Finance,L2,01-Jun-2026 11:56 AM,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
