Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,S.No,Bank Name,Name,Address,S.No.1,Corrigendum Title,Corrigendum Type,View,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated on :,Document :.1,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.2,BOQ Comparative Chart :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Tender Stage
"Kanpur Municipal Corporation, Kanpur, UP",934/AA-2/25-26,2026_NNKAN_1118930_1,Yes,Open Tender,Fixed-rate,Works,1.0,No,No,Online,No,No,No,"1,180",Nil,Nil,No,21-Feb-2026 02:00 PM,28-Feb-2026 04:00 PM,21-Feb-2026 02:00 PM,28-Feb-2026 03:00 PM,NA ,NA ,21-Feb-2026 02:00 PM,28-Feb-2026 03:00 PM,1.0,SBI Bank,"CHIEF ENGINEER, KMC",Motijheel,1.0,Date Extended,Date,,Road improvement work by patch from Sundar Nagar Square to SL Galaxy in Ward-63 Under zone-2.,Road improvement work by patch from Sundar Nagar Square to SL Galaxy in Ward-63 Under zone-2.,Please refer Tender documents. ,NA ,"9,94,977",Civil Works,NA ,Tender,90.0,45.0,zone 2,208011.0,NA ,NA ,NA ,"OFFICE OF THE CHIEF ENGINEER, KMC",No ,No,1.0,Fee/PreQual/Technical/Finance,.pdf,Certificateofnon-pending5workasperthecontractonstamppaperofRs.100as perSerialNo.14oftenderconditions,"99,498",No,percentage,10.0%,Nil,Nil,AOC,CE,Internal,,DIVAKAR BHASKAR,24-Mar-2026 06:06 PM,techsummary_2080096.pdf (194.18 KB),CE,Internal,,DIVAKAR BHASKAR,24-Mar-2026 06:08 PM,finsummary_2080096.pdf (194.18 KB),Finance,M/s GANESH and COMPANY,DIVAKAR BHASKAR,24-Mar-2026 05:56 PM,,BOQ Comparative Chart,02-Jun-2026,"INR 833,925",45.0,DIVAKAR BHASKAR,10-Jun-2026 02:02 PM,1118930gnesh.pdf (621.00 KB),1,5927698,DLG ENTERPRISES PVT LTD,27-Feb-2026 06:39 PM,Rejected-Finance,L2,24-Mar-2026 06:08 PM,1.0,5914968.0,M/s GANESH & COMPANY,INR,"833,925","Kanpur Municipal Corporation, Kanpur, UP",2026_NNKAN_1118930_1,934/AA-2/25-26,Road improvement work by patch from Sundar Nagar Square to SL Galaxy in Ward-63 Under zone-2.,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,boq,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,2,5914968,M/s GANESH & COMPANY,23-Feb-2026 10:58 PM,Accepted-AOC,aoc,10-Jun-2026 02:02 PM,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,3,5920137,M/s Parasnath Builders,27-Feb-2026 03:22 AM,Rejected-Finance,L3,24-Mar-2026 06:08 PM,,,,,,,,,,AOC
