Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,Type :.1,Summary :.1,Updated By :.3,Updated On :.1,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage
Director Cum Chief Engineer RED||CHIEF ENGINEER WEST||SE AGRA CIRCLE,02/ SERED 2026-27 DT01-04-2026,2026_REDUP_1150633_16,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,"2,354",Nil,Nil,No,1.0,SBI Bank,"82,000",Yes,fixed,,Nil,Nil,1,Fee/PreQual/Technical,.pdf,SBD,SE RED AGRA,SE RED AGRA,6. Graam pnchaayat sevaraa men barahan aavalakhedaa rod se nagalaa chaib sinh kee or CC nirmaan kaary.,6. Graam pnchaayat sevaraa men barahan aavalakhedaa rod se nagalaa chaib sinh kee or CC nirmaan kaary.,Please refer Tender documents. ,NA ,,Civil Works,NA ,Tender,90.0,120.0,AGRA,282002.0,NA ,NA ,NA ,SE RED AGRA,No ,No,21-May-2026 10:00 AM,28-May-2026 02:30 PM,21-May-2026 10:00 AM,28-May-2026 12:00 PM,NA ,NA ,21-May-2026 10:00 AM,28-May-2026 12:00 PM,15-Jun-2026 12:00 PM,AOC,SE RED,Internal,,Dinesh Singh,18-Jun-2026 03:09 PM,finsummary_2155034.pdf (60.31 KB),Finance,ALL BID ADMITTED,Dinesh Singh,16-Jun-2026 06:24 PM,,BOQ Comparative Chart,1.0,6143715.0,TANYA CONSTRUCTION,INR,"4,026,904.55",1,6142906,M/S SAI ENTERPRISES,27-May-2026 03:07 PM,Rejected-Finance,L2,18-Jun-2026 03:09 PM,Director Cum Chief Engineer RED||CHIEF ENGINEER WEST||SE AGRA CIRCLE,2026_REDUP_1150633_16,02/ SERED 2026-27 DT01-04-2026,6. Graam pnchaayat sevaraa men barahan aavalakhedaa rod se nagalaa chaib sinh kee or CC nirmaan kaary.,18-Jun-2026,"INR 4,026,904.55",120.0,Dinesh Singh,28-Jun-2026 10:32 PM,Anwalkheda_Road_Nagla_Chob_Singh.pdf (180.00 KB),AOC,Technical,Technical,Dinesh Singh,29-May-2026 01:45 PM,,SERED,Internal,,Dinesh Singh,12-Jun-2026 11:17 PM,15-Jun-2026 12:00 PM,techsummary_2155034.pdf (98.60 KB),AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,2,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,2,6143715,TANYA CONSTRUCTION,27-May-2026 10:46 AM,Accepted-AOC,AOC,28-Jun-2026 10:33 PM,,,,,,,,,,,,,,,,,,,,,,,,AOC
