Name,Address,S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.3,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,Tender Stage
EE RED LALITPUR,EE RED LALITPUR,1.0,SBI Bank,28-Mar-2026 06:30 PM,23-Apr-2026 03:30 PM,28-Mar-2026 06:30 PM,23-Apr-2026 12:30 PM,NA ,NA ,28-Mar-2026 06:30 PM,23-Apr-2026 12:30 PM,02-May-2026 12:30 PM,1,Fee/PreQual/Technical,.pdf,Technical bid,766.0,Nil,Nil,No,"14,300",No,fixed,,Nil,Nil,Construction work of paver brick road from Kallu Nayak house towards Suresh Nayak house near the highway road in village Bhaisai of development block Jakhora.,Construction work of paver brick road from Kallu Nayak house towards Suresh Nayak house near the highway road in village Bhaisai of development block Jakhora.,Please refer Tender documents. ,NA ,"7,14,000",Civil Works,NA ,Tender,90.0,90.0,LALITPUR,284403.0,NA ,NA ,NA ,EE RED LALITPUR,No ,No,Director Cum Chief Engineer RED||CHIEF ENGINEER WEST||SE JHANSI CIRCLE||EE LALITPUR,1894/RED/NIVIDA/2025-26 Dt. 16.03.2026,2026_REDUP_1131268_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,AOC,EE RED LALITPUR,Internal,AE DAO,Swarna Singh,11-May-2026 04:19 PM,finsummary_2110636.pdf (458.98 KB),Technical,Techncial bid open,SUNIL KUMAR TRIPATHI,23-Apr-2026 05:44 PM,,EE RED LALITPUR,Internal,AE DAO LTP,Swarna Singh,30-Apr-2026 06:37 PM,02-May-2026 12:30 PM,techsummary_2110636.pdf (389.80 KB),Finance,Financial bid open,Swarna Singh,04-May-2026 05:12 PM,,BOQ Comparative Chart,1,6064104,MS SAANVI CONSTRUCTION/VIPIN KUMAR NIRANJAN,23-Apr-2026 11:32 AM,Rejected-Finance,L-2,11-May-2026 04:19 PM,1.0,6064064.0,PT. SHIVSHANKAR TIWARI TRADERS /JITENDRA KUMAR TIWARI,INR,"710,283.96",Director Cum Chief Engineer RED||CHIEF ENGINEER WEST||SE JHANSI CIRCLE||EE LALITPUR,2026_REDUP_1131268_1,1894/RED/NIVIDA/2025-26 Dt. 16.03.2026,Construction work of paver brick road from Kallu Nayak house towards Suresh Nayak house near the highway road in village Bhaisai of development block Jakhora.,22-May-2026,"INR 710,283.96",90.0,Swarna Singh,15-Jun-2026 02:51 PM,56.pdf (409.00 KB),All Formulties Complete,AOC
,,,,,,,,,,,,,2,Finance,.xls,boq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,2,6064064,PT. SHIVSHANKAR TIWARI TRADERS /JITENDRA KUMAR TIWARI,23-Apr-2026 11:31 AM,Accepted-AOC,All Formulties Complete,15-Jun-2026 02:51 PM,,,,,,,,,,,,,,,,,AOC
