S.No,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No.1,Corrigendum Title,Corrigendum Type,View,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Cover No,Cover,Document Type,Description,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated on :,Document :.1,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,Tender Stage
1.0,SBI Bank,Improvement of road by C.C from H.N-81 to H.N-100 in Vikas nagar ward -43 Under Zone 6.,Improvement of road by C.C from H.N-81 to H.N-100 in Vikas nagar ward -43 Under Zone 6.,Please refer Tender documents. ,NA ,"9,65,961",Civil Works,NA ,Tender,180.0,45.0,kanpur,208001.0,NA ,NA ,NA ,ce knn moti jheel,No ,No,ce knn,ce knn moti jheel,"Kanpur Municipal Corporation, Kanpur, UP",741/AA-6/2025-26,2026_NNKAN_1119168_1,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,1.0,date extension,Date,,"1,180",Nil,Nil,No,"96,596",No,percentage,10.0%,Nil,Nil,23-Feb-2026 09:00 AM,28-Feb-2026 04:00 PM,23-Feb-2026 09:00 AM,28-Feb-2026 03:00 PM,NA ,NA ,23-Feb-2026 09:00 AM,28-Feb-2026 03:00 PM,1.0,Fee/PreQual/Technical/Finance,.pdf,pdf,AOC,EE-6,Internal,,Tota Ram,28-Apr-2026 02:11 PM,techsummary_2080620.pdf (42.02 KB),EE-6,Internal,,Tota Ram,28-Apr-2026 02:15 PM,finsummary_2080620.pdf (42.02 KB),Finance,All Bids Are admitted,Tota Ram,17-Mar-2026 07:09 PM,,BOQ Comparative Chart,1,5941083,A K ENTERPRISES,28-Feb-2026 12:12 PM,Rejected-Finance,No Lottery Winner,28-Apr-2026 02:15 PM,"Kanpur Municipal Corporation, Kanpur, UP",2026_NNKAN_1119168_1,741/AA-6/2025-26,Improvement of road by C.C from H.N-81 to H.N-100 in Vikas nagar ward -43 Under Zone 6.,1.0,5923123.0,M/s S.R. ENTERPRISES,INR,"821,067",03-Jun-2026,"INR 821,067",45.0,Tota Ram,10-Jun-2026 04:18 PM,43ward.pdf (188.00 KB),work order,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,boq,AOC,,,,,,,,,,,,,,,,,,,2,5930143,ARYA CONSTRUCTION,25-Feb-2026 09:22 PM,Rejected-Finance,No Lottery Winner,28-Apr-2026 02:15 PM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,3,5934977,ATUL CONSTRUCTIONS,26-Feb-2026 09:28 PM,Rejected-Finance,No Lottery Winner,28-Apr-2026 02:15 PM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,4,5920797,Grah Laxmi Enterprises,27-Feb-2026 08:57 AM,Rejected-Finance,No Lottery Winner,28-Apr-2026 02:15 PM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,5,5939353,H.A.CONSTRUCTIONS,27-Feb-2026 09:35 PM,Rejected-Finance,No Lottery Winner,28-Apr-2026 02:15 PM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,6,5922703,MEERA ENTERPRISES,24-Feb-2026 05:34 PM,Rejected-Finance,No Lottery Winner,28-Apr-2026 02:15 PM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,7,5935622,M/S M.S.ENTERPRISES,27-Feb-2026 08:38 AM,Rejected-Finance,No Lottery Winner,28-Apr-2026 02:15 PM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,8,5933940,M/S SHRI RAM,28-Feb-2026 10:20 AM,Rejected-Finance,No Lottery Winner,28-Apr-2026 02:15 PM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,9,5923123,M/s S.R. ENTERPRISES,24-Feb-2026 11:31 AM,Accepted-AOC,L-1,10-Jun-2026 04:18 PM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,10,5941035,SHRIYA ENTERPRISES,28-Feb-2026 11:58 AM,Rejected-Finance,No Lottery Winner,28-Apr-2026 02:15 PM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,11,5927102,STAR CONTRACTORS,28-Feb-2026 01:19 AM,Rejected-Finance,No Lottery Winner,28-Apr-2026 02:15 PM,,,,,,,,,,,,,,,,,AOC
