EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Instrument Type,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No.1,Corrigendum Title,Corrigendum Type,View,Tender Stage,Type :,Summary :,Updated By :,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Type :.1,Summary :.1,Updated By :.2,Updated On :.1,Document :.2,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.2,Financial Bid Opening Date:,Document :.3,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage
"92,595",No,fixed,,NP,GABHANA,1.0,RTGS - RTGS Payment,16-May-2026 03:00 PM,06-Jun-2026 12:00 PM,16-May-2026 03:00 PM,06-Jun-2026 11:00 AM,NA ,NA ,16-May-2026 03:00 PM,06-Jun-2026 11:00 AM,16-Jun-2026 03:15 PM,"N.P. GABHANA, ALIGARH","N.P. GABHANA, ALIGARH","1,093",NP,GABHANA,No,1.0,Fee/PreQual/Technical,.pdf,NIT,Const. of C.C. Road and drain in Nagar Panchayat Gabhana ward no.14 Chaman Prakesh Fozi house to Onkar house.,Const. of C.C. Road and drain in Nagar Panchayat Gabhana ward no.14 Chaman Prakesh Fozi house to Onkar house.,Please refer Tender documents. ,NA ,"9,25,955",Civil Works,NA ,Tender,30.0,30.0,Const. of C.C. Road and drain in Nagar Panchayat G,202136.0,NA ,NA ,NA ,"N.P. GABHANA, ALIGARH",No ,No,Directorate of Local Bodies UP||Nagar Panchayat Gabhana Aligarh,2084/NPG/2026-27,2026_DOLBU_1149253_7,Yes,Open Tender,Percentage,Works,2.0,No,No,Offline,No,No,No,1.0,Corrigendum,Date,,AOC,Technical,Technical Bid Admitted,naveen kumar,16-Jun-2026 01:17 PM,technical_2151555.pdf,EO,Internal,"JE, LIPIK",naveen kumar,17-Jun-2026 02:44 PM,finsummary_2151555.pdf (50.40 KB),Finance,Finance Bid Admitted,naveen kumar,16-Jun-2026 05:23 PM,finance_2151555.pdf,BOQ Comparative Chart,EO,Internal,"JE, LIPIK",Renu Yadav,16-Jun-2026 03:13 PM,16-Jun-2026 03:15 PM,techsummary_2151555.pdf (51.95 KB),17-Jun-2026,"INR 916,139.88",90.0,Renu Yadav,17-Jun-2026 06:34 PM,L1_7.pdf (130.00 KB),1,6155005,A S CONTRACTOR AND SUPPLIER,03-Jun-2026 05:44 PM,Accepted-AOC,accepted,17-Jun-2026 06:34 PM,Directorate of Local Bodies UP||Nagar Panchayat Gabhana Aligarh,2026_DOLBU_1149253_7,2084/NPG/2026-27,Const. of C.C. Road and drain in Nagar Panchayat Gabhana ward no.14 Chaman Prakesh Fozi house to Onkar house.,1.0,6155005.0,A S CONTRACTOR AND SUPPLIER,INR,"916,139.88",AOC
,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,6154842,M/S BHUPENDRA CONSTRUCTION COMPANY,30-May-2026 03:45 PM,Rejected-AOC,accepted,17-Jun-2026 06:34 PM,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,6165303,Neelam Singh Developers,03-Jun-2026 04:26 PM,Rejected-AOC,accepted,17-Jun-2026 06:34 PM,,,,,,,,,,AOC
