Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :,Financial Bid Opening Date:,Document :,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,Tender Stage,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Instrument Type,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage
U.P. State Construction and Infrastructure Development Corporation Ltd.||Unit Bareilly,2026_SCIDC_1157159_1,215-3/E.E. BLY/E-Tender/BLY/2026-27 Dt. 04.06.2026,"Construction of Guard Room at Composite School, Faridapur Ramcharan, Bhojipura, Bareilly",1.0,6180887.0,Ismaile Khan Contractor,INR,"216,420.68",1,6180887,Ismaile Khan Contractor,09-Jun-2026 12:45 AM,Accepted-AOC,Ist Lowest Rate,22-Jun-2026 05:06 PM,20-Jun-2026,"INR 216,420.68",180.0,Bhaskar Mishra,22-Jun-2026 05:06 PM,LOI3.pdf (935.00 KB),Total Contract Value Rs. 216420.68,Vinod Kumar Kardam,Internal,"Vinod Kumar Kardam, Bhaskar Mishra",Bhaskar Mishra,20-Jun-2026 12:33 PM,20-Jun-2026 12:35 PM,techsummary_2168325.pdf (445.30 KB),Finance,Financial Bid Opening Summary,Bhaskar Mishra,20-Jun-2026 06:13 PM,finance_2168325.pdf,BOQ Comparative Chart,Vinod Kumar Kardam,Internal,"Vinod Kumar Kardam, Bhaskar Mishra",Bhaskar Mishra,20-Jun-2026 06:35 PM,finsummary_2168325.pdf (745.52 KB),Technical,Technical Bid Opening Summary,Bhaskar Mishra,20-Jun-2026 12:10 PM,technical_2168325.pdf,AOC,Executive Engineer Officer,"UPSCIDCO. 154, Tilhar House, Gali in front of S.S.P. Office, Civil Lines, Bareilly",04-Jun-2026 06:00 PM,10-Jun-2026 02:00 PM,04-Jun-2026 06:00 PM,10-Jun-2026 01:00 PM,NA ,NA ,04-Jun-2026 06:00 PM,10-Jun-2026 01:00 PM,20-Jun-2026 12:35 PM,"4,400",No,fixed,,EE UPSCIDCO,BAREILLY,1.0,RTGS - RTGS Payment,1.0,Fee/PreQual/Technical,.pdf,"Tender Notice, Fee, EMD and BOQ",U.P. State Construction and Infrastructure Development Corporation Ltd.||Unit Bareilly,215-3/E.E. BLY/E-Tender/BLY/2026-27 Dt. 04.06.2026,2026_SCIDC_1157159_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,"Construction of Guard Room at Composite School, Faridapur Ramcharan, Bhojipura, Bareilly","Construction of Guard Room at Composite School, Faridapur Ramcharan, Bhojipura, Bareilly","Construction of Guard Room at Composite School, Faridapur Ramcharan, Bhojipura, Bareilly ",NA ,"2,16,659",Civil Works - Buildings,"Const.of Guard Room at Composite School, Faridapur ",Tender,90.0,180.0,Bareilly,243001.0,NA ,NA ,NA ,"UPSCIDCO. 154, Tilhar House, Civil Lines, Bareilly",No ,No,531.0,EE UPSCIDCO,BAREILLY,No,AOC
,,,,,,,,,2,6184064,M/s Bagesh And Sons,10-Jun-2026 12:36 AM,Rejected-AOC,IInd Lowest Rate,22-Jun-2026 05:06 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,Financial Bid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,3,6184127,NAZEER AHMAD CONTRACTOR,10-Jun-2026 01:50 AM,Rejected-Technical,"Disqualified, Not fulfil as par NIT Condition",20-Jun-2026 12:33 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
