Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Type :,Summary :,Updated By :.1,Updated On :.1,Document :.1,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :,AOC document :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.2,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Tender Stage
Executive Engineer,Internal,,Suresh Kumar Jaiswal,15-Feb-2026 11:39 AM,15-Feb-2026 12:00 PM,techsummary_2053229.pdf (211.04 KB),Technical,opend,Suresh Kumar Jaiswal,11-Feb-2026 11:56 AM,,19-Mar-2026,"INR 1,682,311",90.0,Abhishek Rai,01-Jun-2026 01:00 PM,bpdf.pdf (153.00 KB),1,5852433,M/S ARYAN ENTERPRISES,09-Feb-2026 09:05 AM,Rejected-AOC,L2,01-Jun-2026 01:00 PM,Director Cum Chief Engineer RED||CHIEF ENGINEER EAST||SE GORAKHPUR CIRCLE||EE GORAKHPUR,2026_REDUP_1110912_74,2592/EE/RED/GKP/25-26 Date 07/01/26,Block-Piprauli Gram Jungle Akhlash Kunwar mein Pintu Nishad ke Makan se Ramashish Beldar ke Makan Tak CC Road Ka Nirman Karya,Finance,Opend,Suresh Kumar Jaiswal,16-Feb-2026 04:56 PM,,BOQ Comparative Chart,Executive Engineer,Internal,,Suresh Kumar Jaiswal,17-Feb-2026 07:56 AM,finsummary_2053229.pdf (153.00 KB),1.0,5852012.0,M/s Piyush Enterprises,INR,"1,682,311",AOC,896.0,Nil,Nil,No,03-Feb-2026 09:00 AM,10-Feb-2026 09:00 AM,03-Feb-2026 09:00 AM,09-Feb-2026 12:00 PM,NA ,NA ,03-Feb-2026 09:00 AM,09-Feb-2026 12:00 PM,15-Feb-2026 12:00 PM,Block-Piprauli Gram Jungle Akhlash Kunwar mein Pintu Nishad ke Makan se Ramashish Beldar ke Makan Tak CC Road Ka Nirman Karya,Block-Piprauli Gram Jungle Akhlash Kunwar mein Pintu Nishad ke Makan se Ramashish Beldar ke Makan Tak CC Road Ka Nirman Karya,Please refer Tender documents. ,NA ,"16,85,000",Civil Works,NA ,Tender,90.0,90.0,GORAKHPUR,273001.0,NA ,NA ,NA ,Vikash Bhawan Gorakhpur,No ,No,Director Cum Chief Engineer RED||CHIEF ENGINEER EAST||SE GORAKHPUR CIRCLE||EE GORAKHPUR,2592/EE/RED/GKP/25-26 Date 07/01/26,2026_REDUP_1110912_74,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,EXECUTIVE ENGINEER,Vikash Bhawan,1,Fee/PreQual/Technical,.pdf,Technical Evaluation,"33,700",No,percentage,2.0%,Nil,Nil,1.0,SBI Bank,AOC
,,,,,,,,,,,,,,,,,,2,5852012,M/s Piyush Enterprises,08-Feb-2026 12:37 PM,Accepted-AOC,L1,01-Jun-2026 01:00 PM,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Finance,.xls,Financial Evaluation,,,,,,,,,AOC
