Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Bank Name,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.2,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,Tender Stage
"U P Irrigation Department (Civil)||Chief Engineer-Sone, Varanasi||Irrigation Works Circle, Varansi||BD, varanasi",04/EE/BDV/2026-27,2026_UPIDC_1147578_35,Yes,Open Tender,Turn-key,Works,2.0,No,No,Online,No,No,No,Executive Engineer,"Executive Engineer, Bandhi Division, Varunapuram Sinchai Colony, Sigra, Varanasi",1,Fee/PreQual/Technical,.pdf,Tender Notice,27-May-2026 10:00 AM,01-Jun-2026 03:00 PM,27-May-2026 10:00 AM,01-Jun-2026 02:00 PM,NA ,NA ,27-May-2026 10:00 AM,01-Jun-2026 02:00 PM,03-Jun-2026 10:00 AM,"62,000",Yes,fixed,,Nil,Nil,Earth Work in correcting internal section of Lehra Manehara Drain from Km. 0.000 to Km. 24.400,Earth Work in correcting internal section of Lehra Manehara Drain from Km. 0.000 to Km. 24.400,Please refer Tender documents. ,NA ,"31,30,000",Civil Works,NA ,Tender,90.0,20.0,Chandauli,232104.0,NA ,NA ,NA ,"Executive Engineer, Bandhi Division, Varanasi",No ,No,1.0,SBI Bank,"2,360",Nil,Nil,No,AOC,Shri Suresh Chandra Azad,Internal,"Shri Sudhir Kumar Pal, E.E., G.C.D.B, Shri Manoj Kumar, DAO, BDV",SURESH CHANDRA AZAD,05-Jun-2026 11:30 AM,finsummary_2162622.pdf (399.78 KB),Finance,Bid opening summary,SURESH CHANDRA AZAD,05-Jun-2026 11:15 AM,finance_2162622.pdf,BOQ Comparative Chart,1.0,6154969.0,RUPESH KUMAR SINGH,INR,"3,082,835.2",1,6155038,ANIL KUMAR SINGH,30-May-2026 05:13 PM,Rejected-Finance,L2,05-Jun-2026 11:30 AM,"U P Irrigation Department (Civil)||Chief Engineer-Sone, Varanasi||Irrigation Works Circle, Varansi||BD, varanasi",2026_UPIDC_1147578_35,04/EE/BDV/2026-27,Earth Work in correcting internal section of Lehra Manehara Drain from Km. 0.000 to Km. 24.400,"Shri Suresh Chandra Azad, E.E., BDV",Internal,"shri Sudhir Kumar Pal, EE. GCDB, Shri Manoj Kumar, DAO, BDV",SURESH CHANDRA AZAD,03-Jun-2026 07:43 AM,03-Jun-2026 10:00 AM,techsummary_2162622.pdf (245.12 KB),06-Jun-2026,"INR 3,082,835.2",20.0,SURESH CHANDRA AZAD,26-Jun-2026 10:38 PM,lot9.pdf (522.00 KB),L1,Technical,Bid opening summary,SURESH CHANDRA AZAD,03-Jun-2026 07:38 AM,technical_2162622.pdf,AOC
,,,,,,,,,,,,,,,,2,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,2,6154969,RUPESH KUMAR SINGH,30-May-2026 04:47 PM,Accepted-AOC,L1,26-Jun-2026 10:37 PM,,,,,,,,,,,,,,,,,,,,,,,,AOC
