S.No,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated On :,Document :.1,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Tender Stage
1.0,SBI Bank,Cleaning of Nala from Basant Vihar in I.D.B.I Bank to South city school and basant Bhawan to Sourth city school and G.N.P.N School to Dasu kuaa xing and chauhan Hospital in Ward 88 Zone 03,Cleaning of Nala from Basant Vihar in I.D.B.I Bank to South city school and basant Bhawan to Sourth city school and G.N.P.N School to Dasu kuaa xing and chauhan Hospital in Ward 88 Zone 03,Please refer Tender documents. ,NA ,"2,35,856",Civil Works,NA ,Tender,30.0,NA ,Cleaning of Nala from Basant Vihar in I.D.B.I Bank,208040.0,NA ,NA ,NA ,C.E.3,No ,No,1.0,Fee/PreQual/Technical/Finance,.pdf,pdf,27-Apr-2026 06:00 PM,29-Apr-2026 04:00 PM,27-Apr-2026 06:00 PM,29-Apr-2026 03:00 PM,NA ,NA ,27-Apr-2026 06:00 PM,29-Apr-2026 03:00 PM,C.E.3,Zone 3,"23,586",No,percentage,10.0%,Nil,Nil,590.0,Nil,Nil,No,"Kanpur Municipal Corporation, Kanpur, UP",738/A.A.3/25-26,2026_NNKAN_1127585_5,Yes,Open Tender,Fixed-rate,Works,1.0,No,No,Online,No,No,No,AOC,C.E.,Internal,,RAJESH KUMAR,04-Jun-2026 11:16 AM,finsummary_2134284.pdf (787.83 KB),C.E.,Internal,,RAJESH KUMAR,04-Jun-2026 11:06 AM,techsummary_2134284.pdf (787.83 KB),1.0,6077614.0,M/S MAA BALA DEVI CONSTRUCTION COMPANY,29-Apr-2026 02:01 PM,Accepted-AOC,L1,04-Jun-2026 11:18 AM,1.0,6077614.0,M/S MAA BALA DEVI CONSTRUCTION COMPANY,INR,"234,653","Kanpur Municipal Corporation, Kanpur, UP",2026_NNKAN_1127585_5,738/A.A.3/25-26,Cleaning of Nala from Basant Vihar in I.D.B.I Bank to South city school and basant Bhawan to Sourth city school and G.N.P.N School to Dasu kuaa xing and chauhan Hospital in Ward 88 Zone 03,04-Jun-2026,"INR 234,653",30.0,RAJESH KUMAR,04-Jun-2026 11:18 AM,738.pdf (788.00 KB),Work order,Finance,Tender Open,RAM KUMAR TIWARI,30-Apr-2026 04:36 PM,finance_2134284.pdf,BOQ Comparative Chart,AOC
,,,,,,,,,,,,,,,,,,,,,,.xls,xls,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
