S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Type :,Summary :,Updated By :.2,Updated On :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,S.No,Instrument Type,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage
1.0,6111811.0,BLACK INFRATECH,INR,"473,413.65",Directorate of Local Bodies UP||Nagar Panchayat Kirawali Agra,2026_DOLBU_1133246_2,02/NPK/2026-27,nagar panchayat kiraoli me rana cold storage ke pas sthit nagar panchayat ke 2000 LPH chhamata wale RO plant ki apurti sthapana ka karya.,1,6111811,BLACK INFRATECH,12-May-2026 08:41 PM,Accepted-AOC,L1 FIRM,04-Jun-2026 05:08 PM,04-Jun-2026,"INR 473,413.65",60.0,Satyawan Singh,04-Jun-2026 05:08 PM,RO2000CHART.pdf (511.00 KB),Mohammad Raza,Internal,"Ramnivas JE, Satyvan Singh Clerk.",Satyawan Singh,04-Jun-2026 04:38 PM,finsummary_2143494.pdf (312.67 KB),Technical,Technical bid admitted,Satyawan Singh,27-May-2026 06:06 PM,,Mohammad Raza,Internal,"Ramnivas JE, Satyavan Singh Clerk",Satyawan Singh,27-May-2026 06:14 PM,27-May-2026 06:15 PM,techsummary_2143494.pdf (406.01 KB),Finance,Financial bid admitted,Satyawan Singh,04-Jun-2026 04:05 PM,,BOQ Comparative Chart,AOC,531.0,Executive Officer,"Nagar Panchayat Kiraoli, Agra",No,Executive Officer,"Office of Nagar panchayat kiraoli, agra UP 283122",nagar panchayat kiraoli me rana cold storage ke pas sthit nagar panchayat ke 2000 LPH chhamata wale RO plant ki apurti sthapana ka karya.,water supply work,Please refer Tender documents. ,NA ,"4,73,461",Water Supply,NA ,Tender,60.0,60.0,"Nagar panchayat kiraoli, agra",283122.0,NA ,NA ,NA ,Office of nagar panchayat kiraoli me rana cold sto,No ,No,1,Fee/PreQual/Technical,.pdf,tender doc,1,FDR - Fixed Deposit,Directorate of Local Bodies UP||Nagar Panchayat Kirawali Agra,02/NPK/2026-27,2026_DOLBU_1133246_2,Yes,Open Tender,Percentage,Works,2.0,No,No,Offline,No,No,No,07-May-2026 05:00 PM,14-May-2026 12:00 PM,07-May-2026 05:30 PM,14-May-2026 10:00 AM,NA ,NA ,07-May-2026 06:00 PM,14-May-2026 10:00 AM,27-May-2026 06:15 PM,"47,346",No,fixed,,Executive Officer,"Nagar Panchayat Kiraoli, Agra",AOC
,,,,,,,,,2,6111844,M/s Jaiveer Singh,12-May-2026 08:56 PM,Rejected-Finance,L2,04-Jun-2026 04:38 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,2,Finance,.xls,finance doc,2,RTGS - RTGS Payment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
