Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :,Financial Bid Opening Date:,Document :,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,Tender Stage,S.No,Bank Name,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage
Director Cum Chief Engineer RED||CHIEF ENGINEER EAST||SE LUCKNOW CIRCLE,2026_REDUP_1143024_8,28/SE RED Lucknow/Sitapur/26-27 Dt 02/04/2026,"Under District Sitapur, Construction work of Rapta and Khandanja located between Jainipur and Thakurpur, Lot No 8",1.0,6114513.0,Rudransh Constructions,INR,"5,252,344",1,6114513,Rudransh Constructions,13-May-2026 11:54 PM,Accepted-AOC,AOC,24-Jun-2026 02:59 PM,24-Jun-2026,"INR 5,252,344",90.0,Gyanendra Kumar,24-Jun-2026 02:59 PM,28_8.pdf (212.00 KB),Er Gyanendra Kumar SE RED Lucknow Circle,Internal,"Er Gyanendra Kumar SE RED Lucknow Circle, Er Gyanendra Kumar EE RED Sitapur, Er Noor Alam EE RED Raebareli. Er A K Sahu DAO RED Sitapur",Gyanendra Kumar,21-May-2026 11:07 AM,25-May-2026 12:00 PM,techsummary_2135321.pdf (302.66 KB),Finance,Summary,Gyanendra Kumar,29-May-2026 02:20 PM,,BOQ Comparative Chart,Er Gyanendra Kumar SE RED Lucknow,Internal,,Gyanendra Kumar,24-Jun-2026 02:57 PM,finsummary_2135321.pdf (212.16 KB),Technical,Two bid have been received and send For Technical Evaluation,Gyanendra Kumar,15-May-2026 01:20 PM,,AOC,1.0,SBI Bank,1,Fee/PreQual/Technical,.pdf,Fees And Technical Documents,"1,05,260",No,percentage,2.0%,Nil,Nil,28-Apr-2026 06:00 PM,15-May-2026 12:30 PM,28-Apr-2026 06:00 PM,14-May-2026 12:00 PM,NA ,NA ,28-Apr-2026 06:00 PM,14-May-2026 12:00 PM,25-May-2026 12:00 PM,SE RED Lucknow Circle,"SE RED, Near Vikas Bhawan, Sarvoday Nagar, Lucknow, 226016","5,000",Nil,Nil,No,"Under District Sitapur, Construction work of Rapta and Khandanja located between Jainipur and Thakurpur, Lot No 8","Under District Sitapur, Construction work of Rapta and Khandanja located between Jainipur and Thakurpur, Lot No 8",Please refer Tender documents. ,NA ,"52,63,000",Civil Works,NA ,Tender,90.0,90.0,Sitapur,261001.0,SE RED Lucknow Circle ,"SE RED, Near Vikas Bhawan, Sarvoday Nagar, Lucknow, 226016  ",30-Apr-2026 11:00 AM ,SE RED Lucknow Circle,No ,No,Director Cum Chief Engineer RED||CHIEF ENGINEER EAST||SE LUCKNOW CIRCLE,28/SE RED Lucknow/Sitapur/26-27 Dt 02/04/2026,2026_REDUP_1143024_8,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,AOC
,,,,,,,,,2,6114682,SWIKRIT CONSTRUCTIONS,14-May-2026 07:16 AM,Rejected-Finance,Rejected,24-Jun-2026 02:57 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,2,Finance,.xls,Financial Documents(Boq),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
