Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Corrigendum Title,Corrigendum Type,View,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No.1,Bank Name,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.3,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,Tender Stage
Directorate of Local Bodies UP||Ghaziabad Municipal Corporation,122/Nirman/2026-27 Date 26.05.2026,2026_DOLBU_1154911_6,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,1.0,DPR,Other,,CE,Ghaziabad Nagar Nigam,Construction of gate of Miyawaki Park located near Indirapuram TSTP Plant.,Construction of gate of Miyawaki Park located near Indirapuram TSTP Plant.,Please refer Tender documents. ,NA ,"31,51,073",Civil Works,NA ,Tender,90.0,NA ,Ghaziabad,201001.0,NA ,NA ,NA ,Ghaziabad Nagar Nigam,No ,No,1,Fee/PreQual/Technical,.pdf,Tender Notice,28-May-2026 09:00 AM,03-Jun-2026 03:30 PM,28-May-2026 09:00 AM,03-Jun-2026 03:00 PM,NA ,NA ,28-May-2026 09:00 AM,03-Jun-2026 03:00 PM,12-Jun-2026 11:00 AM,"94,532",No,percentage,3.0%,Nil,Nil,"2,232",Nil,Nil,No,1.0,SBI Bank,AOC,ce,Internal,,Kuldeep Kumar Tamar,22-Jun-2026 02:58 PM,finsummary_2163348.pdf (604.05 KB),Technical,Technical,narendra kumar chaudhary,03-Jun-2026 04:14 PM,,CE,Internal,,Kuldeep Kumar Tamar,11-Jun-2026 06:07 PM,12-Jun-2026 11:00 AM,techsummary_2163348.pdf (501.04 KB),Finance,Finance,narendra kumar chaudhary,12-Jun-2026 11:39 AM,,BOQ Comparative Chart,1.0,6158881.0,H R BUILDERS,INR,"2,678,412",Directorate of Local Bodies UP||Ghaziabad Municipal Corporation,2026_DOLBU_1154911_6,122/Nirman/2026-27 Date 26.05.2026,Construction of gate of Miyawaki Park located near Indirapuram TSTP Plant.,1,6158881,H R BUILDERS,01-Jun-2026 01:49 PM,Accepted-AOC,L1,22-Jun-2026 03:02 PM,22-Jun-2026,"INR 2,678,412",60.0,Kuldeep Kumar Tamar,22-Jun-2026 03:02 PM,06122.pdf (604.00 KB),AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,6154261,M/S CHANDRAMOHAN SINGH RAGHUVANSHI,03-Jun-2026 01:37 PM,Rejected-Finance,L2,22-Jun-2026 02:58 PM,,,,,,,AOC
