Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.3,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,Tender Stage
1,Fee/PreQual/Technical,.pdf,All Technical Documents,"U P Irrigation Department (Civil)||Chief Engineer-Sharda, Lucknow||VI Circle Irrigation Works, Lucknow||NWMPSC, hardoi",05/EE/2025-26,2026_UPIDC_1116479_2,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,"12,120",No,fixed,,Nil,Nil,1.0,SBI Bank,23-Feb-2026 03:00 PM,28-Feb-2026 03:00 PM,23-Feb-2026 03:00 PM,28-Feb-2026 03:00 PM,NA ,NA ,23-Feb-2026 03:00 PM,28-Feb-2026 03:00 PM,28-Feb-2026 05:30 PM,766.0,Nil,Nil,No,Executive Engineer,EE NWMPSC Hardoi,Renovation of Road of Sarehari DY in left bank from km 14.865 to 15.265 (Lot 01),Renovation of Road of Sarehari DY in left bank from km 14.865 to 15.265 (Lot 01),Please refer Tender documents. ,NA ,"6,06,000",Civil Works - Canal,Renovation of road ,Rate Contract,90.0,20.0,Hardoi,241001.0,NA ,NA ,NA ,EE NWMPSC Hardoi,No ,No,AOC,Mohammad Pervaiz Executive Engineer,Internal,Ajay Kumar Chaudhary Executive Engineer Amit Kumar DAO,MOHAMMAD PERVAIZ,28-Feb-2026 06:51 PM,finsummary_2081594.pdf (209.13 KB),Technical,ptra letter,MOHAMMAD PERVAIZ,28-Feb-2026 05:21 PM,technical_2081594.pdf,Mohammad Pervaiz Executive Engineer,Internal,Ajay Kumar Chaudhary Executive Engineer Amit Kumar DAO,MOHAMMAD PERVAIZ,28-Feb-2026 05:24 PM,28-Feb-2026 05:30 PM,techsummary_2081594.pdf (209.13 KB),Finance,patra letter,MOHAMMAD PERVAIZ,28-Feb-2026 06:48 PM,finance_2081594.pdf,BOQ Comparative Chart,1.0,5934460.0,M/S MAHAJAN CONSTRUCTION AND SUPPLIER,INR,"563,288.66","U P Irrigation Department (Civil)||Chief Engineer-Sharda, Lucknow||VI Circle Irrigation Works, Lucknow||NWMPSC, hardoi",2026_UPIDC_1116479_2,05/EE/2025-26,Renovation of Road of Sarehari DY in left bank from km 14.865 to 15.265 (Lot 01),1,5934460,M/S MAHAJAN CONSTRUCTION AND SUPPLIER,26-Feb-2026 07:46 PM,Accepted-AOC,Aoc due to L1,10-Jun-2026 02:26 PM,07-Mar-2026,"INR 563,288.66",20.0,MOHAMMAD PERVAIZ,10-Jun-2026 02:26 PM,a37.pdf (800.00 KB),Aoc due to L1,AOC
2,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5934407,Ram Dayal,27-Feb-2026 11:51 AM,Rejected-Finance,Rejected due to higher rates to L1,28-Feb-2026 06:51 PM,,,,,,,,AOC
