Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :.1,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :.1,Document :.1,Type :.1,Summary :.1,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Tender Stage
03-Jun-2026,"INR 13,318,748.53",45.0,OM PRAKASH VERMA,12-Jun-2026 02:01 PM,AocBijgawanarvind.pdf (359.00 KB),detail letter attached,1,6080080,AKANKSHA ASSOCIATES,30-Apr-2026 12:08 PM,Rejected-Finance,QUOTED HIGHER RATE THAN L1,19-May-2026 04:37 PM,1.0,6074976.0,ARVIND KUMAR SINGH,INR,"13,318,748.53","U P Irrigation Department (Civil)||Chief Engineer-Sharda, Lucknow||VI Circle Irrigation Works, Lucknow",2026_UPIDC_1140486_2,06/SE-6/2026-27,Hardoi Janpad me Bijgawan drain ke punarsthapna ka karya,Technical,Technical Result Attached,OM PRAKASH VERMA,13-May-2026 04:02 PM,technical_2129838.pdf,SE OM PRAKASH VERMA,Internal,SE SIX CIRCLE SE SITAPUR CIRCLE,OM PRAKASH VERMA,19-May-2026 04:37 PM,finsummary_2129838.pdf (328.23 KB),Finance,FINANCIAL SUMMARY ATTACHED,OM PRAKASH VERMA,16-May-2026 04:32 PM,finance_2129838.pdf,BOQ Comparative Chart,SE OM PRAKASH VERMA,Internal,SE SIX CIRCLE SE SITAPUR CIRCLE,OM PRAKASH VERMA,16-May-2026 03:42 PM,16-May-2026 04:00 PM,techsummary_2129838.pdf (494.08 KB),AOC,"U P Irrigation Department (Civil)||Chief Engineer-Sharda, Lucknow||VI Circle Irrigation Works, Lucknow",06/SE-6/2026-27,2026_UPIDC_1140486_2,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,SE Six circle lucknow,SE Six circle lucknow,23-Apr-2026 11:00 AM,30-Apr-2026 03:00 PM,23-Apr-2026 11:00 AM,30-Apr-2026 01:00 PM,NA ,NA ,23-Apr-2026 11:00 AM,30-Apr-2026 01:00 PM,16-May-2026 04:00 PM,1.0,Fee/PreQual/Technical,.pdf,NIT,"2,714",Nil,Nil,No,Hardoi Janpad me Bijgawan drain ke punarsthapna ka karya,Hardoi Janpad me Bijgawan drain ke punarsthapna ka karya,please refer tender document ,NA ,"3,18,00,000",Civil Works,NA ,Tender,90.0,45.0,Hardoi,241001.0,SE Six circle lucknow ,SE Six circle lucknow ,24-Apr-2026 01:00 PM ,SE SIX CIRCLE LUCKNOW,No ,No,"6,36,000",No,percentage,2.0%,Nil,Nil,1.0,SBI Bank,AOC
,,,,,,,2,6079173,ARUN CONSTRUCTION,30-Apr-2026 12:48 PM,Rejected-Finance,QUOTED HIGHER RATE THAN L1,19-May-2026 04:37 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,3,6074976,ARVIND KUMAR SINGH,29-Apr-2026 07:28 PM,Accepted-AOC,technically qualified and quoted lowest amount,12-Jun-2026 02:01 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,4,6079873,LAXMINARAIN INFRABUILD PRIVATE LIMITED,30-Apr-2026 11:06 AM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,13-May-2026 04:02 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,5,6077586,M/S K.K. TRADERS,29-Apr-2026 09:41 PM,Rejected-Finance,QUOTED HIGHER RATE THAN L1,19-May-2026 04:37 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,6,6070681,M/S KUMAR MANGLAM CONSTRUCTION,27-Apr-2026 09:25 PM,Rejected-Finance,QUOTED HIGHER RATE THAN L1,19-May-2026 04:37 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,7,6077975,M/S OBELION CONSTRUCTIONS,29-Apr-2026 09:43 PM,Rejected-Finance,QUOTED HIGHER RATE THAN L1,19-May-2026 04:37 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,8,6079047,M/S SRI RAJ BAHADUR SINGH,30-Apr-2026 09:14 AM,Rejected-Finance,QUOTED HIGHER RATE THAN L1,19-May-2026 04:37 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,9,6079764,RAM SANEHI AND SONS,30-Apr-2026 10:52 AM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,13-May-2026 04:02 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,10,6079183,S.B. ENTERPRISES,30-Apr-2026 11:21 AM,Rejected-Finance,QUOTED HIGHER RATE THAN L1,19-May-2026 04:37 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
