Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :,Financial Bid Opening Date:,Document :,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,Tender Stage,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Instrument Type,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Tender Stage
U.P. State Construction and Infrastructure Development Corporation Ltd.||Unit Agra,2026_SCIDC_1154251_1,09/COMPOSITESCHOOL/AGRA/26-27,CONSTRUCTION OF ADDITIONAL CLASS ROOMS AND GUARD ROOM IN COMPOSITE SCHOOL SARDAR PATEL PARK LOHAMANDI (AGRA).,1.0,6170779.0,M/S SUDHIR BUILDING MATERIAL AND SUPPLIERS,INR,"3,222,829.8",1,6170330,M/S SHREE BANKEY BIHARI CONSTRUCTION,05-Jun-2026 09:19 AM,Rejected-AOC,OK,11-Jun-2026 05:41 PM,11-Jun-2026,"INR 3,222,829.8",365.0,Gajendra Pal Singh,11-Jun-2026 05:41 PM,fsum9agr.pdf (495.00 KB),EXECUTIVE ENGINEER,Internal,,Gajendra Pal Singh,11-Jun-2026 03:35 PM,11-Jun-2026 03:40 PM,techsummary_2162165.pdf (481.54 KB),Finance,RATE OF M/S SUDHIR BUILDING MATERIAL AND SUPPLIERS IS ACCEPTED,Pramod Kumar,11-Jun-2026 04:32 PM,finance_2162165.pdf,BOQ Comparative Chart,EXECUTIVE ENGINEER,Internal,,Gajendra Pal Singh,11-Jun-2026 04:38 PM,finsummary_2162165.pdf (478.85 KB),Technical,All bids are ok.,Sanjai Gangwar,11-Jun-2026 03:20 PM,technical_2162165.pdf,AOC,CONSTRUCTION OF ADDITIONAL CLASS ROOMS AND GUARD ROOM IN COMPOSITE SCHOOL SARDAR PATEL PARK LOHAMANDI (AGRA).,CONSTRUCTION OF ADDITIONAL CLASS ROOMS AND GUARD ROOM IN COMPOSITE SCHOOL SARDAR PATEL PARK LOHAMANDI (AGRA).,Please refer Tender documents. ,NA ,"34,74,000",Civil Works - Buildings,NA ,Tender,365.0,365.0,AGRA,282002.0,Superintending Engineer Office ,"Superintending Engineer, H.No. 19, Ramji Dham Colony, Infront of Deviram Sweet, Rishipuram Road, Sikandra, Agra ",04-Jun-2026 12:00 PM ,"H.No. 19, Ramji Dham Colony, Infront of Deviram Sw",No ,No,Superintending Engineer,"Superintending Engineer Office, H.No. 19, Ramji Dham Colony, Infront of Deviram Sweet, Rishipuram Road, Sikandra, Agra",26-May-2026 05:30 PM,05-Jun-2026 01:00 PM,26-May-2026 05:30 PM,05-Jun-2026 12:00 PM,NA ,NA ,26-May-2026 05:30 PM,05-Jun-2026 12:00 PM,11-Jun-2026 03:40 PM,U.P. State Construction and Infrastructure Development Corporation Ltd.||Unit Agra,09/COMPOSITESCHOOL/AGRA/26-27,2026_SCIDC_1154251_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Offline,No,No,No,"1,652",UPSCIDC,AGRA,No,1.0,RTGS - RTGS Payment,"69,480",No,fixed,,UPSCIDC,AGRA,1,Fee/PreQual/Technical,.pdf,NIT,AOC
,,,,,,,,,2,6170779,M/S SUDHIR BUILDING MATERIAL AND SUPPLIERS,05-Jun-2026 11:25 AM,Accepted-AOC,OK,11-Jun-2026 05:41 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Finance,.xls,BOQ,AOC
