Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Type :,Summary :,Updated By :.2,Updated On :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage,Name,Address,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage
Directorate of Local Bodies UP||Aligarh Municipal Corporation,2026_DOLBU_1116821_1,6269(316)/NNA/2025-26,NIRMAN WORK,1.0,5931938.0,M/S AJAY ENTERPRISES,INR,"2,299,120",1,5931740,AJAY TRADERS,26-Feb-2026 10:18 AM,Rejected-Finance,OK,29-Apr-2026 04:37 PM,23-Jun-2026,"INR 2,299,120",60.0,Rajvir Singh,23-Jun-2026 06:25 PM,cammetti.pdf (193.00 KB),ok,CE,Internal,EE,Rajesh Kumar,29-Apr-2026 04:37 PM,finsummary_2078128.pdf (476.47 KB),Technical,All Documents Completed,Danish Haider Naqvi,13-Apr-2026 02:04 PM,technical_2078128.pdf,CE,Internal,EE,Rajvir Singh,13-Apr-2026 03:33 PM,13-Apr-2026 04:00 PM,techsummary_2078128.pdf (193.38 KB),Finance,ok,Rajesh Kumar,28-Apr-2026 06:45 PM,,BOQ Comparative Chart,AOC,EE,NAGAR NIGAM ALIGARH,1.0,Fee/PreQual/Technical,.pdf,Fee/PreQual/Technical,"2,832",Nil,Nil,No,21-Feb-2026 05:00 PM,28-Feb-2026 11:00 AM,21-Feb-2026 05:00 PM,27-Feb-2026 05:00 PM,NA ,NA ,21-Feb-2026 05:00 PM,27-Feb-2026 05:00 PM,13-Apr-2026 04:00 PM,NIRMAN WORK,NIRMAN WORK,Please refer Tender documents. ,NA ,"23,20,000",Civil Works,NA ,Tender,90.0,60.0,ALIGARH,202001.0,NA ,NA ,NA ,NAGAR NIGAM ALIGARH,No ,No,Directorate of Local Bodies UP||Aligarh Municipal Corporation,6269(316)/NNA/2025-26,2026_DOLBU_1116821_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,1.0,SBI Bank,"2,32,000",No,fixed,,Nil,Nil,AOC
,,,,,,,,,2,5931938,M/S AJAY ENTERPRISES,26-Feb-2026 11:34 AM,Accepted-AOC,ok,23-Jun-2026 06:25 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,2.0,Finance,.xls,Finance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,3,5932002,Sandip Singh,26-Feb-2026 11:18 AM,Rejected-Finance,OK,29-Apr-2026 04:37 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
