Type :,Summary :,Updated By :,Updated On :,Document :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.1,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.2,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,Tender Stage,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage
Technical,Bids received,Aniruddh Kumar Yadav,06-May-2026 06:36 PM,,27-May-2026,"INR 3,586,366",90.0,Aniruddh Kumar Yadav,04-Jun-2026 05:39 PM,wrd7.pdf (238.00 KB),EE RED Chandauli,Internal,1 AE RED Chandauli 2 DAO RED Chandauli,Aniruddh Kumar Yadav,06-May-2026 06:39 PM,13-May-2026 11:00 AM,techsummary_2128202.pdf (187.70 KB),1,6078435,M/S AMAR BAHADUR SINGH,29-Apr-2026 05:04 PM,Accepted-AOC,1st Lowest,04-Jun-2026 05:44 PM,Director Cum Chief Engineer RED||CHIEF ENGINEER EAST||SE VARANASI CIRCLE||EE CHANDAULI,2026_REDUP_1138505_39,21/RED/Chandauli/26-27 Date-04-04-2026,Pt. Deendayal Upadhyay Nagar ke Ward no. 07 Vikas Nagar me Gopal Jaiswal ke makan se Shiv Kharwar va Shailendra Upadhyay ke makan se hote hue Bullu paan wale tak interlocking road ka nirman karya.,1.0,6078435.0,M/S AMAR BAHADUR SINGH,INR,"3,586,366",Finance,Bids received,Aniruddh Kumar Yadav,13-May-2026 03:56 PM,,BOQ Comparative Chart,EE RED Chandauli,Internal,1 AE RED Chandauli 2 DAO RED Chandauli,Aniruddh Kumar Yadav,27-May-2026 11:35 AM,finsummary_2128202.pdf (352.03 KB),AOC,1,Fee/PreQual/Technical,.pdf,EMD fees and Technical Document,"72,000",No,fixed,,Nil,Nil,Director Cum Chief Engineer RED||CHIEF ENGINEER EAST||SE VARANASI CIRCLE||EE CHANDAULI,21/RED/Chandauli/26-27 Date-04-04-2026,2026_REDUP_1138505_39,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,1.0,SBI Bank,21-Apr-2026 11:00 AM,04-May-2026 12:30 PM,21-Apr-2026 11:00 AM,04-May-2026 12:00 PM,NA ,NA ,21-Apr-2026 11:00 AM,04-May-2026 12:00 PM,13-May-2026 11:00 AM,EE RED Chandauli,EE RED Chandauli,"1,214",Nil,Nil,No,Pt. Deendayal Upadhyay Nagar ke Ward no. 07 Vikas Nagar me Gopal Jaiswal ke makan se Shiv Kharwar va Shailendra Upadhyay ke makan se hote hue Bullu paan wale tak interlocking road ka nirman karya.,Pt. Deendayal Upadhyay Nagar ke Ward no. 07 Vikas Nagar me Gopal Jaiswal ke makan se Shiv Kharwar va Shailendra Upadhyay ke makan se hote hue Bullu paan wale tak interlocking road ka nirman karya.,Please refer Tender documents. ,NA ,"36,02,000",Civil Works - Roads,NA ,Tender,90.0,90.0,Niyamtabad,232104.0,NA ,NA ,NA ,EE RED Chandauli,No ,No,AOC
,,,,,,,,,,,,,,,,,,2,6080827,SANJAY ENTERPRISES,30-Apr-2026 03:34 PM,Rejected-Finance,2nd bidder,27-May-2026 11:35 AM,,,,,,,,,,,,,,,,,,,,,,AOC,2,Finance,.xls,Financial Document,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
