Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Bank Name,Cover No,Cover,Document Type,Description,Tender Stage,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.2,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,Tender Stage
"U P Irrigation Department (Civil)||Chief Engineer-Sone, Varanasi||Irrigation Works Circle, Varansi||BD, varanasi",04/EE/BDV/2026-27,2026_UPIDC_1147578_37,Yes,Open Tender,Turn-key,Works,2.0,No,No,Online,No,No,No,"11,000",Yes,fixed,,Nil,Nil,Correcting Internal section of Chari Parewa Drain from Km. 0.500 to Km. 7.800,Correcting Internal section of Chari Parewa Drain from Km. 0.500 to Km. 7.800,Please refer Tender documents. ,NA ,"5,27,000",Civil Works,NA ,Tender,90.0,20.0,Chandauli,232104.0,NA ,NA ,NA ,"Executive Engineer, Bandhi Division, Varanasi",No ,No,27-May-2026 10:00 AM,01-Jun-2026 03:00 PM,27-May-2026 10:00 AM,01-Jun-2026 02:00 PM,NA ,NA ,27-May-2026 10:00 AM,01-Jun-2026 02:00 PM,03-Jun-2026 10:00 AM,Executive Engineer,"Executive Engineer, Bandhi Division, Varunapuram Sinchai Colony, Sigra, Varanasi","2,360",Nil,Nil,No,1.0,SBI Bank,1,Fee/PreQual/Technical,.pdf,Tender Notice,AOC,1.0,6154199.0,K.D.CONSTRUCTION,INR,"519,489.28",Finance,Bid opening summary,SURESH CHANDRA AZAD,05-Jun-2026 11:18 AM,finance_2162624.pdf,BOQ Comparative Chart,Shri Suresh Chandra Azad,Internal,"Shri Sudhir Kumar Pal, E.E., G.C.D.B, Shri Manoj Kumar, DAO, BDV",SURESH CHANDRA AZAD,05-Jun-2026 11:37 AM,finsummary_2162624.pdf (379.52 KB),"U P Irrigation Department (Civil)||Chief Engineer-Sone, Varanasi||Irrigation Works Circle, Varansi||BD, varanasi",2026_UPIDC_1147578_37,04/EE/BDV/2026-27,Correcting Internal section of Chari Parewa Drain from Km. 0.500 to Km. 7.800,1,6154199,K.D.CONSTRUCTION,30-May-2026 02:58 PM,Accepted-AOC,L1,26-Jun-2026 10:41 PM,"Shri Suresh Chandra Azad, E.E., BDV",Internal,"shri Sudhir Kumar Pal, EE. GCDB, Shri Manoj Kumar, DAO, BDV",SURESH CHANDRA AZAD,03-Jun-2026 07:52 AM,03-Jun-2026 10:00 AM,techsummary_2162624.pdf (224.93 KB),06-Jun-2026,"INR 519,489.28",20.0,SURESH CHANDRA AZAD,26-Jun-2026 10:41 PM,Lot30.pdf (438.00 KB),L1,Technical,Bid opening summary,SURESH CHANDRA AZAD,03-Jun-2026 07:50 AM,technical_2162624.pdf,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Finance,.xls,BOQ,AOC,,,,,,,,,,,,,,,,,,,,,,2,6154266,VINOD KUMAR SINGH,30-May-2026 12:55 PM,Rejected-Finance,L2,05-Jun-2026 11:37 AM,,,,,,,,,,,,,,,,,,,,AOC
