Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :,Financial Bid Opening Date:,Document :,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,Tender Stage,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Bank Name,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Tender Stage
Director Cum Chief Engineer RED||CHIEF ENGINEER EAST||SE LUCKNOW CIRCLE||EE UNNAO,2026_REDUP_1146120_3,106/RED/Tender/Unnao/26-27 Dt-9-4.26,Gram Bhikkhann me Ved Prakash ke Ghar se Sunil Pandey ke Ghar tak Interloking Road I Nali ka Nirman karye.,1.0,6100963.0,M/S DIPTI KATIYAR,INR,"1,344,437.5",1,6100963,M/S DIPTI KATIYAR,09-May-2026 04:03 PM,Accepted-AOC,l1,17-Jun-2026 11:12 AM,17-Jun-2026,"INR 1,344,437.5",90.0,Narendra chaudhary,17-Jun-2026 11:12 AM,Ved0004.pdf (1220.00 KB),l1,Er Narendra Chaudhary,Internal,,Narendra chaudhary,04-Jun-2026 12:34 PM,04-Jun-2026 12:35 PM,techsummary_2143157.pdf (490.92 KB),Finance,Summary,Narendra chaudhary,17-Jun-2026 10:39 AM,finance_2143157.pdf,BOQ Comparative Chart,Er Narendra Chaudhry,Internal,,Narendra chaudhary,17-Jun-2026 10:42 AM,finsummary_2143157.pdf (1220.11 KB),Technical,susmmary,Narendra chaudhary,04-Jun-2026 12:32 PM,technical_2143157.pdf,AOC,Gram Bhikkhann me Ved Prakash ke Ghar se Sunil Pandey ke Ghar tak Interloking Road I Nali ka Nirman karye.,Gram Bhikkhann me Ved Prakash ke Ghar se Sunil Pandey ke Ghar tak Interloking Road I Nali ka Nirman karye.,Plz Refer Doc ,Na ,"13,45,000",Civil Works,NA ,Tender,90.0,90.0,Unnao,209801.0,NA ,NA ,NA ,EE RED OFFICE UNNAO,No ,No,Director Cum Chief Engineer RED||CHIEF ENGINEER EAST||SE LUCKNOW CIRCLE||EE UNNAO,106/RED/Tender/Unnao/26-27 Dt-9-4.26,2026_REDUP_1146120_3,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,07-May-2026 01:00 PM,13-May-2026 12:30 PM,07-May-2026 01:00 PM,13-May-2026 12:00 PM,NA ,NA ,07-May-2026 01:00 PM,13-May-2026 12:00 PM,04-Jun-2026 12:35 PM,1.0,SBI Bank,Er Narendra Chaudhary,Vikas Bhawan,"27,000",Yes,fixed,,Nil,Nil,"2,384",Nil,Nil,No,1,Fee/PreQual/Technical,.pdf,Fee/PreQual/Technical,AOC
,,,,,,,,,2,6108884,M/S SUNIL KUNAR,12-May-2026 02:26 PM,Rejected-AOC,l2,17-Jun-2026 11:12 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Finance,.xls,Finance,AOC
