Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Bank Name,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Tender Stage,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :.1,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Document :.1,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Tender Stage
Chief Engineer (Building)||S E 39 Circle PWD Lucknow||Maintenance Division 2 (Civil) PWD Lucknow,281/E-Tender/2025-26 dt. 09.02.2026,2026_PWDBL_1115187_14,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,1.0,SBI Bank,770.0,Nil,Nil,No,EE Maintenance Division 2 (Civil) PWD Lucknow,EE Maintenance Division 2 (Civil) PWD Lucknow,"Upper Dalibagh Colony sthit Awas No.-12/2, Type-4 me shatigrast kitchen ki tiles marammat, kitchen va bathroom ki fittings badalne ka karya, kitchen cabinet ka karya, shatigrast shade ki marammat ka karya , shatigrast darwaze va jaali darwaze badalne","Upper Dalibagh Colony sthit Awas No.-12/2, Type-4 me shatigrast kitchen ki tiles marammat, kitchen va bathroom ki fittings badalne ka karya, kitchen cabinet ka karya, shatigrast shade ki marammat ka karya , shatigrast darwaze va jaali darwaze badalne",Please refer Tender documents. ,NA ,"2,52,000",Civil Works - Buildings,NA ,Tender,90.0,30.0,Lucknow,226001.0,EE Maintenance Division 2 (Civil) PWD Lucknow  ,EE Maintenance Division 2 (Civil) PWD Lucknow  ,17-Feb-2026 12:00 PM ,EE Maintenance Division 2 (Civil) PWD Lucknow,No ,No,"25,200",No,fixed,,Nil,Nil,1.0,Fee/PreQual/Technical/Finance,.pdf,All documents scan original copies,16-Feb-2026 09:00 AM,21-Feb-2026 12:30 PM,16-Feb-2026 09:00 AM,21-Feb-2026 12:00 PM,NA ,NA ,16-Feb-2026 09:00 AM,21-Feb-2026 12:00 PM,AOC,1.0,5895415.0,M/S APRAMEYA CONSTRUCTION,INR,"248,531",EE Maintenance Division 2 (Civil) PWD Lucknow,Internal,EE Maintenance Division 2 (Civil) PWD Lucknow EE Maintenance Division 1 (Civil) PWD Lucknow,DILIP KUMAR,24-Jun-2026 04:24 PM,finsummary_2070771.pdf (2588.76 KB),Chief Engineer (Building)||S E 39 Circle PWD Lucknow||Maintenance Division 2 (Civil) PWD Lucknow,2026_PWDBL_1115187_14,281/E-Tender/2025-26 dt. 09.02.2026,"Upper Dalibagh Colony sthit Awas No.-12/2, Type-4 me shatigrast kitchen ki tiles marammat, kitchen va bathroom ki fittings badalne ka karya, kitchen cabinet ka karya, shatigrast shade ki marammat ka karya , shatigrast darwaze va jaali darwaze badalne",1,5895415,M/S APRAMEYA CONSTRUCTION,19-Feb-2026 09:21 AM,Accepted-AOC,Financial bid is accepted at the Price Rs. 248531.00 By Executive Engineer Maintenance Division 2 (Civil) PWD Lucknow,24-Jun-2026 04:27 PM,24-Jun-2026,"INR 248,531",30.0,DILIP KUMAR,24-Jun-2026 04:27 PM,1039.pdf (688.00 KB),AOC for Acceptance No 1039 date 11.06.2026,EE Maintenance Division 2 (Civil) PWD Lucknow,Internal,EE Maintenance Division 2 (Civil) PWD Lucknow EE Maintenance Division 1 (Civil) PWD Lucknow,DILIP KUMAR,24-Jun-2026 04:18 PM,techsummary_2070771.pdf (2588.76 KB),Finance,Evaluation Letter,DILIP KUMAR,10-Mar-2026 03:23 PM,finance_2070771.pdf,BOQ Comparative Chart,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,BOQ,,,,,,,,,AOC,,,,,,,,,,,,,,,,2,5895464,M/S B.L.ENTERPRISES,19-Feb-2026 09:47 AM,Rejected-Finance,Financial bid Rejected due to L2,24-Jun-2026 04:24 PM,,,,,,,,,,,,,,,,,,,,AOC
