Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.3,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,Tender Stage
Director Cum Chief Engineer RED||CHIEF ENGINEER WEST||SE SAHARANPUR CIRCLE||EE MUZAFFARNAGAR,1961/RED/Tender 19/25-26 Dt 30.03.2026,2026_REDUP_1150357_6,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical,.pdf,NIT,1.0,SBI Bank,19-May-2026 05:00 PM,26-May-2026 12:30 PM,20-May-2026 10:00 AM,25-May-2026 12:00 PM,NA ,NA ,20-May-2026 10:00 AM,25-May-2026 12:00 PM,02-Jun-2026 10:00 AM,"19,000",Yes,fixed,,Nil,Nil,PHC Galibpur me 125 mtr chardiwari ka Nirman karya,PHC Galibpur me 125 mtr chardiwari ka Nirman karya,PHC Galibpur me 125 mtr chardiwari ka Nirman karya ,NA ,"9,35,000",Civil Works,NA ,Tender,90.0,90.0,MUZAFFARNAGAR,251001.0,MUZAFFARNAGAR ,EXECUTIVE ENGINEER RURAL ENGINEERING DEPARTMENT VIKAS BHAWAN 3rd FLOOR MUZAFFARNAGAR ,20-May-2026 12:00 PM ,EXECUTIVE ENGINEER RURAL ENGINEERING DEPARTMENT V,No ,No,766.0,Nil,Nil,No,EXECUTIVE ENGINEER RURAL ENGINEERING DEPARTMENT,EXECUTIVE ENGINEER RURAL ENGINEERING DEPARTMENT VIKAS BHAWAN 3rd FLOOR MUZAFFARNAGAR,AOC,EXECUTIVE ENGINEER,Internal,EE AE DAO,Anil Kumar,08-Jun-2026 10:55 PM,finsummary_2153995.pdf (438.23 KB),Technical,Summary,Anil Kumar,28-May-2026 08:02 AM,technical_2153995.pdf,EXECUTIVE ENGINEER,Internal,EE DAO AE,Anil Kumar,28-May-2026 08:06 AM,02-Jun-2026 10:00 AM,techsummary_2153995.pdf (314.33 KB),Finance,Summary,Anil Kumar,08-Jun-2026 10:27 PM,finance_2153995.pdf,BOQ Comparative Chart,1.0,6135870.0,M/S A.P. DEVELOPERS,INR,"934,493.66",Director Cum Chief Engineer RED||CHIEF ENGINEER WEST||SE SAHARANPUR CIRCLE||EE MUZAFFARNAGAR,2026_REDUP_1150357_6,1961/RED/Tender 19/25-26 Dt 30.03.2026,PHC Galibpur me 125 mtr chardiwari ka Nirman karya,1.0,6135870.0,M/S A.P. DEVELOPERS,23-May-2026 11:49 AM,Accepted-AOC,L1,25-Jun-2026 03:06 PM,08-Jun-2026,"INR 934,493.66",90.0,Anil Kumar,25-Jun-2026 03:07 PM,A6.pdf (496.00 KB),AOC,AOC
,,,,,,,,,,,,,,,,.pdf,T1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,6135896.0,PRAVINDRA KUMAR,23-May-2026 12:38 PM,Rejected-Finance,L2,08-Jun-2026 10:55 PM,,,,,,,,AOC
,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
