Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Type :,Summary :,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :,Document :.2,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.3,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,Tender Stage
Director Cum Chief Engineer RED||CHIEF ENGINEER EAST||SE KANPUR CIRCLE||EE KANNAUJ,911/RED/ETender/2025-26 Dt 11.03.2026,2026_REDUP_1134635_6,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,Executive Engineer R.E.D. Kannauj,Office Executive Engineer R.E.D. S-6 IInd Floor Vikas Bhawan Kannauj,860.0,Nil,Nil,No,1,Fee/PreQual/Technical,.pdf,Technical,09-Apr-2026 01:00 PM,18-Apr-2026 02:00 PM,09-Apr-2026 01:05 PM,17-Apr-2026 12:00 PM,NA ,NA ,09-Apr-2026 01:15 PM,17-Apr-2026 12:00 PM,13-May-2026 04:00 PM,Construction of C.C. Road from Majara Mauretha Ki Bamba Puliya to Laung Shree Holkar Mahavidhyalaya Kirayan at gram panchayat Dadauna Saurikh,Construction of C.C. Road from Majara Mauretha Ki Bamba Puliya to Laung Shree Holkar Mahavidhyalaya Kirayan at gram panchayat Dadauna Saurikh,Please refer Tender documents. ,NA ,"14,88,000",Civil Works,NA ,Tender,90.0,90.0,Vikas Bhawan Kannauj,209727.0,NA ,NA ,NA ,Office Vikas Bhawan Kannauj,No ,No,"30,000",No,fixed,,Nil,Nil,1.0,SBI Bank,AOC,Sri Alok Kumar Srivastava E.E.,Internal,1- Sri Abhishek Kumar A.E. 2- Sri Ankur Kumar DAO,Alok Kumar Srivastava,12-May-2026 07:28 PM,13-May-2026 04:00 PM,techsummary_2118936.pdf (347.14 KB),Finance,summary,Alok Kumar Srivastava,29-May-2026 04:26 PM,,BOQ Comparative Chart,Sri Alok Kumar Srivastava E.E.,Internal,1. Sri Abhishek Kumar A.E. 2- Sri Ankur Kumar DAO,Alok Kumar Srivastava,29-May-2026 04:30 PM,finsummary_2118936.pdf (347.13 KB),Technical,summary,Alok Kumar Srivastava,12-May-2026 07:25 PM,technical_2118936.pdf,Director Cum Chief Engineer RED||CHIEF ENGINEER EAST||SE KANPUR CIRCLE||EE KANNAUJ,2026_REDUP_1134635_6,911/RED/ETender/2025-26 Dt 11.03.2026,Construction of C.C. Road from Majara Mauretha Ki Bamba Puliya to Laung Shree Holkar Mahavidhyalaya Kirayan at gram panchayat Dadauna Saurikh,1.0,6053292.0,RAV INFRA,INR,"1,484,602",1,6053361,M/S RIZWANA KHATOON CONTRACTOR,17-Apr-2026 09:40 AM,Rejected-Finance,High Rate Bid Rejected,29-May-2026 04:30 PM,01-Jun-2026,"INR 1,484,602",90.0,Alok Kumar Srivastava,01-Jun-2026 01:30 PM,bambapuliya.pdf (794.00 KB),AOC
,,,,,,,,,,,,,,,,,,,,2,Finance,.xls,Financial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,6053292,RAV INFRA,17-Apr-2026 10:33 AM,Accepted-AOC,low rate bid accepted,01-Jun-2026 01:31 PM,,,,,,,AOC
