Type :,Summary :,Updated By :,Updated On :,Document :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.1,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.2,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Stage
Technical,Summary,Gyanendra Kumar,12-May-2026 07:31 PM,,04-Jun-2026,"INR 2,977,985",90.0,Gyanedra Kumar,04-Jun-2026 07:16 PM,15_25.pdf (494.00 KB),Er Gyanendra Kumar EE RED Barabanki,Internal,,Gyanedra Kumar,21-May-2026 12:51 PM,22-May-2026 12:00 PM,techsummary_2134801.pdf (237.83 KB),1,6107125,K K ENTERPRISES,11-May-2026 05:47 PM,Rejected-Finance,Rejected,04-Jun-2026 07:12 PM,Director Cum Chief Engineer RED||CHIEF ENGINEER EAST||SE FAIZABAD CIRCLE||EE BARABANKI,2026_REDUP_1142969_25,15/EE RED Barabanki/2026-27 Dt 02/04/2026,"Under District Barabanki, Construction of CC road from Bardan Tiwari house to Mata Baksh Singh house in Basantpur, Lot No 25",Finance,Summary,Gyanedra Kumar,23-May-2026 02:22 PM,,BOQ Comparative Chart,Er Gyanendra Kumar EE RED Barabanki,Internal,,Gyanedra Kumar,04-Jun-2026 07:12 PM,finsummary_2134801.pdf (494.24 KB),1.0,6107482.0,M/S RAKESH KUMAR SINGH THEKEDAR,INR,"2,977,985",AOC,854.0,Nil,Nil,No,"50,180",No,percentage,2.0%,Nil,Nil,1.0,SBI Bank,"Under District Barabanki, Construction of CC road from Bardan Tiwari house to Mata Baksh Singh house in Basantpur, Lot No 25","Under District Barabanki, Construction of CC road from Bardan Tiwari house to Mata Baksh Singh house in Basantpur, Lot No 25",Please refer Tender documents. ,NA ,"25,09,000",Civil Works,NA ,Tender,90.0,90.0,Barabanki,224001.0,EE RED Barabanki Vikas Bhawan Barabanki ,EE RED Barabanki Vikas Bhawan Barabanki  ,30-Apr-2026 09:00 AM ,EE RED Barabanki Vikas Bhawan Barabanki,No ,No,1,Fee/PreQual/Technical,.pdf,Fees and Technical Documents,EE RED Barabanki Vikas Bhawan Barabanki,EE RED Barabanki Vikas Bhawan Barabanki,Director Cum Chief Engineer RED||CHIEF ENGINEER EAST||SE FAIZABAD CIRCLE||EE BARABANKI,15/EE RED Barabanki/2026-27 Dt 02/04/2026,2026_REDUP_1142969_25,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,28-Apr-2026 02:00 PM,12-May-2026 01:00 PM,28-Apr-2026 02:00 PM,12-May-2026 12:00 PM,NA ,NA ,28-Apr-2026 02:00 PM,12-May-2026 12:00 PM,22-May-2026 12:00 PM,AOC
,,,,,,,,,,,,,,,,,,2,6107482,M/S RAKESH KUMAR SINGH THEKEDAR,11-May-2026 06:51 PM,Accepted-AOC,AoC,04-Jun-2026 07:16 PM,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Finance,.xls,Financial Documents(BoQ),,,,,,,,,,,,,,,,,,,,,,,,,,AOC
