Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,S.No,Instrument Type,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Type :,Summary :,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :,Document :.2,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.3,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,Tender Stage
Directorate of Local Bodies UP||Nagar Palika Parishad Lakhimpur Lakhimpur,242/JANNIRMAN/MBL/2026-27 DATED 06.05.2026,2026_DOLBU_1146064_1,Yes,Open Tender,Percentage,Goods,2.0,No,No,Offline,No,No,No,07-May-2026 11:00 AM,22-May-2026 11:00 AM,07-May-2026 11:00 AM,21-May-2026 05:00 PM,NA ,NA ,07-May-2026 11:00 AM,21-May-2026 05:00 PM,25-May-2026 06:00 PM,1,Fee/PreQual/Technical,.pdf,Technical,1,FDR - Fixed Deposit,"83,220",No,fixed,,Nagar Palika Parishad,Lakhimpur,"Work of supplying bhusa (Chaff) for the maintenance of bovine animals in the temporary cowshed located in village Mainha (Khambarkheda) in Nagar Palika Parishad, Lakhimpur.","Work of supplying bhusa (Chaff) for the maintenance of bovine animals in the temporary cowshed located in village Mainha (Khambarkheda) in Nagar Palika Parishad, Lakhimpur.",Please refer Tender documents. ,NA ,,Food Products,NA ,Tender,180.0,365.0,LAKHIMPUR,262701.0,NA ,NA ,NA ,Office Nagar Palika Parishad Lakhimpur,No ,No,Executive Officer,Office Nagar Palika Parishad Lakhimpur,"4,161",Nagar Palika Parishad,Lakhimpur,No,AOC,sanjay kumar,Internal,,Sanjay Kumar,25-May-2026 05:10 PM,25-May-2026 06:00 PM,techsummary_2143015.pdf (198.78 KB),Finance,Bid opening summary,Sanjay Kumar,24-Jun-2026 02:10 PM,,BOQ Comparative Chart,sanjay kumar,Internal,,Sanjay Kumar,24-Jun-2026 02:23 PM,finsummary_2143015.pdf (342.34 KB),Technical,Bid opening summary,Sanjay Kumar,25-May-2026 05:06 PM,,Directorate of Local Bodies UP||Nagar Palika Parishad Lakhimpur Lakhimpur,2026_DOLBU_1146064_1,242/JANNIRMAN/MBL/2026-27 DATED 06.05.2026,"Work of supplying bhusa (Chaff) for the maintenance of bovine animals in the temporary cowshed located in village Mainha (Khambarkheda) in Nagar Palika Parishad, Lakhimpur.",1.0,6132681.0,RUBI ENTERPRISES,INR,"4,868,370",1,6132511,M/S DIVYA ENTERPRISES,21-May-2026 12:28 AM,Rejected-Finance,Highest Amount,24-Jun-2026 02:23 PM,24-Jun-2026,"INR 4,868,370",365.0,Sanjay Kumar,24-Jun-2026 02:34 PM,Aocbhusa.pdf (292.00 KB),AOC
,,,,,,,,,,,,,,,,,,,,,,,2,Finance,.xls,BOQ,2,RTGS - RTGS Payment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,6132681,RUBI ENTERPRISES,21-May-2026 12:36 AM,Accepted-AOC,Lowest amount,24-Jun-2026 02:34 PM,,,,,,,AOC
