Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.3,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,Tender Stage
Director Cum Chief Engineer RED||CHIEF ENGINEER EAST||SE FAIZABAD CIRCLE||EE FAIZABAD,4404/EE RED Ayodhya/25-26 Dt 06/01/2026,2026_REDUP_1113578_5,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,1.0,SBI Bank,"19,680",No,percentage,2.0%,Nil,Nil,"EE RED Ayodhya, Vikas Bhawan, Ayodhya","EE RED Ayodhya, Vikas Bhawan, Ayodhya",1.0,Fee/PreQual/Technical,.pdf,Fees and Technical Documents,"Under District Ayodhya, Construction of Interlocking Road from paved road to Manoj Paswan house in Adilpur Pure Lala of Haringtonganj, Lot No 5","Under District Ayodhya, Construction of Interlocking Road from paved road to Manoj Paswan house in Adilpur Pure Lala of Haringtonganj, Lot No 5",Please refer Tender documents. ,NA ,"9,84,000",Civil Works,NA ,Tender,90.0,90.0,AYODHYA,224001.0,"EE RED Ayodhya, Vikas Bhawan, Ayodhya ","EE RED Ayodhya, Vikas Bhawan, Ayodhya  ",10-Feb-2026 11:00 AM ,"EE RED Ayodhya, Vikas Bhawan, Ayodhya",No ,No,"1,180",Nil,Nil,No,08-Feb-2026 04:00 PM,17-Feb-2026 03:00 PM,08-Feb-2026 04:00 PM,17-Feb-2026 12:00 PM,NA ,NA ,08-Feb-2026 04:00 PM,17-Feb-2026 12:00 PM,06-Mar-2026 12:00 PM,AOC,Er M K Lodhi EE RED Ayodhya,Internal,,Munesh Kumar Lodhi,27-Jun-2026 02:12 PM,finsummary_2062206.pdf (538.11 KB),Technical,Summary,Munesh Kumar Lodhi,18-Feb-2026 09:35 PM,,Er Munesh Kumar Lodhi EE RED Ayodhya,Internal,"Er Munesh Kumar Lodhi EE RED Ayodhya, Er Mayank Chaudhary AE RED Ayodhya, Mr Harendra Kumar DAO RED Ayodhya",Mahendra Kumar,28-Feb-2026 09:44 AM,06-Mar-2026 12:00 PM,techsummary_2062206.pdf (8118.16 KB),Finance,Summary,Munesh Kumar Lodhi,09-Mar-2026 01:52 PM,,BOQ Comparative Chart,1,5879780,KRITI ENTERPRISES,16-Feb-2026 04:18 PM,Rejected-Technical,Rejected,28-Feb-2026 09:44 AM,1.0,5860303.0,SWADESHI ENTERPRISES,INR,"1,159,568",Director Cum Chief Engineer RED||CHIEF ENGINEER EAST||SE FAIZABAD CIRCLE||EE FAIZABAD,2026_REDUP_1113578_5,4404/EE RED Ayodhya/25-26 Dt 06/01/2026,"Under District Ayodhya, Construction of Interlocking Road from paved road to Manoj Paswan house in Adilpur Pure Lala of Haringtonganj, Lot No 5",27-Jun-2026,"INR 1,159,568",90.0,Munesh Kumar Lodhi,27-Jun-2026 02:14 PM,4404_5.pdf (538.00 KB),AOC
,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,Financial Documents(BoQ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,2,5860331,M/s Siyaram Construction,10-Feb-2026 06:08 PM,Rejected-Finance,Rejected,27-Jun-2026 02:12 PM,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,3,5860303,SWADESHI ENTERPRISES,10-Feb-2026 06:01 PM,Accepted-AOC,AOc,27-Jun-2026 02:14 PM,,,,,,,,,,,,,,,,AOC
