Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Bank Name,Cover No,Cover,Document Type,Description,Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Stage,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,Type :.1,Summary :.1,Updated By :.3,Updated On :.1,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage
"Lepan work in Village Mohanpur, from Mohanpur village up to Monu Katheria farmhouse Salarpur","Lepan work in Village Mohanpur, from Mohanpur village up to Monu Katheria farmhouse Salarpur",Please refer Tender documents. ,NA ,"49,16,500",Civil Works - Roads,NA ,Tender,90.0,90.0,SALARPUR BADAUN,243601.0,SE RED CIRCLE BAREILLY ,SE RED CIRCLE BAREILLY OFFICE ,07-May-2026 12:00 PM ,SE RED CIRCLE BAREILLY OFFICE,No ,No,"98,300",No,fixed,,Nil,Nil,Director Cum Chief Engineer RED||CHIEF ENGINEER WEST||SE BAREILLY CIRCLE,19/RED/Nivida file Badaun/E-Nivida/2026-27 dated 02-04-2026,2026_REDUP_1145694_21,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,1.0,SBI Bank,1,Fee/PreQual/Technical,.pdf,TECHNICAL DOCUMENT,SE RED CIRCLE BAREILLY,SE RED CIRCLE BAREILLY OFFICE,"2,354",Nil,Nil,No,07-May-2026 09:00 AM,21-May-2026 04:00 PM,07-May-2026 09:00 AM,21-May-2026 12:00 PM,NA ,NA ,07-May-2026 09:00 AM,21-May-2026 12:00 PM,05-Jun-2026 12:30 PM,AOC,1.0,6129913.0,M/S SATISH CHANDRA GUPTA CONTRACTOR AND SUPLIERS,INR,"5,785,705",Finance,FINANCIAL BID OPEN,RAJESH KUMAR,13-Jun-2026 10:53 AM,finance_2142626.pdf,BOQ Comparative Chart,SEREDCIRCLEBAREILLY,Internal,SEREDCIRCLEBAREILLYEEREDDIVISIONBUDAUNEEREDDIVISIONBAREILLYDAOREDDIVISIONBUDAUN,RAJESH KUMAR,13-Jun-2026 10:56 AM,finsummary_2142626.pdf (1050.71 KB),Director Cum Chief Engineer RED||CHIEF ENGINEER WEST||SE BAREILLY CIRCLE,2026_REDUP_1145694_21,19/RED/Nivida file Badaun/E-Nivida/2026-27 dated 02-04-2026,"Lepan work in Village Mohanpur, from Mohanpur village up to Monu Katheria farmhouse Salarpur",1,6129919,M/S MOHIT GUPTA CONTRACTOR,20-May-2026 06:12 PM,Rejected-Finance,DUE TO HIGHER RATE,13-Jun-2026 10:56 AM,29-Jun-2026,"INR 5,785,705",90.0,RAJESH KUMAR,29-Jun-2026 05:54 PM,21bdn.pdf (287.00 KB),"AOC OF THE WORK - Lepan work in Village Mohanpur, from Mohanpur village up to Monu Katheria farmhouse Salarpur",Technical,bid open,RAJESH KUMAR,31-May-2026 12:51 PM,technical_2142626.pdf,SEREDCIRCLEBAREILLY,Internal,"SEREDCIRCLEBAREILLY, EEREDDIVISIONBADAUN, EEREDDIVISIONBAREILLY, DAOREDDIVISIONBADAUN",RAJESH KUMAR,31-May-2026 12:54 PM,05-Jun-2026 12:30 PM,techsummary_2142626.pdf (601.17 KB),AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Finance,.xls,FINANCIAL DOCUMENT,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,2,6129913,M/S SATISH CHANDRA GUPTA CONTRACTOR AND SUPLIERS,20-May-2026 04:51 AM,Accepted-AOC,DUE TO LOWER RATE,29-Jun-2026 05:54 PM,,,,,,,,,,,,,,,,,,,,AOC
