Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.1,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.1,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,Tender Stage,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Bank Name,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage
11-Jun-2026,"INR 122,466.97",15.0,SUNIL KUMAR,11-Jun-2026 07:29 PM,10.pdf (369.00 KB),1.0,6124656.0,M/s SADANBABU CONTRACTOR,INR,"122,466.97","U P Irrigation Department (Civil)||Chief Engineer-Ram Ganga, Kanpur||Irrigation Works Circle, Etawah||Irrigation Construction Division Firozabad",2026_UPIDC_1149146_1,02/EE/2026-27/10,Repair of Pacca Structure and Clearance of Rasaini Drain Left from Km 0.000 to 2.565,1,6136855,M/s DHARMVIR SINGH,23-May-2026 11:33 AM,Rejected-Finance,L3,11-Jun-2026 06:40 PM,Finance,As per Tender Notice,SUNIL KUMAR,27-May-2026 06:51 PM,,BOQ Comparative Chart,Executive Engineer,Internal,Ae Accountant Clerk,SUNIL KUMAR,27-May-2026 04:37 PM,27-May-2026 04:45 PM,techsummary_2151225.pdf (621.10 KB),Technical,As per Tender Notice,SUNIL KUMAR,27-May-2026 01:11 PM,,Executive Engineer,Internal,EE Accountant Clerk,SUNIL KUMAR,11-Jun-2026 06:40 PM,finsummary_2151225.pdf (28.32 KB),AOC,16-May-2026 11:30 AM,23-May-2026 03:00 PM,16-May-2026 11:30 AM,23-May-2026 02:00 PM,NA ,NA ,16-May-2026 11:30 AM,23-May-2026 02:00 PM,27-May-2026 04:45 PM,Repair of Pacca Structure and Clearance of Rasaini Drain Left from Km 0.000 to 2.565,Repair of Pacca Structure and Clearance of Rasaini Drain Left from Km 0.000 to 2.565,Please refer tender documents ,NA ,,Civil Works - Canal,NA ,Tender,90.0,15.0,rasaini Drain Left,283141.0,NA ,NA ,NA ,Shikohabad,No ,No,1.0,Fee/PreQual/Technical,.pdf,Fee/PreQual/Technical,Executive Engineer,ICD Firozabad HQ Shikohabad,"U P Irrigation Department (Civil)||Chief Engineer-Ram Ganga, Kanpur||Irrigation Works Circle, Etawah||Irrigation Construction Division Firozabad",02/EE/2026-27/10,2026_UPIDC_1149146_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,1.0,SBI Bank,266.0,Nil,Nil,No,"7,000",No,fixed,,Nil,Nil,AOC
,,,,,,,,,,,,,,,2,6133982,M/S KRISHNA CONTRACTOR & SUPPLIER,22-May-2026 06:56 PM,Rejected-AOC,L2,11-Jun-2026 07:29 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,Finance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,3,6124656,M/s SADANBABU CONTRACTOR,23-May-2026 10:48 AM,Accepted-AOC,L1,11-Jun-2026 07:29 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,4,6137280,M/s SHASHAVEER SINGH CONTRACTOR AND SUPPLIERS,23-May-2026 01:31 PM,Rejected-Finance,L4,11-Jun-2026 06:40 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,5,6137397,M/s SHRI MAHIPAL SINGH,23-May-2026 01:46 PM,Rejected-Finance,L5,11-Jun-2026 06:40 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
