Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.1,S.No,Revocation Title,Revocation Description,Published Date,Document Name,Document Size(in KB),Revocated To,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,S.No.1,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.2,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,Name,Address,S.No,Bank Name,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage
Er. Bharat Ram,Internal,,Bharat Ram,06-Mar-2026 02:44 PM,06-Mar-2026 04:30 PM,techsummary_2069638.pdf (668.98 KB),10-Mar-2026,"INR 1,339,570.8",20.0,Bharat Ram,16-Jun-2026 04:17 PM,lot16.pdf (339.00 KB),Technical,Attached,Bharat Ram,06-Mar-2026 01:14 PM,,1.0,Revocation,Attached,06-Mar-2026 12:21 PM,Sudhiipatra16.pdf ,20.2,Technical Opening,Er. Bharat Ram,Internal,,Bharat Ram,10-Mar-2026 01:50 PM,finsummary_2069638.pdf (84.45 KB),Finance,Attached,Bharat Ram,10-Mar-2026 01:46 PM,,BOQ Comparative Chart,1.0,5893904.0,Ms Ram Nath Shukla Contractor,INR,"1,339,570.8","U P Irrigation Department (Civil)||Chief Engineer-Gandak, Gorakhpur||Gandak Flood Circle, Basti||EE FLOOD DIVISION, BALRAMPUR",2026_UPIDC_1112264_34,15/EE/2025-26,Earth Work for desilting of Kharjhar Drain From Km. 0.000 to km. 3.700 in Distt- Balrampur,1,5901704,AJIT SINGH,20-Feb-2026 12:54 PM,Rejected-Technical,Technical Bid Not Qualified,06-Mar-2026 02:44 PM,AOC,Executive Engineer,Flood Division Balrampur,1.0,SBI Bank,1.0,Fee/PreQual/Technical,.pdf,Technical Document,"64,000",Yes,fixed,,Nil,Nil,854.0,Nil,Nil,No,13-Feb-2026 10:00 AM,20-Feb-2026 03:00 PM,13-Feb-2026 10:00 AM,20-Feb-2026 02:00 PM,NA ,NA ,13-Feb-2026 10:00 AM,20-Feb-2026 02:00 PM,06-Mar-2026 04:30 PM,Earth Work for desilting of Kharjhar Drain From Km. 0.000 to km. 3.700 in Distt- Balrampur,As Per Tender Notice,As Per Tender Notice ,NA ,"31,80,000",Civil Works,NA ,Tender,90.0,20.0,Balrampur,271201.0,NA ,NA ,NA ,Balrampur,No ,No,"U P Irrigation Department (Civil)||Chief Engineer-Gandak, Gorakhpur||Gandak Flood Circle, Basti||EE FLOOD DIVISION, BALRAMPUR",15/EE/2025-26,2026_UPIDC_1112264_34,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5901466,Jabir Khan,20-Feb-2026 12:08 PM,Rejected-Technical,Technical Bid Not Qualified,06-Mar-2026 02:44 PM,AOC,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,5893610,KOSIS ENTERPRISES,18-Feb-2026 05:51 PM,Rejected-Technical,Technical Bid Not Qualified,06-Mar-2026 02:44 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,5896818,LALTA PRASAD MAURYA,20-Feb-2026 11:53 AM,Rejected-Technical,Technical Bid Not Qualified,06-Mar-2026 02:44 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5901342,M/S AMIT TRADERS,20-Feb-2026 11:38 AM,Rejected-Technical,Technical Bid Not Qualified,06-Mar-2026 02:44 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,5886211,M/S ANIL KUMAR BARNWAL THEKEDAR,17-Feb-2026 01:42 PM,Rejected-Finance,L2,10-Mar-2026 01:50 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,5901371,Ms A S Construction,20-Feb-2026 12:16 PM,Rejected-Finance,L5,10-Mar-2026 01:50 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,5901533,M/S CHANDA CONSTRUCTION,20-Feb-2026 01:07 PM,Rejected-Technical,Technical Bid Not Qualified,06-Mar-2026 02:44 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,5901639,m/s kanihya lal yadav,20-Feb-2026 12:29 PM,Rejected-Finance,L6,10-Mar-2026 01:50 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,5891877,M/S RADHIKA CONSTRUCTION COMPANY,20-Feb-2026 01:57 AM,Rejected-Technical,Technical Bid Not Qualified,06-Mar-2026 02:44 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
