Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.1,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :.1,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Document :.2,Tender Stage,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Corrigendum Title,Corrigendum Type,View,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,S.No.1,Bank Name,Tender Stage
11-May-2026,"INR 834,764",45.0,Tota Ram,09-Jun-2026 01:57 PM,saifa.pdf (151.00 KB),work order,"Kanpur Municipal Corporation, Kanpur, UP",2026_NNKAN_1117602_1,694/AA-6/2025-26,Improvement work of drain and footpath by interlocking tiles from house no. 117/L/64 to 117/L/61A (Shaifali Raj ji) upto 117/L/58 in Naveen Nagar under Zone 06 Ward 30 Ambedkar Nagar.,1.0,5922626.0,MEERA ENTERPRISES,INR,"834,764",1,5930029,ARYA CONSTRUCTION,25-Feb-2026 09:17 PM,Rejected-Finance,No Lottery Winner,06-Apr-2026 05:58 PM,Finance,All Bids are admitted,Tota Ram,17-Mar-2026 02:34 PM,,BOQ Comparative Chart,EE-6,Internal,,Tota Ram,06-Apr-2026 05:58 PM,finsummary_2076712.pdf (42.02 KB),EE-6,Internal,,Tota Ram,06-Apr-2026 05:55 PM,techsummary_2076712.pdf (42.02 KB),AOC,"98,208",No,percentage,10.0%,Nil,Nil,1.0,Fee/PreQual/Technical/Finance,.pdf,pdf,18-Feb-2026 02:00 PM,28-Feb-2026 04:00 PM,18-Feb-2026 02:00 PM,28-Feb-2026 03:00 PM,NA ,NA ,18-Feb-2026 02:00 PM,28-Feb-2026 03:00 PM,"1,180",Nil,Nil,No,1.0,date extenison,Date,,Improvement work of drain and footpath by interlocking tiles from house no. 117/L/64 to 117/L/61A (Shaifali Raj ji) upto 117/L/58 in Naveen Nagar under Zone 06 Ward 30 Ambedkar Nagar.,Improvement work of drain and footpath by interlocking tiles from house no. 117/L/64 to 117/L/61A (Shaifali Raj ji) upto 117/L/58 in Naveen Nagar under Zone 06 Ward 30 Ambedkar Nagar.,Please refer Tender documents. ,NA ,"9,82,076",Civil Works,NA ,Tender,180.0,45.0,kanpur,208001.0,NA ,NA ,NA ,ce knn moti jheel,No ,No,"Kanpur Municipal Corporation, Kanpur, UP",694/AA-6/2025-26,2026_NNKAN_1117602_1,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,ce knn,ce knn moti jheel,1.0,SBI Bank,AOC
,,,,,,,,,,,,,,,,2,5927887,Jay Shree Enterpriess,25-Feb-2026 09:19 AM,Rejected-Finance,No Lottery Winner,06-Apr-2026 05:58 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,.xls,boq,,,,,,,,,,,,,2.0,date extenison,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,3,5934937,LAKSHYA INFRASTRUCTURE,28-Feb-2026 09:20 AM,Rejected-Finance,No Lottery Winner,06-Apr-2026 05:58 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,4,5922626,MEERA ENTERPRISES,24-Feb-2026 04:51 PM,Accepted-AOC,L-1,09-Jun-2026 01:57 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,5,5935631,M/S OM SAI CONSTRUCTION CO.,27-Feb-2026 08:42 AM,Rejected-Finance,No Lottery Winner,06-Apr-2026 05:58 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,6,5939819,M/s S M A traders,28-Feb-2026 01:42 AM,Rejected-Finance,No Lottery Winner,06-Apr-2026 05:58 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,7,5909061,M/s S.R. ENTERPRISES,22-Feb-2026 11:07 AM,Rejected-Finance,No Lottery Winner,06-Apr-2026 05:58 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,8,5940312,M/s Super rain construction,28-Feb-2026 10:38 AM,Rejected-Finance,No Lottery Winner,06-Apr-2026 05:58 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,9,5941152,OM ENTERPRISES,28-Feb-2026 12:31 PM,Rejected-Finance,No Lottery Winner,06-Apr-2026 05:58 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,10,5941085,SHRIYA ENTERPRISES,28-Feb-2026 12:12 PM,Rejected-Finance,No Lottery Winner,06-Apr-2026 05:58 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
