Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,AOC Description :,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.1,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.2,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Tender Stage,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Bank Name,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,Tender Stage
Committee,Internal,Committee,BHARAM PAL SINGH,19-May-2026 01:22 PM,19-May-2026 01:25 PM,techsummary_2092498.pdf (696.63 KB),03-Jun-2026,"INR 2,696,491.91",120.0,BHARAM PAL SINGH,16-Jun-2026 02:16 PM,16.pdf (10284.00 KB),AOC,Technical,UNDER EVALUATION,BHARAM PAL SINGH,19-May-2026 01:05 PM,,Finance,UNDER EVALUATION,VIKAS KUMAR,03-Jun-2026 05:05 PM,,BOQ Comparative Chart,Committee,Internal,Committee,VIKAS KUMAR,03-Jun-2026 05:13 PM,finsummary_2092498.pdf (72.62 KB),1.0,5984611.0,JAI SHRI KRISHNA CONTRACTOR AND SUPPLIER,INR,"2,696,491.91",1,5987835,ISHANT ENTERPRISES,19-Mar-2026 02:13 PM,Rejected-Finance,L4,03-Jun-2026 05:13 PM,Yamuna Expressway Industrial Development Authority,2026_YEIDA_1122864_16,YEA/GM(PROJECT)/2026/480 DT-27/02/2026,"Balance Interlocking tiles work in Village-Wailana, YEA WC-06",AOC,"Balance Interlocking tiles work in Village-Wailana, YEA WC-06","Balance Interlocking tiles work in Village-Wailana, YEA WC-06",Please refer Tender documents. ,NA ,"42,13,268",Civil Works,NA ,Tender,90.0,120.0,YAMUNA EXPRESSWAY INDUSTRIAL DEVELOPMENT AUTHORITY,201308.0,NA ,NA ,NA ,"2ND FLOOR ,YEIDA OFFICE",No ,No,"84,300",No,fixed,,Nil,Nil,Yamuna Expressway Industrial Development Authority,YEA/GM(PROJECT)/2026/480 DT-27/02/2026,2026_YEIDA_1122864_16,Yes,Open Tender,Fixed-rate,Works,2.0,No,No,Online,No,No,No,1.0,SBI Bank,1.0,Fee/PreQual/Technical,.pdf,"FINANCIAL STATEMENT,TURNOVER,GST,PAN,AADHAR,PROP./PRTN./LTD.CO.CERTIFICATE,AUTHORITY LETTER,ETC","1,012",Nil,Nil,No,10-Mar-2026 06:55 PM,20-Mar-2026 11:00 AM,10-Mar-2026 06:55 PM,19-Mar-2026 05:00 PM,NA ,NA ,10-Mar-2026 06:55 PM,19-Mar-2026 05:00 PM,19-May-2026 01:25 PM,GM(P),YAMUNA EXPRESSWAY INDUSTRIAL DEVELOPMENT AUTHORITY,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5984611,JAI SHRI KRISHNA CONTRACTOR AND SUPPLIER,19-Mar-2026 11:46 AM,Accepted-AOC,L1,16-Jun-2026 02:16 PM,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"TENDER FEE,EMD, Rs.100/- NON JUDICIAL STAMP PAPER ALONGWITH Re.1/- REVENUE STAMP",,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,5983410,M/S ANUSHKA CONSTRUCTION,19-Mar-2026 10:38 AM,Rejected-Finance,L3,03-Jun-2026 05:13 PM,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,APPENDIX A TO E,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,5987565,M/S NARAYAN CONTRACTOR & SUPPLIER,19-Mar-2026 08:56 AM,Rejected-Finance,L5,03-Jun-2026 05:13 PM,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,OTHER REQUISITES AS PER TENDER DOCUMENTS,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5986620,Rawat Hi Tech Engineers,19-Mar-2026 02:53 PM,Rejected-Finance,L6,03-Jun-2026 05:13 PM,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,FINANCIALBID,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,5988226,SHREE ENTERPRISES/ ANAND PRATAP SINGH,19-Mar-2026 11:34 AM,Rejected-Finance,L2,03-Jun-2026 05:13 PM,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
