S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Type :,Summary :,Updated By :.2,Updated On :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage,S.No,Instrument Type,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Tender Stage
1.0,6101744.0,ACE INFRATECH,09-May-2026 08:33 PM,Rejected-Finance,L2 Bidder,03-Jun-2026 02:14 PM,1.0,6100499.0,M/S ADHIRA CONSTRUCTIONS,INR,"67,133,000",Construction and Design Services UP Jal Nigam||C.G.M. (I) Lucknow||G.M. (08) Lucknow||Unit-13 Lucknow,2026_UPCDS_1139060_1,445/E-Tender/65 Dt. 06.04.2026,"Various Renovation and Upgradation work at Kalyan Singh super speciality cancer institute, Lucknow",06-Jun-2026,"INR 67,133,000",365.0,VINAS KUMAR CHAUDHARY,23-Jun-2026 05:08 PM,L831DOSFireworkKSSSCI.pdf (1284.00 KB),Contract awarded,Sri Santosh Kumar Gautam CGM-4,Internal,"Sri Naushad Ahmad GM-11, Sri Amit Kumar GM-06 and Nodal, Hari Narayan Kshyap FO",VINAS KUMAR CHAUDHARY,03-Jun-2026 02:14 PM,finsummary_2126761.pdf (863.01 KB),Technical,Technical Bid opened and 3 Bidder found for evaluation.,VINAS KUMAR CHAUDHARY,12-May-2026 03:14 PM,,Sri Santosh Kumar Gautam CGM-4,Internal,"Sri Naushad Ahmad GM-11, Sri Amit Kumar GM-06 and Nodal, Hari Narayan Kshyap FO",VINAS KUMAR CHAUDHARY,23-May-2026 06:32 PM,26-May-2026 05:00 PM,techsummary_2126761.pdf (550.74 KB),Finance,Financial Bid Opened,VINAS KUMAR CHAUDHARY,26-May-2026 08:24 PM,,BOQ Comparative Chart,AOC,1.0,RTGS - RTGS Payment,22-Jul-2026 03:30 PM,12-May-2026 02:00 PM,20-Apr-2026 10:00 AM,11-May-2026 04:00 PM,NA ,NA ,20-Apr-2026 10:00 AM,11-May-2026 04:00 PM,26-May-2026 05:00 PM,Construction and Design Services UP Jal Nigam||C.G.M. (I) Lucknow||G.M. (08) Lucknow||Unit-13 Lucknow,445/E-Tender/65 Dt. 06.04.2026,2026_UPCDS_1139060_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Offline,No,No,No,"10,00,000",No,fixed,,"Director, CnDS, UP Jal Nigam(U), Unit-13",Lucknow,"Various Renovation and Upgradation work at Kalyan Singh super speciality cancer institute, Lucknow",Various Renovation and Upgradation work,As per NIT and Tender Documents ,NA ,"6,81,55,000",Civil Works - Buildings,As per NIT and Tender Documents ,Tender,120.0,365.0,"KSSSCI, Sultanpur Road, Lucknow",226002.0,NA ,NA ,NA ,"Unit 13, CnDS, UP Jal Nigam(U). Lucknow",No ,No,"Project Manager, Unit-13, CnDS, UP Jal Nigam(U)","2/128, Vikrant Khand, Gomti Nagar, Lucknow","11,800","Director, CnDS, UP Jal Nigam(U), Unit-13",Lucknow,No,1.0,Fee/PreQual/Technical,.pdf,Scanned copy of Tender Fee,AOC
2.0,6100499.0,M/S ADHIRA CONSTRUCTIONS,09-May-2026 12:44 PM,Accepted-AOC,L1 Bidder,23-Jun-2026 05:08 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Scanned copy of EMD Fee,AOC
3.0,6104071.0,M/S NATIONAL ELECTRICAL & ELECTRONICS SERVICES,10-May-2026 11:58 PM,Rejected-Technical,Not As per NIT and Tender Documents,23-May-2026 06:32 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Technical Documents in proper formats as per NIT and Tender Documents,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,Capability Statement,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,Financial Bid in the uploaded BOQ Excel sheet,AOC
