Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,S.No,Bank Name,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Type :,Summary :,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :,Document :.2,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.3,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,Tender Stage
Director Cum Chief Engineer RED||CHIEF ENGINEER EAST||SE GORAKHPUR CIRCLE,13/SE RED Gorakhpur/Kushinagar/26-27 Dt 02/04/2026,2026_REDUP_1150423_7,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,1,Fee/PreQual/Technical,.pdf,Fees And Technical Documents,1.0,SBI Bank,SE RED Gorakhpur Circle,"SE RED Gorakhpur Circle, Daudpur, Canal Road, (Durga Mandir Compound), Post-Shivpuri, Gorakhpur","Under District Kushinagar, Construction of road from Padrauna Paniyahwa NH 28B to Nauka Tola of Jungle Chauria, Lot No 7","Under District Kushinagar, Construction of road from Padrauna Paniyahwa NH 28B to Nauka Tola of Jungle Chauria, Lot No 7",Please refer Tender documents. ,NA ,"37,86,000",Civil Works,NA ,Tender,90.0,NA ,Kushinagar,274403.0,SE RED Gorakhpur Circle ,"SE RED Gorakhpur Circle, Daudpur, Canal Road, (Durga Mandir Compound), Post-Shivpuri, Gorakhpur ",22-May-2026 11:00 AM ,SE RED Gorakhpur Circle,No ,No,"2,714",Nil,Nil,No,19-May-2026 12:00 PM,29-May-2026 12:30 PM,19-May-2026 12:00 PM,28-May-2026 12:00 PM,NA ,NA ,19-May-2026 12:00 PM,28-May-2026 12:00 PM,16-Jun-2026 12:00 PM,"75,720",No,percentage,2.0%,Nil,Nil,AOC,Er D K Shukla SE RED GORAKHPUR CIRCLE,Internal,"Er D K Shukla SE RED GORAKHPUR CIRCLE, Er Surya Prakash EE RED Kushinagar, Er Surya Prakash EE RED Deoria, Mr Anop Kumar Rajpoot DAO RED Kushinagar",Dileep Shukla,11-Jun-2026 09:35 AM,16-Jun-2026 12:00 PM,techsummary_2154182.pdf (801.76 KB),Finance,Summary,Dileep Shukla,16-Jun-2026 01:45 PM,,BOQ Comparative Chart,Er D K Shukla SE RED GORAKHPUR CIRCLE,Internal,,Dileep Shukla,25-Jun-2026 09:29 AM,finsummary_2154182.pdf (1132.20 KB),Technical,Summary,Dileep Shukla,29-May-2026 06:55 PM,,1,6146764,M/s Bindu Devi,27-May-2026 09:49 PM,Accepted-AOC,AoC,25-Jun-2026 09:53 AM,1.0,6146764.0,M/s Bindu Devi,INR,"4,461,131.02",Director Cum Chief Engineer RED||CHIEF ENGINEER EAST||SE GORAKHPUR CIRCLE,2026_REDUP_1150423_7,13/SE RED Gorakhpur/Kushinagar/26-27 Dt 02/04/2026,"Under District Kushinagar, Construction of road from Padrauna Paniyahwa NH 28B to Nauka Tola of Jungle Chauria, Lot No 7",25-Jun-2026,"INR 4,461,131.02",180.0,Dileep Shukla,25-Jun-2026 09:54 AM,13_7.pdf (1132.00 KB),AOC
,,,,,,,,,,,,,,2,Finance,.xls,Financial Documents(BoQ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,2,6147541,M/S SHRI OM SAI TRADERS,28-May-2026 04:24 AM,Rejected-Finance,Rejected,25-Jun-2026 09:29 AM,,,,,,,,,,,,,,,,AOC
