S.No,Bank Name,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Tender Stage,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :.1,Financial Bid Opening Date:,Document :.1,Type :.1,Summary :.1,Updated By :.2,Updated On :.2,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :,Document :.3,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage
1.0,SBI Bank,"17,700",Nil,Nil,No,U.P. Projects Corporation Ltd.||U.P. Projects Corp. Ltd.(MD)||Zone-7 Lucknow,75/UPPCL/GM-7/E-TENDER/2025-26 Date-27.02.2026,2026_UPPRC_1121064_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical,.pdf,BIDDOC,28-Feb-2026 12:30 PM,14-Mar-2026 04:00 PM,28-Feb-2026 12:30 PM,14-Mar-2026 02:00 PM,NA ,NA ,28-Feb-2026 12:30 PM,14-Mar-2026 02:00 PM,07-Apr-2026 04:00 PM,"3,25,000",No,fixed,,Nil,Nil,Construction of approach Road from main road to Baffle shooting range and control/weapon repairing room at 10th Vahini PAC Barabanki District- Barabanki (U.P.),Construction of approach Road from main road to Baffle shooting range and control/weapon repairing room at 10th Vahini PAC Barabanki District- Barabanki (U.P.),Please refer Tender documents. ,NA ,"1,62,73,000",Civil Works - Roads,NA ,Tender,90.0,90.0,District- Barabanki (U.P.),225001.0,NA ,NA ,NA ,Lucknow,No ,No,"General Manager, Zone-7, Lucknow","General Manager, Zone-7, U.P. Projects Corporation Ltd. Lucknow. Gomti Barrage, Left Bank, Gomti Nagar Lucknow.",AOC,Finance,Enclosed,RAKESH VERMA,03-Jun-2026 08:53 PM,finance_2085763.pdf,BOQ Comparative Chart,"General Manager, Zone-7, Lucknow",Internal,"General Manager, Zone-3, Ayodhya, Project Manager, Unit-14, Lucknow, Accountant, Unit-14, Lucknow",RAKESH VERMA,06-Apr-2026 08:08 PM,07-Apr-2026 04:00 PM,techsummary_2085763.pdf (1347.30 KB),Technical,Enclosed,RAKESH VERMA,06-Apr-2026 08:03 PM,technical_2085763.pdf,"General Manager, Zone-7, Lucknow",Internal,"General Manager, Zone-3, Ayodhya, Project Manager, Unit-14, Lucknow, Accountant, Unit-14, Lucknow",RAKESH VERMA,03-Jun-2026 08:58 PM,finsummary_2085763.pdf (2942.77 KB),03-Jun-2026,"INR 16,191,194.03",90.0,RAKESH VERMA,03-Jun-2026 09:01 PM,AOC75.pdf (597.00 KB),Enclosed,1,5971036,Mahesh and Copany,14-Mar-2026 01:38 PM,Not Admitted-Fee/PreQual/Technical,"Others-M/s Mahesh and Company, Add- C-845, Sector-C, Aliganj Scheme, Mahanagar, Lucknow Said Latter Dated-14.03.2026 he want not participating in tender.",06-Apr-2026 08:03 PM,U.P. Projects Corporation Ltd.||U.P. Projects Corp. Ltd.(MD)||Zone-7 Lucknow,2026_UPPRC_1121064_1,75/UPPCL/GM-7/E-TENDER/2025-26 Date-27.02.2026,Construction of approach Road from main road to Baffle shooting range and control/weapon repairing room at 10th Vahini PAC Barabanki District- Barabanki (U.P.),1.0,5971304.0,M/s Barati Verma,INR,"16,191,194.03",AOC
,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5971304,M/s Barati Verma,13-Mar-2026 11:53 PM,Accepted-AOC,Accepted,03-Jun-2026 09:01 PM,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,5970014,M/S PRISM CONSTRUCTIONS,14-Mar-2026 10:09 AM,Rejected-AOC,Accepted,03-Jun-2026 09:01 PM,,,,,,,,,,AOC
