Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.1,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.1,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,Tender Stage,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Instrument Type,Cover No,Cover,Document Type,Description,Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage
05-Jun-2026,"INR 1,041,041",90.0,Vinod Kumar Kardam,01-Jun-2026 01:04 PM,aoc.pdf (386.00 KB),"AWARD OF CONTRACT for Construction of CC Road and Side Drain work from Rinku house to Pratap house at Vill Shivpuri (Atri Vihar) Gali No. 3 Block Rampur Maniharan, District- Saharanpur",1,6143585,KARAM VIR SINGH CONTRACTOR,26-May-2026 01:52 PM,Accepted-AOC,Being L1,01-Jun-2026 01:04 PM,U.P. State Construction and Infrastructure Development Corporation Ltd.||Unit Saharanpur,2026_SCIDC_1148295_2,24/EE/SRE/E-TENDER/2026-27,"Under Vidhayak Nidhi Yojna (Shri Devendra Nim ji, MLA) Construction of CC Road and Side Drain work from Rinku house to Pratap house at Vill Shivpuri (Atri Vihar) Gali No. 3 Block Rampur Maniharan, District- Saharanpur",1.0,6143585.0,KARAM VIR SINGH CONTRACTOR,INR,"1,041,041",Finance,Finance Bid Evaluation Summary,Vinod Kumar Kardam,01-Jun-2026 12:58 PM,finance_2157155.pdf,BOQ Comparative Chart,Executive Engineer,Internal,"V.K. Kardam - E.E., M. Chandra - A.A.O.",Vinod Kumar Kardam,27-May-2026 07:40 PM,28-May-2026 10:00 AM,techsummary_2157155.pdf (324.16 KB),Technical,Technical Evaluation Summary,Vinod Kumar Kardam,27-May-2026 07:39 PM,technical_2157155.pdf,Executive Engineer,Internal,"V.K. Kardam - E.E., M. Chandra - A.A.O.",Vinod Kumar Kardam,01-Jun-2026 01:02 PM,finsummary_2157155.pdf (324.16 KB),AOC,"Under Vidhayak Nidhi Yojna (Shri Devendra Nim ji, MLA) Construction of CC Road and Side Drain work from Rinku house to Pratap house at Vill Shivpuri (Atri Vihar) Gali No. 3 Block Rampur Maniharan, District- Saharanpur","Under Vidhayak Nidhi Yojna (Shri Devendra Nim ji, MLA) Construction of CC Road and Side Drain work from Rinku house to Pratap house at Vill Shivpuri (Atri Vihar) Gali No. 3 Block Rampur Maniharan, District- Saharanpur",Please refer Tender documents. ,NA ,"10,42,292",Civil Works,NA ,Tender,90.0,NA ,District Saharanpur,247001.0,NA ,NA ,NA ,Executive Engineer office,No ,No,"21,000",No,fixed,,UPSCIDCO,SAHARANPUR,21-May-2026 06:00 PM,27-May-2026 11:00 AM,21-May-2026 06:00 PM,27-May-2026 10:00 AM,NA ,NA ,21-May-2026 06:00 PM,27-May-2026 10:00 AM,28-May-2026 10:00 AM,1.0,RTGS - RTGS Payment,1,Fee/PreQual/Technical,.pdf,Fee/PreQual/Technical,Executive Engineer,"Executive Engineer office - H.No.-36 Surya Nagar, Near State Bank Colony, Delhi Road Saharanpur","1,652",UPSCIDCO,SAHARANPUR,No,U.P. State Construction and Infrastructure Development Corporation Ltd.||Unit Saharanpur,24/EE/SRE/E-TENDER/2026-27,2026_SCIDC_1148295_2,Yes,Open Tender,Percentage,Works,2.0,No,No,Offline,No,No,No,AOC
,,,,,,,2,6143858,SATYA DEV CONSTRUCTION CO.,26-May-2026 03:15 PM,Rejected-Finance,Being L2,01-Jun-2026 01:02 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Finance,.xls,Finance,,,,,,,,,,,,,,,,,,,,,AOC
