Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Bank Name,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated on :,Document :.1,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,Tender Stage
"Kanpur Municipal Corporation, Kanpur, UP",778/A.A.3/25-26,2026_NNKAN_1136627_1,Yes,Open Tender,Fixed-rate,Works,1.0,No,No,Online,No,No,No,"1,180",Nil,Nil,No,13-Apr-2026 06:00 PM,17-Apr-2026 04:00 PM,13-Apr-2026 06:00 PM,17-Apr-2026 03:00 PM,NA ,NA ,13-Apr-2026 06:00 PM,17-Apr-2026 03:00 PM,C.E.3,Zone 3,"94,082",No,percentage,10.0%,Nil,Nil,1.0,Fee/PreQual/Technical/Finance,.pdf,pdf,Imp. Repairing and Colouring of Sulabh Shauchalay from Usmanpur Commercial in Ward 18 Zone 03,Imp. Repairing and Colouring of Sulabh Shauchalay from Usmanpur Commercial in Ward 18 Zone 03,Please refer Tender documents. ,NA ,"9,40,822",Civil Works,NA ,Tender,45.0,NA ,Imp. Repairing and Colouring of Sulabh Shauchalay,208040.0,NA ,NA ,NA ,C.E.3,No ,No,1.0,SBI Bank,AOC,C.E.,Internal,,RAM KUMAR TIWARI,27-Apr-2026 05:44 PM,techsummary_2122462.pdf (792.23 KB),C.E.,Internal,,RAM KUMAR TIWARI,27-Apr-2026 05:48 PM,finsummary_2122462.pdf (792.23 KB),Finance,Tender Open,RAM KUMAR TIWARI,17-Apr-2026 05:28 PM,finance_2122462.pdf,BOQ Comparative Chart,1.0,6053884.0,M/S S.S. INFRA,INR,"799,699","Kanpur Municipal Corporation, Kanpur, UP",2026_NNKAN_1136627_1,778/A.A.3/25-26,Imp. Repairing and Colouring of Sulabh Shauchalay from Usmanpur Commercial in Ward 18 Zone 03,1,6051827,M/S BALA JI CONSTRUCTIONS,16-Apr-2026 09:56 PM,Rejected-Finance,"Due to similar rate quote lottery is done. Bid is not selected in lottery. Hence, Not Accepted As per Second Lowest.",27-Apr-2026 05:48 PM,04-Jun-2026,"INR 799,699",45.0,RAJESH KUMAR,04-Jun-2026 05:40 PM,778.pdf (462.00 KB),Work order,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,xls,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,6053884,M/S S.S. INFRA,17-Apr-2026 01:10 PM,Accepted-AOC,L1,04-Jun-2026 05:40 PM,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,6052295,M/s Yuvraj construction company,16-Apr-2026 04:45 PM,Rejected-Finance,"Due to similar rate quote lottery is done. Bid is not selected in lottery. Hence, Not Accepted As per Second Lowest.",27-Apr-2026 05:48 PM,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,6053903,NAVYA CONSTRUCTION,17-Apr-2026 01:23 PM,Rejected-Finance,"Due to similar rate quote lottery is done. Bid is not selected in lottery. Hence, Not Accepted As per Second Lowest.",27-Apr-2026 05:48 PM,,,,,,,,AOC
