Type :,Summary :,Updated By :,Updated On :,Document :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,S.No,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage
Technical,UNDER EVALUATION,RAJESH NIM,27-Jan-2026 12:36 PM,,18-Jun-2026,"INR 12,538,401.85",1095.0,PRABHAT SHANKAR,18-Jun-2026 02:43 PM,55788.pdf (440.00 KB),AWARD LETTER,ACEO_SY,Internal,GM_FINANCE GM_PROJECT SM_TECHNICAL,PRABHAT SHANKAR,30-Mar-2026 07:07 PM,01-Apr-2026 11:00 AM,techsummary_2039809.pdf (117.61 KB),Greater Noida Industrial Development Authority,2026_GNIDA_1105163_10,SM/(E-TENDER CELL)/2026/694 DATED-08.01.2026,"Maintenance work of DSC road from Surajpur Entry point to Lohiya Nala for three years, Greater Noida.",1.0,5818741.0,M/S GOOD ENTERPRISES,23-Jan-2026 02:57 PM,Rejected-Finance,L2,06-Jun-2026 04:28 PM,1.0,5818723.0,M/S N.B. ENTERPRISES,INR,"12,538,401.85",ACEO_SY,Internal,GM_FINANCE GM_PROJECT SM_TECHNICAL,PRABHAT SHANKAR,06-Jun-2026 04:28 PM,finsummary_2039809.pdf (244.06 KB),Finance,UNDER EVALUATION,RAJESH NIM,01-Apr-2026 01:31 PM,,BOQ Comparative Chart,AOC,"2,450",Nil,Nil,No,12-Jan-2026 03:00 PM,27-Jan-2026 11:00 AM,12-Jan-2026 03:00 PM,23-Jan-2026 05:00 PM,NA ,NA ,12-Jan-2026 03:00 PM,23-Jan-2026 05:00 PM,01-Apr-2026 11:00 AM,1.0,Fee/PreQual/Technical,.pdf,"TENDER FEE, EMD, Rs.100/- NON JUDICIAL STAMP PAPER ALONGWITH Re.1/- REVENUE STAMP","2,53,000",No,fixed,,Nil,Nil,"Maintenance work of DSC road from Surajpur Entry point to Lohiya Nala for three years, Greater Noida.","Maintenance work of DSC road from Surajpur Entry point to Lohiya Nala for three years, Greater Noida.",REFER TENDER DOCUMENT ,NA ,"1,26,33,150",Civil Works,MAINTENANCE WORK ,Tender,90.0,1095.0,GREATER NOIDA,201310.0,NA ,NA ,NA ,GREATER NOIDA INDUSTRIAL DEVELOPMENT AUTHORITY,No ,No,SM_TENDER CELL,GNIDA OFFICE,1.0,SBI Bank,Greater Noida Industrial Development Authority,SM/(E-TENDER CELL)/2026/694 DATED-08.01.2026,2026_GNIDA_1105163_10,Yes,Open Tender,Fixed-rate,Works,2.0,No,No,Online,No,No,No,AOC
,,,,,,,,,,,,,,,,,,,,,,,2.0,5818723.0,M/S N.B. ENTERPRISES,23-Jan-2026 03:20 PM,Accepted-AOC,L1,18-Jun-2026 02:43 PM,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,.pdf,APPENDIX A TO E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,.pdf,"FINANCIAL STATEMENT,TURNOVER,GST,PAN,AADHAR,PROP./PRTN./LTD.CO.CERTIFICATE,AUTHORITY LETTER,ETC",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,.pdf,OTHER REQUISITES AS PER TENDER DOCUMENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,2.0,Finance,.xls,FINANCIAL BID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
