Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,S.No,Bank Name,Cover No,Cover,Document Type,Description,Tender Stage,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :.1,Financial Bid Opening Date:,Document :.1,Type :.1,Summary :.1,Updated By :.2,Updated On :.2,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :,Document :.3,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage
Improvement of side patri by RMC plant from Huddard school via Lal Imali chauraha to Parade chauraha in ward-42 zone-4.,Improvement of side patri by RMC plant from Huddard school via Lal Imali chauraha to Parade chauraha in ward-42 zone-4.,Please refer Tender documents. ,NA ,"73,31,000",Civil Works,NA ,Tender,90.0,120.0,ward-42 parmat,208001.0,NA ,NA ,NA ,"Executive Engineer Office, Motijheel, Kanpur",No ,No,"3,225",Nil,Nil,No,"5,66,550",No,fixed,,Nil,Nil,17-Jan-2026 05:15 PM,06-Jul-2026 05:17 PM,17-Jan-2026 05:15 PM,06-Feb-2026 03:00 PM,NA ,NA ,17-Jan-2026 05:15 PM,06-Feb-2026 03:00 PM,20-Mar-2026 03:00 PM,"Kanpur Municipal Corporation, Kanpur, UP",160_AA-4_25-26,2026_NNKAN_1107098_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,"Chief Engineer, KNN","Chief Engineer office, KNN, Motijheel",1.0,SBI Bank,1,Fee/PreQual/Technical,.pdf,T-2 Document,AOC,Finance,All bids submitted.,Nanak Chand,23-Mar-2026 11:55 AM,finance_2042817.pdf,BOQ Comparative Chart,"Mun. Commissioner, C.A.O.",Internal,"E.E., C.E., AMC",Nanak Chand,20-Mar-2026 12:41 PM,20-Mar-2026 03:00 PM,techsummary_2042817.pdf (266.80 KB),Technical,T-2 bid submitted,Nanak Chand,21-Feb-2026 02:19 PM,technical_2042817.pdf,"Jr. Engg., Exe. Engg.",Internal,"Jr. Engg., Exe. Engg.",MEENAKSHI AGARWAL,08-Jun-2026 06:02 PM,finsummary_2042817.pdf (399.55 KB),08-Jun-2026,"INR 7,276,017",120.0,MEENAKSHI AGARWAL,08-Jun-2026 06:07 PM,Huddard_school_lal_imali_AOC.pdf (330.00 KB),AOC issue,"Kanpur Municipal Corporation, Kanpur, UP",2026_NNKAN_1107098_1,160_AA-4_25-26,Improvement of side patri by RMC plant from Huddard school via Lal Imali chauraha to Parade chauraha in ward-42 zone-4.,1.0,5843520.0,SHRI RAM INFRASTRUCTURE,INR,"7,276,017",1,5845929,M/S R.R. ENTERPRISES,05-Feb-2026 11:26 PM,Rejected-Finance,L2 Bidder,08-Jun-2026 06:02 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Finance,.xls,BOQ,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5843520,SHRI RAM INFRASTRUCTURE,06-Feb-2026 10:17 AM,Accepted-AOC,AOC issue,08-Jun-2026 06:07 PM,AOC
