Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.3,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,Tender Stage
Director Cum Chief Engineer RED||CHIEF ENGINEER WEST||SE JHANSI CIRCLE||EE JALAUN,41/EE/RED/2025-26,2026_REDUP_1129282_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,766.0,Nil,Nil,No,1.0,SBI Bank,"21,000",No,fixed,,Nil,Nil,Construction work of 150 m CC road and drain from Sukhveer Prajapati house to Rahul Prajapati house in Majra Sherpura of Gram Panchayat Malkapura of Development Block Jalaun,Construction work of 150 m CC road and drain from Sukhveer Prajapati house to Rahul Prajapati house in Majra Sherpura of Gram Panchayat Malkapura of Development Block Jalaun,Please refer Tender documents. ,NA ,"10,19,000",Civil Works - Roads,NA ,Rate Contract,90.0,90.0,JALAUN,284001.0,NA ,NA ,NA ,EXECUTIVE ENGINEER RURAL ENGINEERING DEPARTMENT,No ,No,EXECUTIVE ENGINEER RURAL ENGINEERING DEPARTMENT,EXECUTIVE ENGINEER RURAL ENGINEERING DEPARTMENT,1,Fee/PreQual/Technical,.pdf,A.D,23-Mar-2026 06:00 PM,30-Mar-2026 12:30 PM,23-Mar-2026 06:00 PM,30-Mar-2026 12:00 PM,NA ,NA ,23-Mar-2026 06:00 PM,30-Mar-2026 12:00 PM,04-Apr-2026 12:00 PM,AOC,sheelendra singh,Internal,sharad srivastava anup kumar mishra,Sheelendra Singh,23-Jun-2026 01:36 PM,finsummary_2106536.pdf (412.26 KB),Technical,technical cover to be opened,SHARAD SRIVASTAVA,01-Apr-2026 03:41 PM,technical_2106536.pdf,sheelendra singh,Internal,sharad srivastava anup kumar mishra,SHARAD SRIVASTAVA,02-Apr-2026 01:47 PM,04-Apr-2026 12:00 PM,techsummary_2106536.pdf (1890.20 KB),Finance,financial cover to be opened,SHARAD SRIVASTAVA,09-Apr-2026 05:45 PM,finance_2106536.pdf,BOQ Comparative Chart,1.0,6003512.0,RAM JI DOHLIYA CONTRACTOR & SUPPLIERS,INR,"1,017,298.05",Director Cum Chief Engineer RED||CHIEF ENGINEER WEST||SE JHANSI CIRCLE||EE JALAUN,2026_REDUP_1129282_1,41/EE/RED/2025-26,Construction work of 150 m CC road and drain from Sukhveer Prajapati house to Rahul Prajapati house in Majra Sherpura of Gram Panchayat Malkapura of Development Block Jalaun,1,6003562,MAA PITAMBRA ASSOCIATE,25-Mar-2026 09:47 AM,Rejected-Finance,2nd,23-Jun-2026 01:36 PM,23-Jun-2026,"INR 1,017,298.05",90.0,Sheelendra Singh,23-Jun-2026 01:46 PM,052.pdf (412.00 KB),bond photo uplode,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Finance,.xls,BOQ,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,6003512,RAM JI DOHLIYA CONTRACTOR & SUPPLIERS,24-Mar-2026 08:50 PM,Accepted-AOC,accepted,23-Jun-2026 01:46 PM,,,,,,,,AOC
