Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,AOC Description :,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.1,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.2,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Tender Stage,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Stage
E.E. Vishal Porwal,Internal,,VISHAL PORWAL,29-Apr-2026 09:18 PM,05-May-2026 11:00 AM,techsummary_2124905.pdf (251.53 KB),27-May-2026,"INR 1,534,150",75.0,VISHAL PORWAL,09-Jun-2026 04:40 PM,138.pdf (868.00 KB),Date of start,Technical,04 Technical bid found in 04 accepted,VISHAL PORWAL,29-Apr-2026 09:15 PM,technical_2124905.pdf,Finance,04 Financial bid found in 01 accepted and 03 rejected,VISHAL PORWAL,18-May-2026 10:48 AM,finance_2124905.pdf,BOQ Comparative Chart,E.E. Vishal Porwal,Internal,,VISHAL PORWAL,18-May-2026 10:53 AM,finsummary_2124905.pdf (278.61 KB),1.0,6065885.0,M/S MADHURI CONSTRUCTION,INR,"1,534,150",1,6064898,KISHOR TRADERS,23-Apr-2026 06:07 PM,Rejected-Finance,Financlal Bid Rejected Due to Lowest Rate,18-May-2026 10:53 AM,"U P Irrigation Department (Civil)||Chief Engineer-Sharda, Lucknow||Irrigation Works Circle, Sitapur||SDSC, sitapur",2026_UPIDC_1137713_33,01/EE/2026-27,Auction of Silt/Sand Placed at left and right bank of Badagaon Dy from km. 0.000 to 13.000 (Lot-33),AOC,EXECTUIVE ENGINEER,EXECTUIVE ENGINEER SITAPUR DIVISION SHARDA CANAL SITAPUR,Auction of Silt/Sand Placed at left and right bank of Badagaon Dy from km. 0.000 to 13.000 (Lot-33),Auction of Silt/Sand Placed at left and right bank of Badagaon Dy from km. 0.000 to 13.000 (Lot-33),Please refer Tender documents. ,NA ,"4,27,000",Civil Works - Canal,NA ,Rate Contract,90.0,75.0,Sitapur,261001.0,NA ,NA ,NA ,SITAPUR DIVISION SHARDA CANAL SITAPUR,No ,No,1.0,Fee/PreQual/Technical,.pdf,Tender Document,"U P Irrigation Department (Civil)||Chief Engineer-Sharda, Lucknow||Irrigation Works Circle, Sitapur||SDSC, sitapur",01/EE/2026-27,2026_UPIDC_1137713_33,Yes,Auction,Item Rate,Works,2.0,No,No,Online,No,No,No,"1,06,750",No,fixed,,Nil,Nil,0.0,Nil,Nil,No,1.0,SBI Bank,17-Apr-2026 09:00 AM,24-Apr-2026 01:00 PM,17-Apr-2026 09:00 AM,24-Apr-2026 12:00 PM,NA ,NA ,17-Apr-2026 09:00 AM,24-Apr-2026 12:00 PM,05-May-2026 11:00 AM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,6065885,M/S MADHURI CONSTRUCTION,24-Apr-2026 11:03 AM,Accepted-AOC,Date of start,09-Jun-2026 04:41 PM,,,,,AOC,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,6065717,Om PRakash Verma,24-Apr-2026 09:25 AM,Rejected-Finance,Financlal Bid Rejected Due to Lowest Rate,18-May-2026 10:53 AM,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,6055659,Sohi Construction,24-Apr-2026 10:41 AM,Rejected-Finance,Financlal Bid Rejected Due to Lowest Rate,18-May-2026 10:53 AM,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
