Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :,Financial Bid Opening Date:,Document :,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,Tender Stage,Cover No,Cover,Document Type,Description,Name,Address,S.No,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage
Directorate of Local Bodies UP||Aligarh Municipal Corporation,2026_DOLBU_1128327_3,6840(FOUNDATION)/NNA/2025-26,NIRMAN WORK,1.0,6135741.0,LORD SHIVA SHIV CONSTRUCTION,INR,"8,489,660.34",1.0,6135741.0,LORD SHIVA SHIV CONSTRUCTION,23-May-2026 09:45 AM,Accepted-AOC,ok,18-Jun-2026 07:32 PM,18-Jun-2026,"INR 8,489,660.34",30.0,Rajvir Singh,18-Jun-2026 07:32 PM,digital.pdf (759.00 KB),ok,ce,Internal,ee,Rajesh Kumar,26-May-2026 03:50 PM,26-May-2026 04:00 PM,techsummary_2152976.pdf (290.90 KB),Finance,ok,Rajvir Singh,18-Jun-2026 07:28 PM,,BOQ Comparative Chart,ce,Internal,ee,Rajvir Singh,18-Jun-2026 07:30 PM,finsummary_2152976.pdf (759.17 KB),Technical,all documents complete,Rajesh Kumar,26-May-2026 03:48 PM,technical_2152976.pdf,AOC,1,Fee/PreQual/Technical,.pdf,Fee/PreQual/Technical,EE,NAGAR NIGAM ALIGARH,1.0,SBI Bank,NIRMAN WORK,NIRMAN WORK,Please refer Tender documents. ,NA ,"84,91,000",Civil Works,NA ,Tender,90.0,30.0,ALIGARH,202001.0,NA ,NA ,NA ,NAGAR NIGAM ALIGARH,No ,No,"8,49,000",No,fixed,,Nil,Nil,18-May-2026 12:00 PM,23-May-2026 06:00 PM,18-May-2026 12:00 PM,23-May-2026 05:00 PM,NA ,NA ,18-May-2026 12:00 PM,23-May-2026 05:00 PM,26-May-2026 04:00 PM,Directorate of Local Bodies UP||Aligarh Municipal Corporation,6840(FOUNDATION)/NNA/2025-26,2026_DOLBU_1128327_3,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,"10,030",Nil,Nil,No,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,2,Finance,.xls,Finance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
