Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,AOC Description :,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Corrigendum Title,Corrigendum Type,View,Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No.1,Bank Name,Tender Stage
Dinesh Mohan,Internal,VISHWANATH SHUKLA,Dinesh Mohan,11-Mar-2026 07:28 PM,12-Mar-2026 05:00 PM,techsummary_2071546.pdf (211.20 KB),08-Jun-2026,"INR 510,552",20.0,Dinesh Mohan,08-Jun-2026 06:11 PM,27.pdf (114.00 KB),AOC,Technical,AS PER UPLOAD,Dinesh Mohan,11-Mar-2026 04:44 PM,,Dinesh Mohan,Internal,Vishwanath Shukla,Dinesh Mohan,28-Mar-2026 09:51 PM,finsummary_2071546.pdf (34.58 KB),Finance,AS PER UPLOAD,Dinesh Mohan,26-Mar-2026 08:13 PM,,BOQ Comparative Chart,1.0,5925057.0,GARIMA INFRASTRUCTURE,INR,"510,552","U P Irrigation Department (Civil)||Chief Engineer-Saryu Project-2, Gonda||Irrigation Construction Circle, Basti||SCD-4, basti",2026_UPIDC_1115970_27,07/EE/2025-26,Clearance of Baida Drain-1 from KM 0.000 to KM 8.020 in District Basti,1,5928455,ASHA TRADERS,25-Feb-2026 11:10 AM,Rejected-Finance,AS PER UPLOAD,28-Mar-2026 09:51 PM,AOC,16-Feb-2026 10:00 AM,25-Feb-2026 12:30 PM,16-Feb-2026 10:00 AM,25-Feb-2026 12:00 PM,NA ,NA ,16-Feb-2026 10:00 AM,25-Feb-2026 12:00 PM,12-Mar-2026 05:00 PM,1.0,Fee/PreQual/Technical,.pdf,AS PER UPLOAD,Clearance of Baida Drain-1 from KM 0.000 to KM 8.020 in District Basti,Clearance of Baida Drain-1 from KM 0.000 to KM 8.020 in District Basti,Please refer Tender documents. ,NA ,"14,04,000",Civil Works,NA ,Rate Contract,90.0,20.0,BASTI,272001.0,NA ,NA ,NA ,"Executive Engineer Saryu Nahar Khand-4,Basti (U.",No ,No,"28,000",No,fixed,,Nil,Nil,"U P Irrigation Department (Civil)||Chief Engineer-Saryu Project-2, Gonda||Irrigation Construction Circle, Basti||SCD-4, basti",07/EE/2025-26,2026_UPIDC_1115970_27,Yes,Open Tender,Item Wise,Works,2.0,No,No,Online,No,No,No,1.0,Corrigendum,Date,,"Executive Engineer Saryu Nahar Khand-4,Basti (U.","Executive Engineer Saryu Nahar Khand-4,Basti (U.",795.0,Nil,Nil,No,1.0,SBI Bank,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5903664,devendra kumar pandey,23-Feb-2026 12:19 PM,Rejected-Finance,AS PER UPLOAD,28-Mar-2026 09:51 PM,AOC,,,,,,,,,,2.0,Finance,.xls,AS PER UPLOAD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,5925057,GARIMA INFRASTRUCTURE,25-Feb-2026 10:57 AM,Accepted-AOC,AS PER UPLOAD,08-Jun-2026 06:12 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,5903107,Mohammad Abdulla,21-Feb-2026 11:24 AM,Rejected-Finance,AS PER UPLOAD,28-Mar-2026 09:51 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5924712,M/S ATULIKA SINGH ENTERPRISES,25-Feb-2026 09:06 AM,Rejected-Finance,AS PER UPLOAD,28-Mar-2026 09:51 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,5903684,M/S DEO CONSTRUCTION,20-Feb-2026 09:13 PM,Rejected-Finance,AS PER UPLOAD,28-Mar-2026 09:51 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,5925462,M/S JAI CONSTRUCTION,24-Feb-2026 06:30 PM,Rejected-Finance,AS PER UPLOAD,28-Mar-2026 09:51 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,5925874,M/S OM SAI TRADERS,25-Feb-2026 11:58 AM,Rejected-Finance,AS PER UPLOAD,28-Mar-2026 09:51 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,5902479,M/S UMA SHANKAR YADAV,24-Feb-2026 09:09 PM,Rejected-Finance,AS PER UPLOAD,28-Mar-2026 09:51 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,5901581,OM JI SINGH CONTRACTOR,24-Feb-2026 02:19 AM,Rejected-Finance,AS PER UPLOAD,28-Mar-2026 09:51 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
