Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Type :,Summary :,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :,Document :.2,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.3,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,Tender Stage
Hemant Saxena,Executive Engineer Rural Engineering Department Vikas Bhawan Lakhimpur Kheri,944.0,Nil,Nil,No,Director Cum Chief Engineer RED||CHIEF ENGINEER EAST||SE LUCKNOW CIRCLE||EE KHERI,09_07/TAV/KHERI/2026-27,2026_REDUP_1138712_1,Yes,Open Tender,Fixed-rate,Works,2.0,No,No,Online,No,No,No,"73,000",No,fixed,,Nil,Nil,1,Fee/PreQual/Technical,.pdf,Technical PDF,"Interlocking construction work from house of Suresh Tiwari to house of Ganmojan and from house of Chumman Singh to house of Bhagwan Singh in the village council of Ramnagar Bagha, Block Ramiyabehard, 520 mtr.","Interlocking construction work from house of Suresh Tiwari to house of Ganmojan and from house of Chumman Singh to house of Bhagwan Singh in the village council of Ramnagar Bagha, Block Ramiyabehard, 520 mtr.",Please Refer Tender Document ,NA ,"36,41,000",Civil Works,NA ,Tender,90.0,120.0,Lakhimpur Kheri,262701.0,NA ,NA ,NA ,RED Lakhimpur Kheri,No ,No,1.0,SBI Bank,22-Apr-2026 12:00 PM,11-May-2026 12:30 PM,22-Apr-2026 12:00 PM,11-May-2026 12:00 PM,NA ,NA ,22-Apr-2026 12:00 PM,11-May-2026 12:00 PM,18-May-2026 12:00 PM,AOC,Hemant Saxena,Internal,,Rajendra Nath Chaturvedi,13-May-2026 04:23 PM,18-May-2026 12:00 PM,techsummary_2126032.pdf (243.29 KB),Finance,Recommended for Financial Evaluation,Hemant Saxena,18-May-2026 01:26 PM,finance_2126032.pdf,BOQ Comparative Chart,Hemant Saxena,Internal,,Rajendra Nath Chaturvedi,22-Jul-2026 04:28 PM,finsummary_2126032.pdf (342.19 KB),Technical,Recommended for Technical Evaluation,Rajendra Nath Chaturvedi,11-May-2026 03:35 PM,technical_2126032.pdf,1,6105534,AMARISH KUMAR VERMA,11-May-2026 11:43 AM,Accepted-AOC,Accepted,10-Jun-2026 03:58 PM,1.0,6105534.0,AMARISH KUMAR VERMA,INR,"3,619,105",Director Cum Chief Engineer RED||CHIEF ENGINEER EAST||SE LUCKNOW CIRCLE||EE KHERI,2026_REDUP_1138712_1,09_07/TAV/KHERI/2026-27,"Interlocking construction work from house of Suresh Tiwari to house of Ganmojan and from house of Chumman Singh to house of Bhagwan Singh in the village council of Ramnagar Bagha, Block Ramiyabehard, 520 mtr.",04-Jun-2026,"INR 3,619,105",120.0,Rajendra Nath Chaturvedi,10-Jun-2026 03:58 PM,AOC_09_07.pdf (422.00 KB),AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,2,Finance,.xls,Bill Of Quantity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,2,6105284,M/S Jai Singh Verma,11-May-2026 11:01 AM,Rejected-Finance,2nd Lowest Bidder,19-May-2026 07:32 AM,,,,,,,,,,,,,,,,AOC
