Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Type :,Summary :,Updated By :.2,Updated On :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Instrument Type,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Stage
U.P. State Construction and Infrastructure Development Corporation Ltd.||Unit Bareilly,2026_SCIDC_1154812_1,182-7/E.E. BLY/E-Tender/BLY/2026-27 Dt. 27.05.2026,Construction of C.C. Road and Drain Work at Vill. Alampur in Kamal Upadhya House to Holi Chauk (Vidhayak Nidhi),1.0,6163522.0,Dhriti Enterprizes,INR,"555,330.2",1,6163522,Dhriti Enterprizes,03-Jun-2026 03:31 AM,Accepted-AOC,Ist Lowest Rate,16-Jun-2026 11:16 AM,10-Jun-2026,"INR 555,330.2",60.0,Bhaskar Mishra,16-Jun-2026 11:16 AM,LOI7.pdf (782.00 KB),Total Contract Value Rs. 555330.20,Charan Singh Arya,Internal,"Charan Singh Arya, Bhaskar Mishra",Charan Singh Arya,10-Jun-2026 04:14 PM,finsummary_2163246.pdf (756.23 KB),Technical,Technical Bid Opening Summary,Charan Singh Arya,08-Jun-2026 05:15 PM,technical_2163246.pdf,Charan Singh Arya,Internal,"Charan Singh Arya, Bhaskar Mishra",Charan Singh Arya,09-Jun-2026 10:36 AM,09-Jun-2026 11:00 AM,techsummary_2163246.pdf (281.79 KB),Finance,Financial Bid Opening Summary,Charan Singh Arya,10-Jun-2026 02:45 PM,finance_2163246.pdf,BOQ Comparative Chart,AOC,1,Fee/PreQual/Technical,.pdf,"Tender Notice, Fee EMD and BOQ",U.P. State Construction and Infrastructure Development Corporation Ltd.||Unit Bareilly,182-7/E.E. BLY/E-Tender/BLY/2026-27 Dt. 27.05.2026,2026_SCIDC_1154812_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,Executive Engineer Officer,"UPSCIDCO. 154, Tilhar House, Gali in front of S.S.P. Office, Civil Lines, Bareilly","1,062",EE UPSCIDCO,BAREILLY,No,1.0,RTGS - RTGS Payment,Construction of C.C. Road and Drain Work at Vill. Alampur in Kamal Upadhya House to Holi Chauk (Vidhayak Nidhi),Construction of C.C. Road and Drain Work at Vill. Alampur in Kamal Upadhya House to Holi Chauk (Vidhayak Nidhi),Construction of C.C. Road and Drain Work at Vill. Alampur in Kamal Upadhya House to Holi Chauk (Vidhayak Nidhi) ,NA ,"5,55,608",Civil Works - Roads,Const. of CC Road and Drain Work at Vill. Alampur ,Tender,90.0,60.0,Bareilly,243001.0,NA ,NA ,NA ,"UPSCIDCO. 154, Tilhar House, Civil Lines, Bareilly",No ,No,"11,200",No,fixed,,EE UPSCIDCO,BAREILLY,27-May-2026 06:55 PM,03-Jun-2026 02:00 PM,27-May-2026 06:55 PM,03-Jun-2026 01:00 PM,NA ,NA ,27-May-2026 06:55 PM,03-Jun-2026 01:00 PM,09-Jun-2026 11:00 AM,AOC
,,,,,,,,,2,6163570,Syed Construction,03-Jun-2026 05:08 AM,Rejected-AOC,IInd Lowest Rate,16-Jun-2026 11:16 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,2,Finance,.xls,Financial Bid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
