S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Tender Stage,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :.1,Financial Bid Opening Date:,Document :.1,Type :.1,Summary :.1,Updated By :.2,Updated On :.2,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :,Document :.3,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage
1.0,SBI Bank,"1,23,000",No,fixed,,Nil,Nil,25-May-2026 10:00 AM,02-Jun-2026 03:00 PM,25-May-2026 10:00 AM,02-Jun-2026 02:00 PM,NA ,NA ,25-May-2026 10:00 AM,02-Jun-2026 02:00 PM,04-Jun-2026 12:30 PM,Internal cleaning work of Mohammadpur Mardan drain from Km 0.000 to Km 6.858,Internal cleaning work of Mohammadpur Mardan drain from Km 0.000 to Km 6.858,Please refer Tender documents. ,NA ,,Civil Works - Canal,NA ,Tender,90.0,NA ,SHAMLI,247776.0,NA ,NA ,NA ,EE LOWER DIVISION YAMUNA CANAL OFFICE SHAMLI.,No ,No,1.0,Fee/PreQual/Technical,.pdf,Technical Docoments,944.0,Nil,Nil,No,U P Irrigation Department (Civil)||Chief Engineer ( Yamuna) Okhla||S E Irrigation works Circle Saharanpur||E E L D E Yamuna Canal Prabudhnagar(Muzaffarnagar),C-17/03/EE/2026-27 DT 13.05.2026,2026_UPIDC_1153055_3,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,EE LOWER DIVISION YAMUNA CANAL SHAMLI,EE LOWER DIVISION YAMUNA CANAL OFFICE SHAMLI.,AOC,Finance,FINC,vivek varshney,08-Jun-2026 02:46 PM,,BOQ Comparative Chart,parveen josia,Internal,VIVEK VARSHNEY,vivek varshney,04-Jun-2026 12:26 PM,04-Jun-2026 12:30 PM,techsummary_2160071.pdf (295.94 KB),Technical,tech,vivek varshney,04-Jun-2026 12:08 PM,,VIVEK VARSHNEY,Internal,PARVEEN JOSIA,vivek varshney,08-Jun-2026 02:53 PM,finsummary_2160071.pdf (208.18 KB),08-Jun-2026,"INR 807,640.21",6.0,vivek varshney,08-Jun-2026 02:56 PM,MM1.pdf (208.00 KB),AOC,1,6157783,M/S SURENDRA KUMAR KAUSHIK,02-Jun-2026 08:08 AM,Rejected-Technical,R,04-Jun-2026 12:26 PM,U P Irrigation Department (Civil)||Chief Engineer ( Yamuna) Okhla||S E Irrigation works Circle Saharanpur||E E L D E Yamuna Canal Prabudhnagar(Muzaffarnagar),2026_UPIDC_1153055_3,C-17/03/EE/2026-27 DT 13.05.2026,Internal cleaning work of Mohammadpur Mardan drain from Km 0.000 to Km 6.858,1.0,6161617.0,SUDHIR KUMAR CONTRACTOR,INR,"807,640.21",AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,Financial,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,6160412,rajbir singh contractor,01-Jun-2026 09:20 PM,Rejected-Technical,R,04-Jun-2026 12:26 PM,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,6161617,SUDHIR KUMAR CONTRACTOR,02-Jun-2026 12:17 PM,Accepted-AOC,L1,08-Jun-2026 02:56 PM,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,6156956,SWASTIK DEVELOPERS,31-May-2026 07:12 PM,Rejected-Technical,R,04-Jun-2026 12:26 PM,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,6161747,VIKUL KUMAR,02-Jun-2026 12:01 PM,Rejected-AOC,L2,08-Jun-2026 02:56 PM,,,,,,,,,,AOC
