Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Cover No,Cover,Document Type,Description,S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Stage,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :.1,Financial Bid Opening Date:,Document :.1,Type :.1,Summary :.1,Updated By :.2,Updated On :.2,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :,Document :.3,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage
Director Cum Chief Engineer RED||CHIEF ENGINEER EAST||SE KANPUR CIRCLE||EE KANNAUJ,911/RED/ETender/2025-26 Dt 11.03.2026,2026_REDUP_1134635_5,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,860.0,Nil,Nil,No,Executive Engineer R.E.D. Kannauj,Office Executive Engineer R.E.D. S-6 IInd Floor Vikas Bhawan Kannauj,1,Fee/PreQual/Technical,.pdf,Technical,1.0,SBI Bank,"26,000",No,fixed,,Nil,Nil,Construction of C.C. Road from Sri Ravindra Jatav house to Sri Brajesh Katheriya house at gram Panchayat Trimukha Umarda,Construction of C.C. Road from Sri Ravindra Jatav house to Sri Brajesh Katheriya house at gram Panchayat Trimukha Umarda,Please refer Tender documents. ,NA ,"12,51,000",Civil Works,NA ,Tender,90.0,90.0,Vikas Bhawan Kannauj,209727.0,NA ,NA ,NA ,Office Vikas Bhawan Kannauj,No ,No,09-Apr-2026 12:45 PM,18-Apr-2026 02:00 PM,09-Apr-2026 12:50 PM,17-Apr-2026 12:00 PM,NA ,NA ,09-Apr-2026 12:55 PM,17-Apr-2026 12:00 PM,13-May-2026 04:00 PM,AOC,Finance,summary,Alok Kumar Srivastava,29-May-2026 04:26 PM,,BOQ Comparative Chart,Sri Alok Kumar Srivastava E.E.,Internal,1- Sri Abhishek Kumar A.E. 2- Sri Ankur Kumar DAO,Alok Kumar Srivastava,12-May-2026 07:16 PM,13-May-2026 04:00 PM,techsummary_2118904.pdf (347.14 KB),Technical,summary,Alok Kumar Srivastava,12-May-2026 07:12 PM,technical_2118904.pdf,Sri Alok Kumar Srivastava E.E.,Internal,1. Sri Abhishek Kumar A.E. 2- Sri Ankur Kumar DAO,Alok Kumar Srivastava,29-May-2026 04:34 PM,finsummary_2118904.pdf (347.14 KB),01-Jun-2026,"INR 1,057,718",90.0,Alok Kumar Srivastava,01-Jun-2026 01:40 PM,Trimukha.pdf (825.00 KB),Director Cum Chief Engineer RED||CHIEF ENGINEER EAST||SE KANPUR CIRCLE||EE KANNAUJ,2026_REDUP_1134635_5,911/RED/ETender/2025-26 Dt 11.03.2026,Construction of C.C. Road from Sri Ravindra Jatav house to Sri Brajesh Katheriya house at gram Panchayat Trimukha Umarda,1.0,6053296.0,RAV INFRA,INR,"1,057,718",1,6053365,M/S RIZWANA KHATOON CONTRACTOR,17-Apr-2026 09:53 AM,Rejected-Finance,High Rate Bid Rejected,29-May-2026 04:34 PM,AOC
,,,,,,,,,,,,,,,,,,,,2,Finance,.xls,Financial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,6053296,RAV INFRA,17-Apr-2026 10:34 AM,Accepted-AOC,Low rate bid accepted,01-Jun-2026 01:40 PM,AOC
