Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Bank Name,S.No.1,Corrigendum Title,Corrigendum Type,View,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.2,Updated On :.1,Document :.2,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage
1,Fee/PreQual/Technical,.pdf,EMD fees and Technical Document,"1,164",Nil,Nil,No,Vikas Khand Barahani antargat Gram Sabha Tenduhan me mukhya nahar se Mahendra Rajbhar ke ghar hote hue Gram Dudhari tak marg ka nav nirman karya.,Vikas Khand Barahani antargat Gram Sabha Tenduhan me mukhya nahar se Mahendra Rajbhar ke ghar hote hue Gram Dudhari tak marg ka nav nirman karya.,Please refer Tender documents. ,NA ,"30,97,000",Civil Works - Roads,NA ,Tender,90.0,90.0,Barahani,232104.0,NA ,NA ,NA ,EE RED Chandauli,No ,No,Director Cum Chief Engineer RED||CHIEF ENGINEER EAST||SE VARANASI CIRCLE||EE CHANDAULI,21/RED/Chandauli/26-27 Date-04-04-2026,2026_REDUP_1138505_50,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,1.0,SBI Bank,1.0,Date Extended,Date,,EE RED Chandauli,EE RED Chandauli,22-Apr-2026 09:00 AM,05-May-2026 12:30 PM,22-Apr-2026 09:00 AM,05-May-2026 12:00 PM,NA ,NA ,22-Apr-2026 09:00 AM,05-May-2026 12:00 PM,13-May-2026 11:00 AM,"61,900",No,fixed,,Nil,Nil,AOC,1,6084969,M/S SHRI GOPAL ENTERPRISES,03-May-2026 04:37 PM,Accepted-AOC,1st Lowest,05-Jun-2026 06:17 PM,Director Cum Chief Engineer RED||CHIEF ENGINEER EAST||SE VARANASI CIRCLE||EE CHANDAULI,2026_REDUP_1138505_50,21/RED/Chandauli/26-27 Date-04-04-2026,Vikas Khand Barahani antargat Gram Sabha Tenduhan me mukhya nahar se Mahendra Rajbhar ke ghar hote hue Gram Dudhari tak marg ka nav nirman karya.,Finance,Bids received,Aniruddh Kumar Yadav,13-May-2026 03:22 PM,,BOQ Comparative Chart,EE RED Chandauli,Internal,1 AE RED Chandauli 2 DAO RED Chandauli,Aniruddh Kumar Yadav,20-May-2026 07:02 PM,finsummary_2129054.pdf (858.17 KB),1.0,6084969.0,M/S SHRI GOPAL ENTERPRISES,INR,"3,087,366",Technical,Bids received,Aniruddh Kumar Yadav,06-May-2026 06:08 PM,,30-Jun-2026,"INR 3,087,366",90.0,Aniruddh Kumar Yadav,05-Jun-2026 06:16 PM,Tenduhan.pdf (249.00 KB),EE RED Chandauli,Internal,1 AE RED Chandauli 2 DAO RED Chandauli,Aniruddh Kumar Yadav,06-May-2026 06:11 PM,13-May-2026 11:00 AM,techsummary_2129054.pdf (911.02 KB),AOC
2,Finance,.xls,Financial Document,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,2,6086121,SAHIL ENTERPRISES,03-May-2026 11:30 PM,Rejected-Finance,2nd bidder,20-May-2026 07:02 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
