S.No,Bank Name,Cover No,Cover,Document Type,Description,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :.1,Financial Bid Opening Date:,Document :.1,Type :.1,Summary :.1,Updated By :.2,Updated On :.2,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :,Document :.3,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage
1.0,SBI Bank,1,Fee/PreQual/Technical,.pdf,T1,SE RED Meerut,SE RED Meerut,06-May-2026 03:00 PM,13-May-2026 12:30 PM,06-May-2026 03:00 PM,12-May-2026 04:00 PM,NA ,NA ,06-May-2026 03:00 PM,12-May-2026 04:00 PM,22-May-2026 12:00 PM,"2,714",Nil,Nil,No,"82,000",No,fixed,,Nil,Nil,Construction of CC road from Prakash house via Sushil Goswami and Mahesh Gupta house to Dharmendra Tyagi house in Chhapraula village.,Construction of CC road from Prakash house via Sushil Goswami and Mahesh Gupta house to Dharmendra Tyagi house in Chhapraula village.,Civil Work  ,NA ,"40,96,000",Civil Works,NA ,Tender,90.0,180.0,EE RED GBN,201306.0,SE RED Meerut  ,SE RED Meerut  ,07-May-2026 11:00 AM ,SE RED Meerut,No ,No,Director Cum Chief Engineer RED||CHIEF ENGINEER WEST||SE MEERUT CIRCLE||EE GAUTAM BHDDH NAGAR,11/SE/RED/MRT/Dt-02.04.2026,2026_REDUP_1145861_4,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,AOC,Finance,Summary,ShashiBhushan Yadav,22-May-2026 01:37 PM,finance_2142377.pdf,BOQ Comparative Chart,se red meerut,Internal,,ShashiBhushan Yadav,18-May-2026 02:07 PM,22-May-2026 12:00 PM,techsummary_2142377.pdf (241.49 KB),Technical,summary,ShashiBhushan Yadav,18-May-2026 02:02 PM,,VINOD KUMAR,Internal,,ShashiBhushan Yadav,22-May-2026 05:20 PM,finsummary_2142377.pdf (209.05 KB),01-Jun-2026,"INR 4,087,049.03",180.0,ShashiBhushan Yadav,05-Jun-2026 06:08 PM,Chhaprla.pdf (375.00 KB),Director Cum Chief Engineer RED||CHIEF ENGINEER WEST||SE MEERUT CIRCLE||EE GAUTAM BHDDH NAGAR,2026_REDUP_1145861_4,11/SE/RED/MRT/Dt-02.04.2026,Construction of CC road from Prakash house via Sushil Goswami and Mahesh Gupta house to Dharmendra Tyagi house in Chhapraula village.,1.0,6107211.0,YASHIKA CONSTRUCTION CO.,INR,"4,087,049.03",1,6107390,KESHAV ENTERPRISES,12-May-2026 09:02 AM,Rejected-Finance,L2,22-May-2026 05:20 PM,AOC
,,2,Finance,.xls,boq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,6107211,YASHIKA CONSTRUCTION CO.,12-May-2026 09:24 AM,Accepted-AOC,L1,05-Jun-2026 06:08 PM,AOC
