Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.1,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Tender Stage,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Bank Name,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage
CE,Internal,,narendra kumar chaudhary,23-May-2026 01:00 PM,23-May-2026 03:00 PM,techsummary_2121902.pdf (598.82 KB),30-Jun-2026,"INR 157,199",60.0,Kuldeep Kumar Tamar,30-Jun-2026 04:34 PM,29116.pdf (436.00 KB),Technical,Technical,Kuldeep Kumar Tamar,30-Apr-2026 05:51 PM,,1.0,6066087.0,VASHNO MANAGEMENT SERVICES PRIVATE LIMITED,INR,"157,199",ce,Internal,,Kuldeep Kumar Tamar,30-Jun-2026 04:31 PM,finsummary_2121902.pdf (435.94 KB),Finance,Finance,Rajendra Singh,25-May-2026 12:15 PM,,BOQ Comparative Chart,1,6063043,M/S BHARAT INFRA HUF,22-Apr-2026 03:42 PM,Rejected-Finance,L2,30-Jun-2026 04:31 PM,Directorate of Local Bodies UP||Ghaziabad Municipal Corporation,2026_DOLBU_1136236_29,116/Nirman/2026-27 Date 04.04.2026,"Repair and painting work of Community Service Centre located under RDC flyover, Ward-08.",AOC,"Repair and painting work of Community Service Centre located under RDC flyover, Ward-08.","Repair and painting work of Community Service Centre located under RDC flyover, Ward-08.",Please refer Tender documents. ,NA ,"1,84,941",Civil Works,NA ,Tender,90.0,NA ,Ghaziabad,201001.0,NA ,NA ,NA ,Ghaziabad Nagar Nigam,No ,No,1.0,SBI Bank,"1,416",Nil,Nil,No,"5,548",No,percentage,3.0%,Nil,Nil,CE,Ghaziabad Nagar Nigam,13-Apr-2026 03:00 PM,30-Apr-2026 03:30 PM,13-Apr-2026 03:00 PM,30-Apr-2026 03:00 PM,NA ,NA ,13-Apr-2026 03:00 PM,30-Apr-2026 03:00 PM,23-May-2026 03:00 PM,1.0,Fee/PreQual/Technical,.pdf,Tender Notice,Directorate of Local Bodies UP||Ghaziabad Municipal Corporation,116/Nirman/2026-27 Date 04.04.2026,2026_DOLBU_1136236_29,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,6072824,M/S GAUD AND CONSTRUCTION COMPNAY,27-Apr-2026 07:13 PM,Rejected-Technical,all requried not complete,23-May-2026 01:00 PM,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,6068982,M/s Mahadev Constructions,30-Apr-2026 02:15 PM,Rejected-Finance,L2,30-Jun-2026 04:31 PM,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,6078428,M/S MOHAN CONSTUCTIONS,29-Apr-2026 05:04 PM,Rejected-Finance,L2,30-Jun-2026 04:31 PM,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,6077441,M/S RIDHIMA WEAVTAX PRIVATE LIMITED,30-Apr-2026 10:27 AM,Rejected-Finance,L2,30-Jun-2026 04:31 PM,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,6080138,M/S SHIV CONSTRUCTION,30-Apr-2026 02:38 PM,Rejected-Finance,L2,30-Jun-2026 04:31 PM,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,6073720,PADMA INFRATECH,28-Apr-2026 06:54 AM,Rejected-Technical,all requried not complete,23-May-2026 01:00 PM,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,6079750,Sarthak construction,30-Apr-2026 01:21 PM,Rejected-Finance,L2,30-Jun-2026 04:31 PM,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,6074988,SHREE BALAJI ENTERPRISES / DHRUV SHARMA,30-Apr-2026 11:51 AM,Rejected-Finance,L2,30-Jun-2026 04:31 PM,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,6065394,SPS INFRATECH,23-Apr-2026 10:38 PM,Rejected-Finance,L2,30-Jun-2026 04:31 PM,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
