Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Bank Name,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.3,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,Tender Stage
Director Cum Chief Engineer RED||CHIEF ENGINEER WEST||SE JHANSI CIRCLE||EE JALAUN,42/EE/RED/2025-26,2026_REDUP_1138959_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,1,Fee/PreQual/Technical,.pdf,A.D,20-Apr-2026 04:27 PM,30-Apr-2026 12:30 PM,20-Apr-2026 06:00 PM,30-Apr-2026 12:00 PM,NA ,NA ,20-Apr-2026 06:00 PM,30-Apr-2026 12:00 PM,16-May-2026 12:00 PM,1.0,SBI Bank,854.0,Nil,Nil,No,Construction of CC road and drain from Uday Niranjan house to Narendra Niranjan house via Shailendra house in ward no. 16 of Orai city,Construction of CC road and drain from Uday Niranjan house to Narendra Niranjan house via Shailendra house in ward no. 16 of Orai city,Please refer Tender documents. ,NA ,"19,99,000",Civil Works - Roads,NA ,Rate Contract,90.0,270.0,JALAUN,284001.0,NA ,NA ,NA ,EXECUTIVE ENGINEER RURAL ENGINEERING DEPARTMENT,No ,No,"40,000",No,fixed,,Nil,Nil,EXECUTIVE ENGINEER RURAL ENGINEERING DEPARTMENT,EXECUTIVE ENGINEER RURAL ENGINEERING DEPARTMENT,AOC,sheelendra singh,Internal,sharad srivastava anup kumar mishra,Sheelendra Singh,19-Jun-2026 02:42 PM,finsummary_2126549.pdf (1874.02 KB),Technical,technical cover to be opened,SHARAD SRIVASTAVA,08-May-2026 05:13 PM,technical_2126549.pdf,sheelendra singh,Internal,sharad srivastava anup kumar mishra,SHARAD SRIVASTAVA,12-May-2026 04:08 PM,16-May-2026 12:00 PM,techsummary_2126549.pdf (331.38 KB),Finance,financial cover to be opened,Sheelendra Singh,22-May-2026 11:22 AM,finance_2126549.pdf,BOQ Comparative Chart,1.0,6078923.0,M/S TANNA CONTRACTOR AND SUPPLIERS,INR,"1,998,999.47",Director Cum Chief Engineer RED||CHIEF ENGINEER WEST||SE JHANSI CIRCLE||EE JALAUN,2026_REDUP_1138959_1,42/EE/RED/2025-26,Construction of CC road and drain from Uday Niranjan house to Narendra Niranjan house via Shailendra house in ward no. 16 of Orai city,1,6079077,MAA GAYATRI SUPPLIER AND CONTRACTOR,30-Apr-2026 10:04 AM,Rejected-Finance,2nd,19-Jun-2026 02:42 PM,19-Jun-2026,"INR 1,998,999.47",270.0,Sheelendra Singh,19-Jun-2026 02:47 PM,55.pdf (136.00 KB),bond photo upload date 11.06.2026,AOC
,,,,,,,,,,,,,,2,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,6078923,M/S TANNA CONTRACTOR AND SUPPLIERS,29-Apr-2026 08:57 PM,Accepted-AOC,accepted,19-Jun-2026 02:47 PM,,,,,,,,AOC
