Cover No,Cover,Document Type,Description,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Stage,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.2,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,Tender Stage
1.0,Fee/PreQual/Technical,.pdf,Tender Notice,CE,Ghaziabad Nagar Nigam,"Interlocking tiles work on the side track in front of Kashyap Hostel in Ward-71, Sanjay Nagar.","Interlocking tiles work on the side track in front of Kashyap Hostel in Ward-71, Sanjay Nagar.",Please refer Tender documents. ,NA ,"6,92,000",Civil Works,NA ,Tender,90.0,NA ,Ghaziabad,201001.0,NA ,NA ,NA ,Ghaziabad Nagar Nigam,No ,No,Directorate of Local Bodies UP||Ghaziabad Municipal Corporation,116/Nirman/2026-27 Date 04.04.2026,2026_DOLBU_1136236_42,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,"20,760",No,percentage,3.0%,Nil,Nil,"1,416",Nil,Nil,No,1.0,SBI Bank,13-Apr-2026 03:00 PM,30-Apr-2026 03:30 PM,13-Apr-2026 03:00 PM,30-Apr-2026 03:00 PM,NA ,NA ,13-Apr-2026 03:00 PM,30-Apr-2026 03:00 PM,23-May-2026 03:00 PM,AOC,1.0,6079415.0,MS BUILDWELL,INR,"588,199",Finance,Finance,Rajendra Singh,25-May-2026 12:33 PM,,BOQ Comparative Chart,ce,Internal,,Kuldeep Kumar Tamar,16-Jun-2026 02:28 PM,finsummary_2121978.pdf (558.52 KB),Directorate of Local Bodies UP||Ghaziabad Municipal Corporation,2026_DOLBU_1136236_42,116/Nirman/2026-27 Date 04.04.2026,"Interlocking tiles work on the side track in front of Kashyap Hostel in Ward-71, Sanjay Nagar.",1,6078012,A P CONSTRUCTION COMPANY,30-Apr-2026 08:21 AM,Rejected-Finance,L2,16-Jun-2026 02:28 PM,CE,Internal,,narendra kumar chaudhary,23-May-2026 01:09 PM,23-May-2026 03:00 PM,techsummary_2121978.pdf (1102.48 KB),16-Jun-2026,"INR 588,199",30.0,Kuldeep Kumar Tamar,16-Jun-2026 02:31 PM,42116.pdf (559.00 KB),Technical,Technical,Kuldeep Kumar Tamar,30-Apr-2026 06:45 PM,,AOC
2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,2,6066387,A S CONSTRUCTIONS,28-Apr-2026 07:07 PM,Rejected-Finance,L2,16-Jun-2026 02:28 PM,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,3,6078072,Bhushan Enterprises,29-Apr-2026 11:29 PM,Rejected-Finance,L2,16-Jun-2026 02:28 PM,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,4,6072190,DSV ENTERPRISES,30-Apr-2026 01:35 PM,Rejected-Finance,L2,16-Jun-2026 02:28 PM,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,5,6077787,JP SHAKTI CONSTRUCTION,29-Apr-2026 08:25 PM,Rejected-Finance,L2,16-Jun-2026 02:28 PM,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,6,6080682,J R BUILDTECH,30-Apr-2026 02:51 PM,Rejected-Finance,L2,16-Jun-2026 02:28 PM,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,7,6079978,KESH RAM CONSTRUCTIONS,30-Apr-2026 01:22 PM,Rejected-Technical,all requried not complete,23-May-2026 01:09 PM,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,8,6078296,MAHAKALESHWAR ENGINEERS,29-Apr-2026 04:42 PM,Rejected-Finance,L2,16-Jun-2026 02:28 PM,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,9,6079394,M/S ADINATH CONSTRUCTIONS,30-Apr-2026 01:48 AM,Rejected-Finance,L2,16-Jun-2026 02:28 PM,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,10,6079415,MS BUILDWELL,30-Apr-2026 01:16 PM,Accepted-AOC,L1,16-Jun-2026 02:31 PM,,,,,,,,,,,,,,,,,,,AOC
