Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,S.No,Bank Name,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Type :,Summary :,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :,Document :.2,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.3,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,Tender Stage
Director Cum Chief Engineer RED||CHIEF ENGINEER WEST||SE SAHARANPUR CIRCLE||EE SAHARANPUR,1551/RED/cashier/25-26 dt 11-03-2026,2026_REDUP_1134127_4,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,766.0,Nil,Nil,No,Executive Engineer,EE red saharanpur vikas bhawan delhi road saharanpur,Gram jhanderi mein main road se Siyaram vah Vikram ke Makan ki or CC sadak V nali Nirman karya,Gram jhanderi mein main road se Siyaram vah Vikram ke Makan ki or CC sadak V nali Nirman karya,Gram jhanderi mein main road se Siyaram vah Vikram ke Makan ki or CC sadak V nali Nirman karya ,NA ,"11,50,000",Civil Works,NA ,Tender,90.0,NA ,EE red saharanpur,247001.0,EE red saharanpur vikas bhawan delhi road saharanp ,EE red saharanpur vikas bhawan delhi road saharanpur ,15-Apr-2026 12:00 PM ,EE red saharanpur vikas bhawan delhi road saharanp,No ,No,"23,000",Yes,fixed,,Nil,Nil,13-Apr-2026 06:00 PM,20-Apr-2026 12:30 PM,13-Apr-2026 06:00 PM,20-Apr-2026 12:00 PM,NA ,NA ,13-Apr-2026 06:00 PM,20-Apr-2026 12:00 PM,29-Apr-2026 12:00 PM,1.0,Fee/PreQual/Technical,.pdf,Technical bids,1.0,SBI Bank,AOC,Ravi,Internal,sandeep kuamr aggarwal pavan kumar,SANDEEP KUMAR AGARWAL,29-Apr-2026 11:52 AM,29-Apr-2026 12:00 PM,techsummary_2122282.pdf (98.16 KB),Finance,admitted,Rajendra Kumar,09-Jun-2026 01:12 PM,,BOQ Comparative Chart,Ravi,Internal,pavan kumar vinod,Rajendra Kumar,09-Jun-2026 01:23 PM,finsummary_2122282.pdf (98.11 KB),Technical,ok,SANDEEP KUMAR AGARWAL,29-Apr-2026 11:36 AM,technical_2122282.pdf,Director Cum Chief Engineer RED||CHIEF ENGINEER WEST||SE SAHARANPUR CIRCLE||EE SAHARANPUR,2026_REDUP_1134127_4,1551/RED/cashier/25-26 dt 11-03-2026,Gram jhanderi mein main road se Siyaram vah Vikram ke Makan ki or CC sadak V nali Nirman karya,1.0,6054178.0,SHIV CONSTRUCTION,INR,"1,113,136",1.0,6054178.0,SHIV CONSTRUCTION,19-Apr-2026 06:03 PM,Accepted-AOC,L1,09-Jun-2026 01:26 PM,09-Jun-2026,"INR 1,113,136",90.0,Rajendra Kumar,09-Jun-2026 01:26 PM,dd.pdf (98.00 KB),L1,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,As per NIT,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,6055697.0,YAMUNA ENTERPRISES,19-Apr-2026 07:11 PM,Rejected-Finance,L2,09-Jun-2026 01:23 PM,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,as per BOQ,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
