Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.1,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :.1,Document :.1,Type :.1,Summary :.1,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Bank Name,S.No.1,Corrigendum Title,Corrigendum Type,View,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Stage
16-Jun-2026,"INR 3,578,745",210.0,Sanjeev Saxena,15-Jun-2026 12:30 PM,JIYANPURLOA.pdf (71.00 KB),L1,1.0,6038302.0,Tejas Enterprises,INR,"3,578,745",UP Police Awas Nigam Limited||UP Police Awas Nigam Ltd HQ Lucknow,2026_UPPAN_1132111_1,"5692/PAN/ET/25-26, DT. 31-03-2026",CONSTRUCTION OF BOUNDARY WALL AND MAIN GATE AT POLICE STATION JIYANPUR DISTT AZAMGARH U.P.,1,6036530,AMAN ENTERPRISES,14-Apr-2026 03:25 PM,Rejected-Finance,L3,26-May-2026 06:26 PM,Technical,2 bidder rejected in technical,Sanjeev Saxena,21-May-2026 02:48 PM,,SANJEEV SAXENA,Internal,DULAREY PRASAD PRASHANT TRIPATHI,Sanjeev Saxena,26-May-2026 06:26 PM,finsummary_2112796.pdf (47.12 KB),Finance,ALL BIDDER ADMITTED,Sanjeev Saxena,26-May-2026 05:52 PM,,BOQ Comparative Chart,SANJEEV SAXENA,Internal,DULAREY PRASAD PRASHANT TRIPATHI,Sanjeev Saxena,21-May-2026 02:51 PM,22-May-2026 11:00 AM,techsummary_2112796.pdf (739.64 KB),AOC,"90,000",No,fixed,,Nil,Nil,Sanjeev Saxena,U.P. Police Avas Nigam Ltd,UP Police Awas Nigam Limited||UP Police Awas Nigam Ltd HQ Lucknow,"5692/PAN/ET/25-26, DT. 31-03-2026",2026_UPPAN_1132111_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,"2,360",Nil,Nil,No,1.0,SBI Bank,1.0,DATE Corrigendum,Date,,1.0,Fee/PreQual/Technical,.pdf,TENDER DOCUMENT,CONSTRUCTION OF BOUNDARY WALL AND MAIN GATE AT POLICE STATION JIYANPUR DISTT AZAMGARH U.P.,CONSTRUCTION OF BOUNDARY WALL AND MAIN GATE AT POLICE STATION JIYANPUR DISTT AZAMGARH U.P.,Please refer Tender documents. ,NA ,"45,30,000",Civil Works,NA ,Tender,90.0,210.0,POLICE STATION JIYANPUR DISTT AZAMGARH U.P.,276140.0,NA ,NA ,NA ,U.P. Police Avas Nigam Ltd,No ,No,01-Apr-2026 06:00 PM,16-Apr-2026 11:30 AM,01-Apr-2026 06:00 PM,15-Apr-2026 05:00 PM,NA ,NA ,01-Apr-2026 06:00 PM,15-Apr-2026 05:00 PM,22-May-2026 11:00 AM,AOC
,,,,,,,,,,,,,,,,2,6036410,Pacific buildcon,12-Apr-2026 12:10 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,21-May-2026 02:48 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,3,6038302,Tejas Enterprises,09-Apr-2026 02:46 PM,Accepted-AOC,L1,15-Jun-2026 12:30 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,4,6045947,TIWARI CONSTRUCTION,14-Apr-2026 01:27 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,21-May-2026 02:48 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,5,6036014,VINDHYACHAL CONSTRUCTION AND SUPPLIERS,14-Apr-2026 05:16 PM,Rejected-Finance,L2,26-May-2026 06:26 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
